# run_timestamp,20260509_120835
# total_steps,200000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,300000
# grad_clip,1.0
# batch_size,64
# replay_capacity,500000
# beginner_max_turns,100
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,397,timeout,397,100,171.79,5,8,0.9987,0,1.554868,15,32,150,197,50,16,122,21,46,"NA:N,SA:N",0E1|1E1|2A1|3E1|4E2|5A1|6E1|7E3|8E3|9A6|10E20|11A1|12A6
2,807,timeout,410,100,227.85,4,9,0.9974,0,1.480250,10,20,160,200,50,16,125,22,48,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E1|5E1|6A7|7E6|8A1|9A1|10E3|11A1|12E5
3,1179,timeout,372,100,98.75,5,7,0.9963,0,1.413259,26,30,150,172,50,10,104,14,45,"NA:N,SA:N",0E1|1E2|2A1|3E6|4A1|5A20|6E15|7A1|8A3|9E2|10E2|11N1|12E2
4,1591,timeout,412,100,183.21,7,5,0.9950,0,1.130471,82,23,205,157,50,9,90,11,49,"NA:N,SA:N",0A20|1A1|2A20|3E3|4A12|5A20|6E4|7A7|8A2|9E9|10E4|11N1|12E3
5,1993,timeout,402,100,95.81,1,12,0.9937,0,1.058143,12,85,162,194,46,11,121,19,38,"NA:E,SA:N",0E4|1E3|2E4|3E4|4E4|5E4|6E4|7E6|8E4|9E8|10E20|11E20|12A12
6,2367,timeout,374,100,170.06,7,5,0.9925,0,1.041564,34,30,157,167,50,11,97,13,47,"NA:N,SA:N",0A4|1A1|2A2|3A3|4A7|5A3|6E8|7A14|8E9|9E5|10E4|11N1|12E4
7,2744,timeout,377,100,154.27,3,10,0.9913,0,1.055169,20,56,150,177,50,13,106,19,43,"NA:E,SA:N",0E2|1E2|2E2|3E2|4E2|5E2|6E2|7E4|8E18|9A1|10A17|11A2|12E20
8,3120,timeout,376,100,158.18,6,6,0.9901,0,1.060888,24,30,152,174,50,12,103,15,43,"NA:N,SA:N",0E1|1A1|2A1|3E12|4E3|5A1|6A1|7A19|8A1|9E6|10E4|11N1|12E4
9,3563,timeout,443,100,12.41,1,12,0.9887,0,1.059395,16,238,199,212,32,6,128,15,22,"NA:E,SA:N",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E20|10E18|11E20|12A16
10,3958,timeout,395,100,140.05,1,12,0.9875,0,0.995056,12,121,166,183,46,12,109,20,40,"NA:E,SA:N",0E8|1E8|2E8|3E7|4E8|5E8|6E8|7E7|8E9|9E10|10E20|11E20|12A12
11,4372,timeout,414,100,237.35,10,3,0.9862,0,1.052289,50,19,169,195,50,16,120,15,46,"NA:N,SA:A",0A2|1A2|2A6|3E1|4E4|5A4|6E14|7A1|8A2|9A11|10A8|11A13|12A1
12,4757,timeout,385,100,172.79,7,5,0.9849,0,0.999698,20,32,152,183,50,14,111,15,44,"NA:N,SA:N",0A1|1A6|2A5|3E11|4A4|5A1|6E13|7A2|8A1|9E2|10E3|11N1|12E3
13,5139,timeout,382,100,135.52,4,8,0.9837,0,1.042701,9,28,150,182,50,12,112,17,44,"NA:N,SA:N",0E1|1E1|2A1|3E1|4A3|5A2|6E16|7A3|8E2|9E3|10E2|11N1|12E2
14,5542,timeout,403,100,264.20,9,4,0.9825,0,1.119065,12,22,160,193,50,17,118,17,47,"NA:N,SA:N",0E2|1E1|2A1|3A1|4E16|5A1|6A1|7A3|8A1|9A1|10A2|11A1|12E3
15,5898,timeout,356,100,219.62,7,5,0.9813,0,1.090183,49,34,153,154,49,13,82,15,48,"NA:N,SA:N",0A17|1A2|2A5|3A1|4A20|5A1|6E12|7A3|8E13|9E3|10E3|11N1|12E3
16,6303,timeout,405,100,224.02,8,4,0.9800,0,1.170145,125,38,225,130,50,9,63,10,48,"NA:N,SA:N",0A20|1A20|2A20|3A3|4A20|5A20|6A6|7A16|8E12|9E13|10E7|11N1|12E6
17,6667,timeout,364,100,86.30,10,3,0.9789,0,1.105847,36,29,153,162,49,8,94,8,48,"NA:N,SA:N",0E1|1A1|2A1|3A2|4A10|5A15|6E20|7A1|8A1|9A1|10E8|11A1|12A3
18,7065,timeout,398,100,168.85,6,6,0.9776,0,1.093280,11,24,152,196,50,14,123,17,38,"NA:N,SA:N",0A2|1E1|2A2|3A1|4E10|5A4|6E5|7A1|8A1|9E2|10E3|11N1|12E3
19,7482,timeout,417,100,300.07,9,4,0.9763,0,1.097317,75,23,195,172,50,16,98,16,46,"NA:N,SA:N",0A1|1A2|2A18|3A15|4A1|5A11|6A3|7A19|8E3|9E12|10E4|11A5|12E4
20,7865,timeout,383,100,241.62,8,4,0.9751,0,1.120406,35,20,160,173,50,14,103,13,46,"NA:N,SA:N",0E7|1A2|2A20|3A1|4A2|5A5|6A3|7A1|8A1|9E7|10E3|11N1|12E3
21,8237,timeout,372,100,51.61,5,7,0.9739,0,1.128194,12,28,150,172,50,7,108,10,43,"NA:N,SA:N",0E1|1E1|2A1|3E2|4A5|5A2|6E18|7A2|8A2|9E1|10E2|11N1|12E3
22,8613,timeout,376,100,247.22,10,3,0.9727,0,1.122483,36,10,150,176,50,16,101,16,43,"NA:N,SA:N",0A2|1A1|2A7|3E6|4A17|5A1|6A2|7A2|8A1|9A2|10E2|11A1|12E2
23,8991,timeout,378,100,164.82,9,4,0.9715,0,1.111442,42,22,152,176,50,13,104,13,43,"NA:N,SA:N",0E2|1A2|2A1|3E1|4A3|5A4|6E4|7A4|8A2|9A16|10E15|11A2|12A8
24,9376,timeout,385,100,178.37,8,5,0.9703,0,1.167862,35,26,156,179,50,14,106,14,43,"NA:N,SA:A",0E1|1E1|2A12|3E2|4E4|5A1|6E18|7A1|8A1|9A3|10A2|11A4|12A11
25,9785,timeout,409,100,383.46,10,3,0.9690,0,1.190563,15,20,153,207,49,23,125,22,43,"NA:N,SA:N",0A1|1E1|2A1|3A5|4E5|5A1|6A1|7A1|8A1|9A1|10A2|11A1|12E14
26,10169,timeout,384,100,135.16,3,9,0.9678,0,1.129124,13,39,153,182,49,13,111,18,40,"NA:N,SA:N",0E1|1E1|2A11|3E5|4E11|5A1|6E3|7A1|8E12|9E1|10E2|11N1|12E3
27,10557,timeout,388,100,118.66,8,5,0.9666,0,1.201567,17,26,152,186,50,11,116,12,43,"NA:N,SA:N",0E1|1A1|2A1|3E2|4E13|5A1|6A1|7A1|8A2|9A9|10E7|11A1|12E3
28,10940,timeout,383,100,94.95,6,7,0.9654,0,1.109897,23,21,150,183,50,11,113,15,43,"NA:N,SA:N",0E1|1E1|2A14|3E2|4E11|5A1|6E3|7A1|8A1|9A2|10E2|11A4|12E1
29,11355,timeout,415,100,230.35,9,3,0.9640,0,1.172807,180,46,248,117,50,8,50,7,47,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A20|9E18|10E14|11N1|12E14
30,11741,timeout,386,100,147.34,3,9,0.9628,0,1.141723,15,33,161,179,46,11,107,16,39,"NA:N,SA:N",0E1|1E1|2E1|3E1|4A13|5E4|6E11|7A1|8A1|9E4|10E5|11N1|12E5
31,12138,timeout,397,100,199.36,3,10,0.9616,0,1.125326,55,123,185,162,50,14,88,21,43,"NA:E,SA:N",0E10|1E10|2E10|3E10|4E11|5E10|6E16|7E11|8E17|9E18|10A20|11A18|12A17
32,12520,timeout,382,100,163.35,6,6,0.9604,0,1.128296,39,26,160,173,49,12,102,14,47,"NA:N,SA:N",0A13|1A1|2A1|3E3|4A14|5A9|6E5|7A1|8E9|9E4|10E2|11N1|12E3
33,12897,timeout,377,100,87.28,2,11,0.9592,0,1.158089,14,81,150,177,50,11,108,18,45,"NA:E,SA:N",0E4|1E3|2E4|3E3|4E4|5E4|6E7|7E4|8E17|9E15|10A13|11A1|12E16
34,13345,timeout,448,100,263.05,8,5,0.9577,0,1.102040,70,22,202,196,50,17,120,19,48,"NA:N,SA:A",0E1|1E1|2E2|3E1|4E17|5A1|6A1|7A1|8A4|9A20|10A3|11A20|12A20
35,13710,timeout,365,100,187.27,7,5,0.9566,0,1.172958,47,28,165,150,50,10,82,12,46,"NA:N,SA:N",0A2|1A9|2A1|3A9|4A5|5A20|6E3|7A1|8E12|9E7|10E3|11N1|12E3
36,14074,timeout,364,100,79.60,5,7,0.9554,0,1.074109,33,34,160,154,50,7,88,12,48,"NA:N,SA:N",0E1|1A7|2A20|3E3|4A1|5A1|6E9|7A4|8E12|9E3|10E4|11N1|12E2
37,14434,timeout,360,100,98.60,5,7,0.9543,0,1.080561,31,31,150,160,50,9,94,12,47,"NA:N,SA:N",0E1|1A8|2A1|3E4|4A1|5A20|6E13|7A1|8E7|9E2|10E3|11N1|12E1
38,14790,timeout,356,100,158.65,7,5,0.9532,0,1.127201,30,27,150,156,50,11,88,12,42,"NA:N,SA:N",0A1|1A3|2A4|3E3|4A19|5A1|6E16|7A1|8A1|9E2|10E3|11N1|12E3
39,15221,timeout,431,100,175.41,9,3,0.9518,0,1.091076,178,59,269,112,50,4,50,4,48,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A18|9E20|10E20|11N1|12E19
