# run_timestamp,20260509_092014
# total_steps,250000
# learning_rate,5e-05
# gamma,0.95
# tau,0.01
# eps_decay,200000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,100
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,392,timeout,392,100,89.02,7,5,0.9981,0,0.339425,17,17,157,185,50,9,117,11,47,"NA:N,SA:N",0E1|1A1|2A1|3A9|4A1|5A1|6E8|7A3|8A1|9E3|10E2|11N1|12E3
2,782,timeout,390,100,50.45,9,3,0.9963,0,0.419509,179,56,243,97,50,3,37,2,47,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A19|9E16|10E20|11N1|12E20
3,1146,timeout,364,100,92.74,7,5,0.9946,0,0.355976,53,41,167,147,50,9,79,11,46,"NA:N,SA:N",0A5|1A20|2A1|3A8|4A6|5A12|6E13|7A1|8E12|9E8|10E4|11N1|12E4
4,1565,timeout,419,100,160.14,10,3,0.9926,0,0.419338,27,12,175,194,50,15,119,16,46,"NA:N,SA:N",0A5|1A1|2A2|3A2|4A1|5A10|6E6|7A3|8A1|9E5|10A1|11A1|12E1
5,1985,timeout,420,100,149.95,9,4,0.9906,0,0.520393,67,33,195,175,50,14,102,15,44,"NA:N,SA:N",0A20|1A4|2A20|3A7|4A1|5A5|6E3|7A7|8E9|9E15|10A1|11A2|12E6
6,2380,timeout,395,100,128.65,2,11,0.9887,0,0.513612,16,72,156,191,48,15,117,21,38,"NA:E,SA:N",0E2|1E2|2E2|3E2|4E3|5E3|6E11|7E4|8E5|9E18|10A15|11A1|12E20
7,2813,timeout,433,100,160.63,5,7,0.9866,0,0.600796,7,20,167,222,44,17,140,20,35,"NA:N,SA:N",0E1|1A1|2E1|3A3|4A1|5E3|6A1|7E2|8A1|9E6|10E2|11N1|12E5
8,3169,timeout,356,100,101.16,7,5,0.9849,0,0.594655,52,40,157,149,50,10,80,12,45,"NA:N,SA:N",0A20|1A2|2A3|3A1|4A3|5A20|6E3|7A3|8E14|9E7|10E8|11N1|12E8
9,3561,timeout,392,100,56.17,1,12,0.9831,0,0.564627,1,48,153,190,49,9,121,17,44,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E1|5E1|6E13|7E2|8E8|9E6|10E3|11A1|12E10
10,3971,timeout,410,100,186.85,4,8,0.9811,0,0.607023,7,25,158,204,48,20,124,23,42,"NA:N,SA:N",0E1|1E1|2A1|3E1|4E14|5A1|6E3|7A4|8A1|9E2|10E2|11N1|12E1
