11,4368,timeout,397,100,122.52,4,9,0.9793,0,0.592377,17,38,159,189,49,14,116,19,42,"NA:E,SA:A",0E1|1E1|2E1|3E1|4E4|5E7|6E5|7E8|8E10|9A7|10A1|11A3|12A6
12,4742,timeout,374,100,105.64,4,8,0.9775,0,0.618558,14,31,150,174,50,12,104,17,41,"NA:N,SA:N",0E1|1E1|2A1|3E4|4E3|5A9|6E11|7A3|8A1|9E7|10E3|11N1|12E1
13,5122,timeout,380,100,70.90,7,5,0.9757,0,0.616557,36,19,160,170,50,7,105,9,44,"NA:N,SA:N",0E1|1A1|2A1|3E2|4A17|5A10|6E4|7A1|8A5|9A1|10E6|11N1|12E6
14,5538,timeout,416,100,81.11,7,5,0.9737,0,0.587225,80,28,202,164,50,8,96,11,47,"NA:N,SA:N",0A18|1A19|2A1|3E2|4A18|5A20|6A1|7A3|8E4|9E6|10E11|11N1|12E5
15,5906,timeout,368,100,100.48,5,7,0.9719,0,0.571869,17,47,150,168,50,11,99,15,43,"NA:N,SA:N",0E1|1E1|2A1|3E8|4E2|5A1|6E20|7A10|8A2|9A3|10E12|11N1|12E3
16,6356,timeout,450,100,143.45,10,3,0.9698,0,0.604422,78,21,215,185,50,13,112,14,49,"NA:N,SA:N",0A5|1A20|2A15|3A8|4A20|5A4|6A2|7A1|8E9|9E1|10E11|11A2|12A1
17,6728,timeout,372,100,48.57,2,11,0.9680,0,0.588126,13,90,153,171,48,7,105,13,41,"NA:E,SA:N",0E4|1E4|2E4|3E4|4E4|5E3|6E9|7E4|8E15|9E19|10A10|11A3|12E20
18,7134,timeout,406,100,84.06,4,9,0.9661,0,0.593173,57,69,184,172,50,10,103,16,46,"NA:E,SA:A",0E6|1E6|2E6|3E6|4E6|5E6|6E7|7E6|8E20|9A18|10A14|11A5|12A20
19,7533,timeout,399,100,156.49,4,8,0.9642,0,0.573289,8,33,157,194,48,17,117,21,43,"NA:N,SA:N",0E1|1E1|2A1|3A1|4E8|5E1|6A1|7E7|8A5|9E10|10E3|11N1|12E2
20,7909,timeout,376,100,78.61,6,6,0.9624,0,0.597690,9,42,152,174,50,8,108,10,46,"NA:N,SA:N",0E1|1A3|2A1|3E19|4A2|5A1|6A1|7A1|8E11|9E3|10E4|11N1|12E4
21,8297,timeout,388,100,103.53,3,10,0.9606,0,0.561109,17,45,153,186,49,13,113,20,40,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E2|5E3|6E7|7E4|8E11|9A13|10A3|11A1|12E14
22,8708,timeout,411,100,155.76,6,6,0.9586,0,0.580585,19,27,165,196,50,16,122,19,47,"NA:N,SA:N",0A1|1E1|2A3|3E2|4E12|5A1|6A8|7A3|8A3|9E2|10E5|11N1|12E5
23,9063,timeout,355,100,57.60,6,6,0.9570,0,0.572462,36,41,153,153,49,6,88,9,45,"NA:N,SA:N",0A7|1A9|2A1|3E3|4A1|5A14|6E12|7A4|8E7|9E6|10E7|11N1|12E6
24,9470,timeout,407,100,127.77,7,5,0.9550,0,0.575640,101,31,210,147,50,12,77,14,47,"NA:N,SA:N",0A20|1A20|2A20|3A13|4A20|5A5|6E3|7A3|8E3|9E15|10E5|11N1|12E5
25,9864,timeout,394,100,129.89,6,6,0.9531,0,0.603676,7,23,152,192,50,13,121,15,44,"NA:N,SA:N",0A2|1A1|2A1|3E1|4E8|5A1|6A1|7A1|8E7|9E3|10E2|11N1|12E2
26,10238,timeout,374,100,110.14,1,12,0.9514,0,0.600770,11,51,150,174,50,14,102,22,44,"NA:E,SA:N",0E1|1E1|2E1|3E3|4E3|5E3|6E13|7E3|8E1|9E1|10E20|11E1|12A11
27,10614,timeout,376,100,116.01,6,6,0.9496,0,0.600376,28,24,153,174,49,12,103,15,46,"NA:N,SA:N",0A2|1A10|2A1|3E9|4A13|5A1|6E4|7A1|8E1|9E5|10E3|11N1|12E2
28,10989,timeout,375,100,154.30,5,7,0.9478,0,0.609526,22,40,153,173,49,16,99,19,41,"NA:N,SA:N",0E1|1E5|2A1|3E7|4A1|5A8|6E20|7A11|8A1|9E1|10E3|11N1|12E3
29,11363,timeout,374,100,99.04,3,10,0.9460,0,0.594042,18,75,150,174,50,12,104,17,43,"NA:E,SA:N",0E3|1E4|2E4|3E3|4E4|5E4|6E8|7E6|8E19|9A16|10A1|11A1|12E20
30,11733,timeout,370,100,85.00,5,8,0.9443,0,0.593543,28,37,150,170,50,10,101,15,42,"NA:N,SA:N",0E1|1E1|2E4|3E2|4E16|5A16|6E6|7A1|8A3|9A6|10E4|11A2|12E3
31,12115,timeout,382,100,40.22,3,9,0.9425,0,0.601185,4,21,150,182,50,6,118,12,46,"NA:N,SA:N",0E2|1E1|2E1|3E1|4E6|5A1|6E3|7A2|8A1|9E3|10E2|11N1|12E2
32,12489,timeout,374,100,131.74,5,8,0.9407,0,0.578063,42,18,154,170,50,14,98,18,44,"NA:N,SA:A",0E1|1E1|2E1|3E3|4E1|5E1|6E4|7E6|8A20|9A1|10A9|11A10|12A2
33,12831,timeout,342,100,14.22,5,7,0.9391,0,0.600620,32,45,150,142,50,2,83,5,48,"NA:N,SA:N",0E1|1A20|2A1|3E7|4A2|5A8|6E7|7A1|8E12|9E6|10E6|11N1|12E6
34,13218,timeout,387,100,78.07,4,8,0.9372,0,0.608606,9,31,155,183,49,9,115,13,41,"NA:N,SA:N",0A4|1A1|2E2|3E1|4E9|5A1|6E10|7A3|8E1|9E3|10E3|11N1|12E2
35,13604,timeout,386,100,124.36,5,8,0.9354,0,0.588559,17,29,150,186,50,14,113,19,46,"NA:N,SA:N",0E2|1E1|2E1|3E1|4E15|5E2|6A1|7A1|8A13|9A1|10E5|11A1|12E2
36,13982,loss,378,85,63.08,0,12,0.9336,0,0.592184,0,47,149,194,35,12,123,21,29,"NA:E,SA:N",0E1|1E1|2E1|3E5|4E8|5E3|6E3|7E8|8E8|9E3|10E3|11N1|12E3
37,14373,timeout,391,100,239.76,9,4,0.9317,0,0.575911,30,26,153,189,49,23,106,24,39,"NA:N,SA:N",0A3|1A4|2A1|3A3|4A1|5A4|6A7|7A1|8E5|9E1|10E10|11E10|12A6
38,14740,timeout,367,100,114.67,7,5,0.9300,0,0.632812,29,28,150,167,50,11,99,12,44,"NA:N,SA:N",0A2|1A9|2A1|3A1|4A12|5A3|6E7|7A1|8E13|9E3|10E2|11N1|12E3
39,15129,timeout,389,100,90.09,5,8,0.9281,0,0.606312,23,39,162,179,48,10,109,14,39,"NA:N,SA:A",0E1|1E1|2E1|3E5|4E1|5E2|6E14|7E14|8A3|9A6|10A10|11A1|12A3
40,15559,timeout,430,100,138.65,7,5,0.9261,0,0.609104,9,35,166,217,47,14,141,16,35,"NA:N,SA:N",0E1|1A2|2A1|3A1|4E20|5A1|6A1|7A2|8A1|9E8|10E3|11N1|12E3
41,15944,timeout,385,100,168.80,10,3,0.9243,0,0.631012,24,12,152,183,50,15,109,14,47,"NA:N,SA:N",0A1|1A3|2A1|3E5|4A9|5A2|6A1|7A3|8A1|9A2|10E3|11A1|12E4
42,16337,timeout,393,100,145.33,5,7,0.9224,0,0.593594,12,18,155,189,49,15,115,17,42,"NA:N,SA:N",0E1|1E1|2E4|3E2|4A1|5A2|6A4|7A4|8A1|9E5|10E3|11N1|12E2
43,16653,loss,316,77,4.36,0,12,0.9209,0,0.609304,0,46,129,150,37,6,95,15,31,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E6|5E2|6E13|7E5|8E3|9E9|10E2|11N1|12E2
44,17020,timeout,367,100,124.17,8,4,0.9192,0,0.607187,19,22,150,167,50,11,99,11,46,"NA:N,SA:N",0A3|1A3|2A2|3A1|4A5|5A3|6A1|7A1|8E8|9E4|10E5|11N1|12E5
45,17322,loss,302,68,22.37,0,12,0.9177,0,0.621790,0,36,116,157,29,8,101,17,23,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E7|5E1|6E1|7E9|8E3|9E7|10E2|11N1|12E2
46,17699,timeout,377,100,100.47,5,7,0.9159,0,0.618250,23,22,150,177,50,11,108,15,42,"NA:N,SA:N",0A1|1E2|2A1|3E1|4E5|5A1|6E8|7A19|8A1|9E2|10E2|11N1|12E2
47,18115,timeout,416,100,155.16,6,7,0.9140,0,0.632391,48,36,186,180,50,16,105,20,46,"NA:N,SA:A",0E1|1E1|2E1|3E8|4E2|5E3|6E20|7A1|8A3|9A12|10A1|11A11|12A20
48,18515,timeout,400,100,132.70,4,8,0.9121,0,0.654272,8,33,155,196,49,14,124,17,37,"NA:N,SA:N",0E1|1E1|2A1|3E2|4E9|5A1|6E15|7A5|8A1|9E1|10E2|11N1|12E2
49,18879,timeout,364,100,115.04,7,5,0.9103,0,0.651900,35,25,150,164,50,11,96,12,49,"NA:N,SA:N",0A12|1A1|2A1|3E11|4A18|5A1|6E3|7A1|8A1|9E3|10E4|11N1|12E4
50,19253,timeout,374,100,133.29,9,3,0.9085,0,0.647002,39,39,165,159,50,12,89,12,43,"NA:A,SA:N",0A4|1A4|2A6|3A1|4A4|5A1|6A12|7A4|8A3|9E20|10E10|11N1|12E9
51,19615,timeout,362,100,53.07,7,5,0.9068,0,0.617745,49,29,165,147,50,5,84,7,49,"NA:N,SA:N",0A2|1A20|2A2|3E12|4A1|5A20|6A2|7A2|8E6|9E3|10E4|11N1|12E4
52,19970,timeout,355,100,55.15,4,8,0.9051,0,0.653934,29,51,150,155,50,7,90,12,47,"NA:N,SA:N",0E1|1E4|2A1|3E9|4A20|5A6|6E19|7A2|8E9|9E3|10E3|11N1|12E3
53,20358,timeout,388,100,150.18,8,4,0.9033,0,0.654491,45,18,167,171,50,14,99,14,48,"NA:N,SA:N",0A5|1A19|2A1|3A1|4A11|5A3|6A4|7A1|8E1|9E9|10E3|11N1|12E5
54,20698,timeout,340,100,21.95,6,6,0.9017,0,0.628516,43,46,152,138,50,2,78,4,43,"NA:N,SA:N",0A13|1A1|2A7|3E18|4A2|5A2|6E14|7A18|8E5|9E3|10E3|11N1|12E3
55,21063,timeout,365,100,154.30,10,3,0.9000,0,0.634201,38,23,153,163,49,14,90,13,44,"NA:N,SA:N",0E1|1A1|2A4|3E19|4A1|5A2|6A17|7A3|8A3|9A1|10A1|11A5|12E3
56,21448,timeout,385,100,128.60,6,6,0.8981,0,0.622450,11,41,153,183,49,13,112,15,42,"NA:N,SA:N",0A1|1E3|2A1|3E1|4E15|5A1|6A1|7A1|8A6|9E16|10E3|11N1|12E3
57,21836,timeout,388,100,102.03,7,5,0.8963,0,0.634785,23,26,165,173,50,10,105,12,49,"NA:N,SA:N",0E1|1E1|2A1|3A3|4A1|5A5|6A1|7A1|8A11|9E19|10E3|11N1|12E2
58,22106,loss,270,63,36.80,0,12,0.8950,0,0.610289,0,40,107,136,27,9,83,16,22,"NA:E,SA:N",0E1|1E1|2E1|3E3|4E2|5E4|6E11|7E4|8E3|9E6|10E2|11N1|12E2
59,22461,loss,355,92,58.10,0,12,0.8933,0,0.617714,0,44,140,170,45,11,104,19,39,"NA:E,SA:N",0E1|1E1|2E1|3E9|4E2|5E1|6E10|7E4|8E3|9E7|10E2|11N1|12E3
60,22803,timeout,342,100,20.22,5,7,0.8917,0,0.634934,79,44,170,122,50,3,60,8,50,"NA:N,SA:N",0E1|1A18|2A16|3E19|4A20|5A20|6E4|7A5|8E3|9E5|10E3|11N1|12E9
61,23177,timeout,374,100,100.69,6,6,0.8899,0,0.630422,28,38,152,172,50,10,104,12,45,"NA:N,SA:N",0E1|1E4|2A1|3E14|4A14|5A3|6A3|7A4|8A3|9E10|10E5|11N1|12E4
62,23546,timeout,369,100,15.89,7,5,0.8882,0,0.635056,130,53,212,107,50,1,48,3,48,"NA:N,SA:N",0A20|1A20|2A20|3A15|4A15|5A20|6E8|7A20|8E10|9E17|10E9|11N1|12E9
63,23893,timeout,347,100,72.57,6,6,0.8865,0,0.640444,44,35,150,147,50,7,83,9,49,"NA:N,SA:N",0E1|1E12|2A15|3E7|4A4|5A3|6A1|7A20|8A1|9E7|10E4|11N1|12E4
64,24260,timeout,367,100,130.17,5,8,0.8848,0,0.616986,28,39,150,167,50,14,95,18,45,"NA:N,SA:N",0E1|1E1|2E1|3E7|4E14|5E3|6E9|7A15|8A6|9A1|10E3|11A2|12A4
65,24620,timeout,360,100,102.60,5,7,0.8831,0,0.590716,30,31,150,160,50,11,91,15,48,"NA:N,SA:N",0E1|1A3|2A3|3E6|4A1|5A20|6E10|7A3|8E1|9E3|10E5|11N1|12E5
66,24997,timeout,377,100,150.67,6,7,0.8813,0,0.649600,13,38,150,177,50,16,102,19,46,"NA:N,SA:N",0E1|1E1|2E1|3E12|4E10|5A1|6E11|7A2|8A4|9A1|10A1|11A4|12E2
67,25413,win,416,92,198.71,13,0,0.8793,0,0.614988,104,0,206,165,45,12,95,10,42,"NA:A,SA:A",0A10|1A17|2A12|3A3|4A13|5A3|6A2|7A5|8A1|9A3|10A20|11A7|12A8
68,25758,timeout,345,100,71.45,6,6,0.8776,0,0.622401,54,47,160,135,50,7,71,9,47,"NA:N,SA:N",0E1|1A18|2A10|3E17|4A1|5A1|6E18|7A18|8A6|9E5|10E3|11N1|12E3
69,26172,timeout,414,100,162.14,8,5,0.8757,0,0.619683,30,30,174,190,50,16,115,18,47,"NA:N,SA:A",0E1|1E4|2A1|3E2|4E16|5A1|6E7|7A1|8A3|9A1|10A18|11A4|12A1
70,26531,timeout,359,100,55.64,5,7,0.8740,0,0.585664,38,37,153,157,49,6,93,9,40,"NA:N,SA:N",0E1|1A1|2A17|3E12|4A14|5A3|6E12|7A3|8E3|9E3|10E3|11N1|12E3
71,26889,timeout,358,100,50.68,5,7,0.8723,0,0.642160,23,39,150,158,50,6,94,10,47,"NA:N,SA:N",0E7|1E3|2A2|3A14|4A1|5A5|6E8|7A1|8E7|9E6|10E4|11N1|12E4
72,27220,timeout,331,100,17.01,7,5,0.8707,0,0.620951,38,39,150,131,50,1,73,2,48,"NA:N,SA:N",0A2|1A19|2A2|3E19|4A11|5A1|6E12|7A1|8A2|9E2|10E3|11N1|12E3
73,27561,timeout,341,100,73.21,7,5,0.8691,0,0.605098,48,34,150,141,50,6,79,6,48,"NA:N,SA:N",0A9|1A6|2A1|3A1|4A16|5A14|6E15|7A1|8E11|9E3|10E3|11N1|12E2
74,27933,timeout,372,100,116.17,8,5,0.8673,0,0.618440,24,21,152,170,50,11,100,12,46,"NA:N,SA:N",0E1|1A1|2A1|3E1|4E4|5A14|6E14|7A1|8A1|9A1|10E1|11A1|12A4
75,28333,timeout,400,100,166.15,8,5,0.8654,0,0.636250,10,15,153,198,49,16,123,17,41,"NA:N,SA:N",0E1|1E3|2A1|3E1|4E3|5A1|6A1|7A1|8A1|9A1|10E7|11A3|12A1
76,28698,timeout,365,100,113.00,7,5,0.8637,0,0.600879,36,21,155,160,50,11,91,13,48,"NA:N,SA:N",0A1|1A11|2A7|3E2|4A1|5A1|6E10|7A14|8A1|9E4|10E2|11N1|12E3
77,29056,timeout,358,100,56.98,6,6,0.8620,0,0.625652,40,32,155,154,49,5,91,6,42,"NA:N,SA:N",0A1|1A9|2A20|3E3|4A1|5A8|6E12|7A1|8E7|9E4|10E3|11N1|12E3
78,29407,timeout,351,100,85.01,8,4,0.8603,0,0.605983,48,25,155,147,49,7,82,6,46,"NA:N,SA:N",0A3|1A1|2A13|3A1|4A15|5A1|6E9|7A13|8A1|9E11|10E3|11N1|12E2
79,29774,timeout,367,100,66.77,7,5,0.8586,0,0.636042,82,22,175,143,49,6,78,7,46,"NA:N,SA:N",0A17|1A19|2A8|3E7|4A17|5A1|6E4|7A1|8A19|9E3|10E4|11N1|12E4
80,30185,timeout,411,100,81.26,9,3,0.8566,0,0.599848,179,30,245,116,50,6,53,5,47,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A19|9E16|10E7|11N1|12E7
81,30566,timeout,381,100,106.36,6,6,0.8548,0,0.635060,9,25,152,179,50,11,109,14,45,"NA:N,SA:N",0A2|1A3|2A1|3A1|4E11|5A1|6E4|7A1|8E2|9E3|10E3|11N1|12E2
82,30939,timeout,373,100,106.73,7,5,0.8530,0,0.647079,44,30,167,156,50,10,88,11,47,"NA:N,SA:N",0A3|1A20|2A6|3A2|4A2|5A3|6E12|7A8|8E4|9E9|10E3|11N1|12E2
83,31301,timeout,362,100,136.32,7,6,0.8513,0,0.650693,29,42,150,162,50,14,89,17,45,"NA:N,SA:N",0E1|1A11|2A1|3E10|4E8|5A1|6E19|7A1|8A13|9A1|10E2|11A1|12E2
84,31649,timeout,348,100,96.83,7,5,0.8497,0,0.611625,50,41,152,146,50,9,79,9,43,"NA:N,SA:N",0A6|1A13|2A1|3A20|4A3|5A5|6E17|7A2|8E15|9E3|10E3|11N1|12E3
85,32004,timeout,355,100,53.95,5,7,0.8480,0,0.636782,21,41,150,155,50,6,91,10,42,"NA:N,SA:N",0E1|1A12|2A1|3E5|4E6|5A2|6A2|7A4|8E18|9E5|10E3|11N1|12E3
86,32404,loss,400,99,70.45,0,13,0.8461,0,0.604892,0,84,158,196,46,13,120,23,40,"NA:E,SA:E",0E5|1E4|2E4|3E6|4E4|5E4|6E4|7E5|8E5|9E8|10E15|11E17|12E3
87,32758,timeout,354,100,39.29,8,4,0.8444,0,0.610186,59,28,165,139,50,3,78,4,47,"NA:N,SA:N",0A20|1A20|2A7|3A1|4A2|5A7|6E18|7A1|8A1|9E4|10E2|11N1|12E4
88,33115,timeout,357,100,96.57,6,6,0.8427,0,0.592677,30,35,150,157,50,10,89,13,44,"NA:N,SA:N",0A2|1E3|2A1|3A6|4E8|5A4|6E15|7A5|8A12|9E4|10E3|11N1|12E2
89,33462,timeout,347,100,92.82,7,5,0.8411,0,0.588506,41,40,155,142,50,9,75,11,49,"NA:N,SA:N",0A3|1A20|2A2|3E18|4A1|5A6|6E13|7A6|8A3|9E7|10E1|11N1|12E1
90,33942,timeout,480,100,120.10,11,2,0.8388,0,0.592337,141,18,268,162,50,10,92,10,46,"NA:N,SA:A",0A13|1A20|2A19|3E3|4A1|5A6|6E15|7A20|8A11|9A1|10A20|11A10|12A20
91,34328,timeout,386,100,62.11,6,7,0.8369,0,0.626014,42,25,167,170,49,7,103,11,47,"NA:N,SA:A",0E1|1E1|2E1|3E1|4E2|5E3|6E16|7A2|8A1|9A8|10A20|11A7|12A4
92,34707,timeout,379,100,147.64,8,4,0.8351,0,0.606086,27,12,152,177,50,14,104,15,45,"NA:N,SA:N",0A13|1A1|2A3|3A2|4A3|5A1|6A1|7A3|8E5|9E3|10E2|11N1|12E2
93,35160,timeout,453,100,189.03,12,1,0.8330,0,0.604133,125,17,240,163,50,16,88,14,45,"NA:A,SA:N",0A4|1A17|2A5|3A6|4A20|5A7|6A20|7A13|8A10|9A2|10A3|11A18|12E17
94,35503,timeout,343,100,88.08,9,3,0.8314,0,0.609264,63,30,152,141,50,8,73,9,45,"NA:N,SA:N",0A9|1A13|2A2|3E20|4A20|5A2|6A1|7A1|8A14|9A1|10E3|11N1|12E7
95,35895,timeout,392,100,58.92,8,4,0.8295,0,0.586008,42,12,180,162,50,5,99,6,48,"NA:N,SA:N",0A3|1A2|2A2|3A18|4A1|5A2|6E3|7A12|8A2|9E5|10E2|11N1|12E2
96,36273,timeout,378,100,89.68,4,8,0.8277,0,0.569524,10,27,150,178,50,10,111,14,43,"NA:N,SA:N",0E1|1E1|2E3|3E1|4E12|5A1|6E5|7A1|8A7|9A1|10E2|11N1|12E2
97,36614,timeout,341,100,28.31,8,4,0.8261,0,0.591223,57,38,160,131,50,2,71,2,45,"NA:N,SA:N",0A10|1A6|2A1|3E18|4A20|5A2|6A2|7A8|8A8|9E15|10E3|11N1|12E2
98,37026,timeout,412,100,160.07,11,2,0.8241,0,0.601024,91,23,194,168,50,14,94,13,48,"NA:N,SA:A",0A2|1A1|2A6|3E3|4A1|5A2|6E20|7A9|8A5|9A18|10A7|11A20|12A20
99,37393,timeout,367,100,143.07,9,4,0.8224,0,0.537510,21,35,150,167,50,13,96,13,45,"NA:N,SA:N",0E1|1A1|2A1|3E3|4A1|5A1|6E13|7A1|8A1|9A13|10E18|11A1|12A1
100,37772,timeout,379,100,102.89,9,3,0.8206,0,0.603372,99,31,190,139,50,9,72,9,48,"NA:A,SA:N",0A18|1A5|2A20|3A2|4A3|5A15|6A8|7A20|8A8|9E19|10E6|11N1|12E6
101,38090,loss,318,76,44.78,0,12,0.8191,0,0.584139,0,49,131,155,32,10,92,18,26,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E6|5E9|6E9|7E3|8E9|9E5|10E2|11N1|12E2
102,38467,timeout,377,100,167.27,6,6,0.8173,0,0.617622,25,38,160,167,50,17,92,20,46,"NA:N,SA:N",0E3|1A7|2A1|3E9|4A7|5A1|6E18|7A7|8A2|9E4|10E2|11N1|12E2
103,38816,timeout,349,100,77.49,7,5,0.8156,0,0.586411,44,53,160,139,50,8,72,11,47,"NA:N,SA:N",0A2|1A12|2A7|3E19|4A20|5A1|6E19|7A1|8A1|9E7|10E5|11N1|12E3
104,39164,timeout,348,100,81.88,7,5,0.8140,0,0.587855,45,50,160,138,50,8,72,10,47,"NA:N,SA:N",0E1|1A3|2A1|3E19|4A19|5A2|6A1|7A2|8A17|9E20|10E5|11N1|12E5
105,39539,timeout,375,100,12.25,8,4,0.8122,0,0.585769,127,46,210,115,50,0,57,1,50,"NA:N,SA:N",0A20|1A20|2A19|3A20|4A20|5A1|6A12|7A15|8E10|9E14|10E11|11N1|12E11
106,39919,timeout,380,100,163.40,10,3,0.8104,0,0.602781,28,31,150,180,50,15,106,15,47,"NA:N,SA:N",0A2|1A1|2A3|3E3|4A1|5A1|6E8|7A4|8A1|9A1|10A3|11A11|12E20
107,40281,timeout,362,100,14.82,9,3,0.8087,0,0.574205,180,58,231,81,50,0,22,0,48,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A20|9E18|10E20|11N1|12E20
108,40678,timeout,397,100,166.52,2,10,0.8068,0,0.575674,2,41,153,195,49,19,118,24,42,"NA:N,SA:N",0E1|1E1|2E1|3E8|4E2|5E2|6E17|7A1|8A1|9E4|10E3|11N1|12E2
109,41083,timeout,405,100,137.60,9,4,0.8049,0,0.554401,48,31,185,170,50,13,98,14,44,"NA:N,SA:N",0A5|1A20|2A1|3E20|4A1|5A1|6E8|7A8|8E2|9E1|10A6|11A1|12A5
110,41506,timeout,423,100,131.33,1,12,0.8028,0,0.581795,4,143,170,211,42,16,129,23,38,"NA:E,SA:N",0E8|1E8|2E9|3E8|4E8|5E9|6E17|7E8|8E8|9E20|10E20|11A4|12E20
111,42008,timeout,502,100,35.62,11,2,0.8005,0,0.592656,218,29,320,132,50,1,71,1,46,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A20|9A18|10E17|11A20|12E12
112,42398,timeout,390,100,99.70,2,11,0.7986,0,0.611733,14,53,150,190,50,13,118,21,40,"NA:E,SA:N",0E2|1E1|2E2|3E1|4E2|5E2|6E1|7E2|8E8|9E12|10E20|11A12|12A2
113,42787,timeout,389,100,45.94,7,5,0.7968,0,0.563067,117,41,215,124,50,4,62,5,49,"NA:N,SA:N",0A17|1A20|2A20|3A15|4A8|5A20|6E4|7A17|8E7|9E11|10E9|11N1|12E10
114,43149,timeout,362,100,69.87,6,6,0.7950,0,0.533153,29,44,152,160,50,7,95,9,46,"NA:N,SA:N",0A16|1A2|2A3|3E16|4A5|5A2|6E17|7A1|8E6|9E1|10E2|11N1|12E2
115,43562,timeout,413,100,87.03,9,3,0.7931,0,0.569456,174,59,256,107,50,7,42,7,47,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A14|9E19|10E20|11N1|12E20
116,43956,timeout,394,100,104.89,9,3,0.7912,0,0.530116,84,20,195,149,50,9,82,9,49,"NA:A,SA:N",0A10|1A18|2A3|3A1|4A15|5A20|6A1|7A13|8A3|9E12|10E4|11N1|12E4
117,44339,loss,383,91,85.98,0,12,0.7894,0,0.554023,0,32,146,195,42,14,124,22,34,"NA:E,SA:N",0E1|1E1|2E1|3E3|4E4|5E4|6E4|7E3|8E4|9E2|10E2|11N1|12E3
118,44705,timeout,366,100,89.16,7,5,0.7877,0,0.556135,28,27,150,166,50,8,102,8,44,"NA:N,SA:N",0E1|1A8|2A1|3E15|4A1|5A11|6A1|7A5|8A1|9E3|10E4|11N1|12E4
119,45062,timeout,357,100,24.97,7,5,0.7860,0,0.587479,79,42,180,127,50,2,67,4,48,"NA:N,SA:N",0A13|1A20|2A20|3E2|4A5|5A2|6E14|7A18|8A1|9E17|10E4|11N1|12E5
120,45453,loss,391,96,33.76,0,12,0.7841,0,0.555214,0,38,154,191,46,9,123,18,42,"NA:E,SA:N",0E1|1E1|2E1|3E4|4E4|5E1|6E6|7E3|8E3|9E6|10E4|11N1|12E4
