32,4882,timeout,150,30,-35.47,6,6,0.7681,0,0.343281,60,51,90,30,30,1,17,3,29,"NA:N,SA:N",0A3|1A11|2A20|3E17|4A1|5A20|6E16|7A5|8E5|9E4|10E4|11N1|12E5
33,5032,timeout,150,30,-34.31,5,7,0.7610,0,0.344288,65,48,90,30,30,1,17,4,27,"NA:N,SA:N",0E1|1E1|2A5|3E19|4A20|5A1|6A19|7A20|8E20|9E2|10E3|11N1|12E2
34,5182,timeout,150,30,-16.60,6,6,0.7539,0,0.349650,71,36,90,30,30,1,20,3,30,"NA:N,SA:N",0A20|1A7|2A4|3E16|4A20|5A1|6E6|7A19|8E2|9E3|10E4|11N1|12E5
35,5344,timeout,162,30,-30.34,5,7,0.7462,0,0.341262,67,53,99,33,30,2,20,4,30,"NA:N,SA:N",0E1|1A15|2A7|3E20|4A20|5A5|6E20|7A20|8E3|9E3|10E3|11N1|12E3
36,5498,timeout,154,30,-32.56,5,7,0.7388,0,0.330479,65,46,93,31,30,0,19,3,30,"NA:N,SA:N",0E1|1A5|2A20|3E11|4A11|5A20|6E18|7A9|8E3|9E3|10E5|11N1|12E5
37,5652,timeout,154,30,-31.72,5,7,0.7315,0,0.348934,54,51,93,31,30,2,21,4,28,"NA:N,SA:N",0E1|1E19|2A7|3E4|4A18|5A20|6E20|7A3|8A6|9E3|10E2|11N1|12E2
38,5802,timeout,150,30,-33.53,4,8,0.7244,0,0.342140,52,47,90,30,30,0,22,3,27,"NA:N,SA:N",0E1|1E5|2A20|3E10|4A20|5A6|6E18|7A6|8E4|9E3|10E3|11N1|12E3
39,5956,timeout,154,30,-41.22,4,8,0.7171,0,0.345617,62,54,93,31,30,3,16,7,30,"NA:N,SA:N",0E1|1E1|2A20|3E6|4E15|5A10|6A18|7A14|8E20|9E3|10E4|11N1|12E4
40,6106,timeout,150,30,-19.64,6,6,0.7100,0,0.348012,57,46,90,30,30,1,19,3,27,"NA:N,SA:N",0A2|1A1|2A20|3E10|4A20|5A8|6E20|7A6|8E5|9E3|10E3|11N1|12E5
41,6256,timeout,150,30,-19.87,6,6,0.7028,0,0.339080,59,56,90,30,30,4,16,5,27,"NA:N,SA:N",0A3|1A1|2A3|3E4|4A20|5A12|6E20|7A20|8E20|9E4|10E4|11N1|12E4
42,6406,timeout,150,30,-33.44,4,8,0.6957,0,0.340193,53,53,90,30,30,1,18,4,29,"NA:N,SA:N",0E1|1E5|2A5|3E13|4A19|5A9|6E20|7A20|8E5|9E3|10E3|11N1|12E3
43,6560,timeout,154,30,-38.19,5,7,0.6884,0,0.343186,50,60,93,31,30,1,19,4,26,"NA:N,SA:N",0E1|1E13|2A3|3E20|4A11|5A20|6A2|7A14|8E19|9E2|10E3|11N1|12E2
44,6722,timeout,162,30,-39.40,6,6,0.6807,0,0.347236,59,53,99,33,30,0,22,1,30,"NA:N,SA:N",0A10|1A1|2A1|3E15|4A7|5A20|6E20|7A20|8E7|9E3|10E4|11N1|12E4
45,6872,timeout,150,30,-27.60,5,7,0.6736,0,0.329244,62,46,90,30,30,1,18,4,26,"NA:N,SA:N",0E1|1A9|2A20|3E20|4A20|5A12|6E10|7A1|8E2|9E3|10E5|11N1|12E5
46,7022,timeout,150,30,-20.04,7,5,0.6665,0,0.327290,57,42,90,30,30,1,21,1,28,"NA:N,SA:N",0A8|1A3|2A16|3E20|4A20|5A1|6E12|7A1|8A8|9E2|10E4|11N1|12E4
47,7176,timeout,154,30,-30.74,5,7,0.6591,0,0.330057,60,59,93,31,30,2,17,5,27,"NA:N,SA:N",0E1|1E17|2A16|3E12|4A1|5A20|6E20|7A20|8A3|9E3|10E3|11N1|12E3
48,7326,timeout,150,30,-31.42,5,7,0.6520,0,0.334641,57,52,90,30,30,4,17,7,23,"NA:N,SA:N",0A1|1A1|2A15|3E5|4E20|5A20|6E14|7A20|8E6|9E2|10E2|11N1|12E3
49,7476,timeout,150,30,-38.40,6,6,0.6449,0,0.357420,48,57,90,30,30,2,18,3,30,"NA:N,SA:N",0E3|1A1|2A5|3E19|4A19|5A2|6E20|7A20|8A1|9E9|10E3|11N1|12E3
50,7626,timeout,150,30,-26.61,5,7,0.6378,0,0.336154,60,49,90,30,30,1,18,5,25,"NA:N,SA:N",0E1|1E8|2A1|3E6|4A13|5A19|6E20|7A20|8A7|9E8|10E3|11N1|12E3
51,7776,timeout,150,30,-33.08,5,7,0.6306,0,0.331883,58,48,90,30,30,3,17,5,25,"NA:N,SA:N",0E1|1A1|2A17|3E6|4E16|5A13|6E19|7A20|8A7|9E1|10E2|11N1|12E3
52,7930,timeout,154,30,-26.39,6,6,0.6233,0,0.344916,66,53,93,31,30,4,13,5,26,"NA:N,SA:N",0A3|1A20|2A10|3E17|4A12|5A1|6E20|7A20|8E7|9E3|10E3|11N1|12E3
53,8080,timeout,150,30,-34.85,4,8,0.6162,0,0.341596,53,54,90,30,30,2,18,5,28,"NA:N,SA:N",0E1|1E3|2A19|3E20|4A10|5A4|6E20|7A20|8E1|9E3|10E3|11N1|12E3
54,8226,timeout,146,30,-34.60,4,8,0.6093,0,0.307070,59,51,86,30,30,2,15,5,28,"NA:N,SA:N",0E1|1A2|2A17|3E5|4E14|5A20|6E19|7A20|8E5|9E2|10E3|11N1|12E2
55,8376,timeout,150,30,-26.99,4,8,0.6021,0,0.317539,59,54,90,30,30,3,17,7,27,"NA:N,SA:N",0E1|1E7|2A4|3E4|4A20|5A15|6E20|7A20|8E12|9E4|10E3|11N1|12E3
56,8526,timeout,150,30,-25.33,6,6,0.5950,0,0.339057,66,46,90,30,30,2,18,4,30,"NA:N,SA:N",0A1|1A5|2A20|3E1|4A2|5A20|6E20|7A18|8E18|9E3|10E2|11N1|12E2
57,8691,timeout,165,30,-15.71,6,6,0.5872,0,0.330865,82,51,105,30,30,0,17,3,26,"NA:N,SA:N",0A12|1A1|2A20|3E1|4A20|5A9|6E18|7A20|8E10|9E11|10E5|11N1|12E6
58,8841,timeout,150,30,-25.19,5,7,0.5801,0,0.339855,53,49,90,30,30,2,20,5,29,"NA:N,SA:N",0E2|1A2|2A1|3E6|4A14|5A16|6E20|7A20|8E14|9E2|10E3|11N1|12E2
59,8991,timeout,150,30,-44.98,4,8,0.5729,0,0.333680,50,57,90,30,30,2,18,7,29,"NA:N,SA:N",0E1|1E1|2A8|3E4|4A3|5A20|6E20|7A19|8E20|9E5|10E3|11N1|12E3
60,9141,timeout,150,30,-29.28,5,7,0.5658,0,0.319874,52,49,90,30,30,2,19,4,27,"NA:N,SA:N",0E1|1E5|2A1|3E1|4A16|5A1|6E20|7A14|8A20|9E17|10E3|11N1|12E2
61,9291,timeout,150,30,-15.17,6,6,0.5587,0,0.328290,72,46,90,30,30,5,15,6,28,"NA:N,SA:N",0E1|1A2|2A10|3E14|4A20|5A20|6E20|7A17|8A3|9E4|10E4|11N1|12E3
62,9449,timeout,158,30,-32.46,5,7,0.5512,0,0.337154,70,64,96,32,30,6,14,8,26,"NA:N,SA:N",0A7|1A3|2A20|3E1|4E18|5A20|6E20|7A20|8E17|9E3|10E2|11N1|12E3
63,9599,timeout,150,30,-28.79,4,8,0.5440,0,0.321047,58,53,90,30,30,2,19,5,30,"NA:N,SA:N",0E1|1E4|2A1|3E1|4A17|5A20|6E20|7A20|8E20|9E3|10E2|11N1|12E2
64,9749,timeout,150,30,-32.96,4,8,0.5369,0,0.326899,56,58,90,30,30,2,18,6,24,"NA:N,SA:N",0A8|1E1|2A8|3E1|4E20|5A20|6E13|7A20|8E12|9E4|10E3|11N1|12E4
65,9899,timeout,150,30,-28.07,4,8,0.5298,0,0.311648,61,55,90,30,30,4,18,7,27,"NA:N,SA:N",0E1|1A2|2A19|3E1|4E18|5A20|6E17|7A20|8E9|9E3|10E3|11N1|12E3
