# run_timestamp,20260509_062927
# total_steps,10000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,20000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,30
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,150,timeout,150,30,-36.58,5,7,0.9929,0,0.665164,60,55,90,30,30,4,15,7,25,"NA:N,SA:N",0E3|1A2|2A20|3E8|4A20|5A15|6E20|7A3|8E15|9E3|10E3|11N1|12E3
2,300,timeout,150,30,-21.95,6,6,0.9858,0,0.495938,62,50,90,30,30,0,16,2,27,"NA:N,SA:N",0A5|1A20|2A2|3E20|4A7|5A20|6E12|7A8|8E3|9E5|10E5|11N1|12E5
3,450,timeout,150,30,-22.75,4,8,0.9786,0,0.418469,53,45,90,30,30,2,20,5,26,"NA:N,SA:N",0E1|1A4|2A20|3E1|4E19|5A9|6E9|7A20|8E8|9E2|10E2|11N1|12E3
4,604,timeout,154,30,-60.59,5,7,0.9713,0,0.378695,52,55,93,31,30,0,20,3,27,"NA:N,SA:N",0A13|1E6|2A2|3A20|4E19|5A15|6A2|7E20|8E4|9E2|10E2|11N1|12E2
5,754,timeout,150,30,-49.94,4,8,0.9642,0,0.369954,58,46,90,30,30,0,19,4,28,"NA:N,SA:N",0E1|1E6|2A20|3E19|4A12|5A20|6E12|7A6|8E1|9E3|10E2|11N1|12E2
6,904,timeout,150,30,-19.93,7,5,0.9571,0,0.371984,59,53,90,30,30,0,14,1,28,"NA:N,SA:N",0A6|1A6|2A2|3A16|4A20|5A1|6E8|7A8|8E17|9E9|10E9|11N1|12E10
7,1054,timeout,150,30,-27.99,4,8,0.9499,0,0.331196,56,48,90,30,30,1,20,4,28,"NA:N,SA:N",0E1|1E1|2A20|3E3|4E20|5A12|6E14|7A20|8A4|9E3|10E3|11N1|12E3
8,1204,timeout,150,30,-34.19,4,8,0.9428,0,0.317858,62,48,90,30,30,1,16,5,28,"NA:N,SA:N",0E1|1E9|2A20|3E11|4A20|5A2|6E11|7A20|8E3|9E4|10E4|11N1|12E5
9,1354,timeout,150,30,-48.51,6,6,0.9357,0,0.331764,50,62,90,30,30,0,17,2,27,"NA:N,SA:N",0A18|1A12|2A6|3E20|4A10|5A3|6E20|7A1|8E11|9E4|10E4|11N1|12E3
10,1504,timeout,150,30,-37.34,4,8,0.9286,0,0.318366,52,53,90,30,30,3,16,6,28,"NA:N,SA:N",0E1|1E3|2A17|3E1|4E20|5A1|6E20|7A14|8A20|9E3|10E3|11N1|12E2
11,1654,timeout,150,30,-44.60,4,8,0.9214,0,0.319637,55,59,90,30,30,0,16,4,30,"NA:N,SA:N",0E1|1E10|2A8|3E3|4A19|5A20|6E20|7A8|8E17|9E3|10E3|11N1|12E2
12,1799,timeout,145,30,-32.96,3,9,0.9145,0,0.318792,60,45,84,31,30,1,19,5,26,"NA:N,SA:N",0E1|1E3|2A20|3E1|4E20|5A20|6E6|7A20|8E6|9E3|10E2|11N1|12E3
13,1949,timeout,150,30,-25.99,5,7,0.9074,0,0.273874,55,47,90,30,30,0,21,3,27,"NA:N,SA:N",0E4|1A17|2A8|3E20|4A4|5A20|6E10|7A6|8E4|9E3|10E3|11N1|12E3
14,2099,timeout,150,30,-42.17,6,6,0.9003,0,0.308340,60,55,90,30,30,0,16,2,28,"NA:N,SA:N",0A19|1A10|2A20|3E19|4A1|5A1|6E15|7A9|8E6|9E5|10E5|11N1|12E5
15,2249,timeout,150,30,-38.53,3,9,0.8932,0,0.297291,54,60,90,30,30,1,16,5,27,"NA:N,SA:N",0E1|1E1|2A14|3E1|4E19|5A20|6E17|7A20|8E14|9E2|10E3|11N1|12E2
16,2399,timeout,150,30,-38.04,5,7,0.8860,0,0.283514,60,48,90,30,30,0,17,3,27,"NA:N,SA:N",0E1|1A15|2A7|3E16|4A16|5A2|6E20|7A20|8E2|9E3|10E3|11N1|12E3
17,2559,timeout,160,30,-31.94,6,6,0.8784,0,0.287577,68,54,100,30,30,0,13,3,28,"NA:N,SA:N",0A4|1A18|2A5|3E5|4A1|5A20|6E16|7A20|8E6|9E13|10E7|11N1|12E7
18,2709,timeout,150,30,-40.01,5,7,0.8713,0,0.264278,53,50,90,30,30,2,18,4,24,"NA:N,SA:N",0E1|1E1|2A5|3E15|4A1|5A14|6E20|7A20|8A13|9E8|10E3|11N1|12E2
19,2863,timeout,154,30,-50.79,5,7,0.8640,0,0.298093,58,63,93,31,30,2,14,5,29,"NA:N,SA:N",0E8|1A16|2A20|3E18|4A1|5A20|6E15|7A1|8E9|9E5|10E4|11N1|12E4
20,3013,timeout,150,30,-35.94,4,8,0.8569,0,0.306042,64,46,90,30,30,1,17,4,26,"NA:N,SA:N",0E1|1E1|2A19|3E17|4E10|5A5|6E8|7A20|8A20|9E3|10E3|11N1|12E3
21,3163,timeout,150,30,-29.98,6,6,0.8498,0,0.308170,60,50,90,30,30,1,17,3,28,"NA:N,SA:N",0A10|1A1|2A5|3E19|4A20|5A20|6E13|7A4|8E7|9E4|10E3|11N1|12E4
22,3313,timeout,150,30,-8.90,7,5,0.8426,0,0.320917,71,37,90,30,30,3,17,3,28,"NA:N,SA:N",0A4|1A2|2A9|3E11|4A20|5A10|6E20|7A20|8A6|9E2|10E2|11N1|12E2
23,3463,timeout,150,30,-18.96,7,5,0.8355,0,0.284039,64,49,90,30,30,2,15,4,28,"NA:N,SA:N",0A3|1A11|2A20|3E17|4A20|5A1|6A5|7A4|8E13|9E5|10E7|11N1|12E7
24,3671,timeout,208,30,-55.06,4,8,0.8256,0,0.314264,61,81,129,49,30,3,34,7,23,"NA:N,SA:N",0A19|1E3|2E13|3A4|4E20|5A18|6A20|7E20|8E17|9E3|10E2|11N1|12E3
25,3821,timeout,150,30,-40.85,5,7,0.8185,0,0.322477,62,50,90,30,30,0,17,3,27,"NA:N,SA:N",0E1|1A5|2A20|3E16|4A20|5A2|6E20|7A15|8E4|9E3|10E3|11N1|12E3
26,3970,timeout,149,30,-23.58,4,8,0.8114,0,0.311603,63,47,89,30,30,1,17,5,27,"NA:N,SA:N",0E1|1E1|2A14|3E7|4E20|5A18|6E12|7A11|8A20|9E1|10E2|11N1|12E3
27,4120,timeout,150,30,-27.83,6,6,0.8043,0,0.327254,67,50,90,30,30,2,15,3,27,"NA:N,SA:N",0A14|1A1|2A4|3E3|4A20|5A20|6E17|7A8|8E19|9E3|10E4|11N1|12E4
28,4270,timeout,150,30,-30.20,5,7,0.7972,0,0.335946,56,47,90,30,30,1,21,4,28,"NA:N,SA:N",0E1|1A2|2A20|3E14|4A20|5A1|6E20|7A13|8E3|9E3|10E3|11N1|12E3
29,4420,timeout,150,30,-33.88,6,6,0.7901,0,0.334081,57,45,90,30,30,0,21,2,28,"NA:N,SA:N",0A13|1A15|2A6|3E11|4A20|5A1|6E18|7A2|8E8|9E3|10E2|11N1|12E3
30,4570,timeout,150,30,-37.72,6,6,0.7829,0,0.324337,47,61,90,30,30,1,18,3,30,"NA:N,SA:N",0A3|1A1|2A20|3E20|4A4|5A18|6E20|7A1|8E12|9E3|10E3|11N1|12E3
31,4732,timeout,162,30,-31.50,6,6,0.7752,0,0.333008,73,47,99,33,30,0,20,1,29,"NA:N,SA:N",0A9|1A3|2A20|3E15|4A18|5A20|6E18|7A3|8E3|9E3|10E4|11N1|12E4
