# run_timestamp,20260509_063418
# total_steps,100000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,20000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,30
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,150,timeout,150,30,-31.16,6,6,0.9929,0,0.496063,60,47,90,30,30,1,15,3,29,"NA:N,SA:N",0A12|1A3|2A17|3E12|4A6|5A20|6E20|7A2|8E6|9E3|10E3|11N1|12E3
2,300,timeout,150,30,-29.04,5,7,0.9858,0,0.353407,59,53,90,30,30,3,15,5,26,"NA:N,SA:N",0E1|1A3|2A9|3A15|4E18|5A12|6E20|7A20|8E5|9E3|10E3|11N1|12E3
3,450,timeout,150,30,-33.72,6,6,0.9786,0,0.371546,66,46,90,30,30,3,16,5,26,"NA:N,SA:N",0A9|1A19|2A14|3E18|4A20|5A1|6E18|7A3|8E1|9E3|10E3|11N1|12E3
4,604,timeout,154,30,-40.64,6,6,0.9713,0,0.360559,50,63,93,31,30,3,17,5,29,"NA:N,SA:N",0A1|1A1|2A20|3A5|4E18|5A20|6E15|7A3|8E19|9E4|10E3|11N1|12E4
5,754,timeout,150,30,-48.95,4,8,0.9642,0,0.427819,58,57,90,30,30,1,15,5,29,"NA:N,SA:N",0E6|1E2|2A20|3E16|4E20|5A20|6A17|7A1|8E6|9E2|10E2|11N1|12E3
6,908,timeout,154,30,-34.00,6,6,0.9569,0,0.446787,70,41,93,31,30,1,14,3,30,"NA:N,SA:N",0E2|1A19|2A5|3E20|4A17|5A6|6A3|7A20|8E12|9E2|10E3|11N1|12E2
7,1058,timeout,150,30,-37.43,7,5,0.9497,0,0.428374,52,56,90,30,30,1,17,2,27,"NA:N,SA:N",0A6|1A1|2A3|3E19|4A20|5A1|6E20|7A20|8A1|9E11|10E3|11N1|12E3
8,1212,timeout,154,30,-34.47,5,7,0.9424,0,0.449614,56,52,93,31,30,0,19,3,26,"NA:N,SA:N",0E1|1A16|2A3|3E17|4A5|5A20|6E18|7A12|8E7|9E3|10E3|11N1|12E3
9,1362,timeout,150,30,-34.36,6,6,0.9353,0,0.427013,69,50,90,30,30,2,10,4,27,"NA:N,SA:N",0E1|1A1|2A4|3E19|4A20|5A4|6A20|7A20|8E19|9E3|10E4|11N1|12E4
10,1512,timeout,150,30,-46.88,5,7,0.9282,0,0.396636,56,59,90,30,30,0,13,2,28,"NA:N,SA:N",0E8|1A9|2A20|3E20|4A20|5A2|6E20|7A5|8E4|9E2|10E2|11N1|12E3
11,1662,timeout,150,30,-19.13,6,6,0.9211,0,0.392108,58,48,90,30,30,2,19,3,25,"NA:N,SA:N",0E10|1A20|2A17|3E20|4A12|5A3|6E7|7A1|8A5|9E3|10E4|11N1|12E4
12,1812,timeout,150,30,-46.06,6,6,0.9139,0,0.370911,54,55,90,30,30,3,16,5,28,"NA:N,SA:N",0E6|1A15|2A4|3E20|4A20|5A1|6E20|7A3|8A11|9E3|10E3|11N1|12E3
13,1962,timeout,150,30,-36.99,6,6,0.9068,0,0.356519,51,59,90,30,30,1,14,3,28,"NA:N,SA:N",0A20|1A6|2A1|3E18|4A17|5A6|6E20|7A1|8E11|9E3|10E4|11N1|12E3
14,2112,timeout,150,30,-59.40,4,8,0.8997,0,0.372086,49,64,90,30,30,1,15,5,30,"NA:N,SA:N",0E1|1E1|2A20|3E17|4E16|5A6|6A3|7A20|8E20|9E3|10E3|11N1|12E3
15,2266,timeout,154,30,-48.04,5,7,0.8924,0,0.372030,56,56,93,31,30,1,18,4,27,"NA:N,SA:N",0E3|1A17|2A20|3E17|4A2|5A12|6E20|7A5|8E9|9E2|10E2|11N1|12E3
16,2416,timeout,150,30,-49.70,6,6,0.8852,0,0.325796,44,62,90,30,30,0,18,2,25,"NA:N,SA:N",0A2|1A20|2A2|3E20|4A18|5A1|6E20|7A1|8E11|9E4|10E4|11N1|12E3
17,2566,timeout,150,30,-52.27,6,6,0.8781,0,0.325550,54,54,90,30,30,1,18,2,28,"NA:N,SA:N",0E8|1A15|2A8|3E20|4A20|5A8|6A2|7A1|8E19|9E2|10E3|11N1|12E2
18,2716,timeout,150,30,-35.51,6,6,0.8710,0,0.322591,72,41,90,30,30,2,12,3,23,"NA:N,SA:N",0A11|1A5|2A14|3A20|4E17|5A2|6A20|7E12|8E2|9E3|10E3|11N1|12E4
19,2866,timeout,150,30,-43.31,4,8,0.8639,0,0.327485,57,56,90,30,30,0,16,4,25,"NA:N,SA:N",0E1|1E1|2A12|3A5|4E20|5A20|6A20|7E20|8E5|9E3|10E3|11N1|12E3
20,3016,timeout,150,30,-38.08,4,8,0.8567,0,0.324043,55,50,90,30,30,1,17,6,27,"NA:N,SA:N",0E1|1E10|2A8|3E3|4A18|5A20|6E20|7A9|8E6|9E6|10E2|11N1|12E2
21,3166,timeout,150,30,-32.03,6,6,0.8496,0,0.331005,50,58,90,30,30,0,20,2,29,"NA:N,SA:N",0A16|1A10|2A1|3E14|4A1|5A20|6E16|7A2|8E17|9E4|10E4|11N1|12E3
22,3316,timeout,150,30,-40.68,6,6,0.8425,0,0.314582,57,52,90,30,30,0,17,1,27,"NA:N,SA:N",0A6|1A20|2A5|3E20|4A5|5A1|6E20|7A20|8E3|9E3|10E3|11N1|12E3
23,3466,timeout,150,30,-33.48,6,6,0.8354,0,0.303975,52,57,90,30,30,0,18,1,28,"NA:N,SA:N",0A2|1A16|2A20|3E20|4A6|5A1|6E20|7A7|8E5|9E5|10E4|11N1|12E3
24,3616,timeout,150,30,-50.30,3,9,0.8282,0,0.305093,51,61,90,30,30,2,16,7,28,"NA:N,SA:N",0E5|1E1|2A18|3E13|4E7|5A16|6E19|7A17|8E8|9E3|10E2|11N1|12E3
25,3774,timeout,158,30,-41.63,6,6,0.8207,0,0.321528,61,53,96,32,30,0,19,1,29,"NA:N,SA:N",0A9|1A20|2A13|3E11|4A1|5A17|6E17|7A1|8E14|9E3|10E4|11N1|12E4
26,3928,timeout,154,30,-39.47,6,6,0.8134,0,0.316219,65,49,93,31,30,0,18,1,28,"NA:N,SA:N",0A14|1A10|2A1|3E19|4A19|5A20|6E18|7A1|8E4|9E2|10E3|11N1|12E3
27,4078,timeout,150,30,-42.54,5,7,0.8063,0,0.300373,56,50,90,30,30,1,21,3,28,"NA:N,SA:N",0E9|1A18|2A1|3A10|4E20|5A7|6E12|7A20|8E1|9E3|10E3|11N1|12E2
28,4228,timeout,150,30,-21.03,6,6,0.7992,0,0.297278,60,46,90,30,30,2,19,3,27,"NA:N,SA:N",0A9|1A20|2A18|3E9|4E20|5A6|6E10|7A6|8A1|9E1|10E3|11N1|12E3
29,4390,timeout,162,30,-44.46,5,7,0.7915,0,0.290776,56,59,99,33,30,0,19,2,24,"NA:N,SA:N",0A5|1E10|2A1|3A20|4E20|5A11|6E18|7A19|8E1|9E2|10E4|11N1|12E4
30,4540,timeout,150,30,-23.79,6,6,0.7843,0,0.282589,59,50,90,30,30,1,19,3,29,"NA:N,SA:N",0A1|1A20|2A1|3E20|4A1|5A16|6E13|7A20|8E7|9E3|10E4|11N1|12E3
31,4690,timeout,150,30,-43.15,4,8,0.7772,0,0.284323,59,55,90,30,30,0,17,3,28,"NA:N,SA:N",0E1|1E16|2A20|3E10|4A18|5A14|6E19|7A7|8E2|9E2|10E3|11N1|12E2
32,4840,timeout,150,30,-43.01,7,5,0.7701,0,0.295045,53,51,90,30,30,1,17,3,25,"NA:N,SA:N",0A16|1A9|2A1|3E19|4A2|5A1|6A20|7A4|8E20|9E7|10E3|11N1|12E2
33,4990,timeout,150,30,-58.19,5,7,0.7630,0,0.300300,53,59,90,30,30,1,21,4,30,"NA:N,SA:N",0E1|1E19|2A17|3A12|4E20|5A1|6A20|7A3|8E8|9E3|10E4|11N1|12E4
34,5144,timeout,154,30,-33.02,6,6,0.7557,0,0.273718,55,57,93,31,30,3,16,5,29,"NA:N,SA:N",0A20|1A3|2A1|3A1|4E15|5A10|6E17|7A20|8E18|9E2|10E3|11N1|12E2
35,5294,timeout,150,30,-52.71,6,6,0.7485,0,0.290185,55,61,90,30,30,0,13,1,29,"NA:N,SA:N",0A13|1A13|2A2|3E20|4A4|5A3|6E20|7A20|8E12|9E3|10E3|11N1|12E3
36,5444,timeout,150,30,-23.99,7,5,0.7414,0,0.297813,52,52,90,30,30,0,17,1,30,"NA:N,SA:N",0A20|1A1|2A1|3A7|4A14|5A7|6E19|7A2|8E16|9E5|10E5|11N1|12E7
37,5594,timeout,150,30,-14.39,8,4,0.7343,0,0.282351,61,40,90,30,30,2,19,2,26,"NA:N,SA:N",0A1|1A15|2A2|3E19|4A20|5A2|6A11|7A9|8A1|9E14|10E4|11N1|12E3
38,5744,timeout,150,30,-37.27,6,6,0.7272,0,0.287752,62,49,90,30,30,0,18,2,30,"NA:N,SA:N",0A15|1A3|2A5|3E20|4A20|5A1|6E16|7A18|8E2|9E3|10E4|11N1|12E4
39,5898,timeout,154,30,-29.75,6,6,0.7198,0,0.265600,53,53,93,31,30,2,19,4,29,"NA:N,SA:N",0A1|1A1|2A5|3E17|4A20|5A6|6E14|7A20|8E11|9E4|10E4|11N1|12E3
40,6052,timeout,154,30,-43.77,6,6,0.7125,0,0.257156,60,56,93,31,30,0,15,2,28,"NA:N,SA:N",0A19|1A18|2A8|3E19|4A1|5A2|6E17|7A12|8E11|9E3|10E3|11N1|12E3
41,6210,timeout,158,30,-39.51,6,6,0.7050,0,0.268590,56,52,96,32,30,0,21,1,26,"NA:N,SA:N",0A20|1A1|2A20|3E18|4A5|5A9|6E20|7A1|8E5|9E3|10E3|11N1|12E3
42,6360,timeout,150,30,-31.84,6,6,0.6979,0,0.244987,55,47,90,30,30,0,18,2,28,"NA:N,SA:N",0A17|1A1|2A13|3E20|4A1|5A3|6E16|7A20|8E5|9E2|10E2|11N1|12E2
43,6510,timeout,150,30,-46.86,6,6,0.6908,0,0.259462,53,57,90,30,30,2,16,4,27,"NA:N,SA:N",0E7|1A10|2A2|3E20|4A20|5A19|6A1|7A1|8E20|9E3|10E3|11N1|12E4
44,6660,timeout,150,30,-27.52,6,6,0.6837,0,0.265159,63,48,90,30,30,0,15,3,30,"NA:N,SA:N",0A17|1A11|2A5|3E6|4A20|5A3|6E3|7A7|8E14|9E9|10E8|11N1|12E8
45,6810,timeout,150,30,-53.39,7,5,0.6765,0,0.262447,48,61,90,30,30,1,17,2,29,"NA:N,SA:N",0A19|1A20|2A5|3E19|4A1|5A1|6A1|7A1|8E20|9E8|10E7|11N1|12E7
46,6960,timeout,150,30,-39.13,7,5,0.6694,0,0.255300,54,53,90,30,30,1,17,2,29,"NA:N,SA:N",0A18|1A1|2A3|3E18|4A20|5A1|6A6|7A5|8E20|9E5|10E5|11N1|12E5
47,7110,timeout,150,30,-39.45,6,6,0.6623,0,0.249885,48,60,90,30,30,1,20,2,27,"NA:N,SA:N",0A18|1A1|2A2|3E20|4A11|5A2|6E20|7A14|8E11|9E3|10E3|11N1|12E3
48,7260,timeout,150,30,-42.40,5,7,0.6552,0,0.255937,63,44,90,30,30,1,18,4,30,"NA:N,SA:N",0A17|1E3|2A4|3A2|4E17|5A20|6E13|7A20|8E2|9E3|10E3|11N1|12E3
49,7410,timeout,150,30,-45.23,7,5,0.6480,0,0.252915,53,55,90,30,30,1,19,2,28,"NA:N,SA:N",0A18|1A5|2A1|3E20|4A20|5A1|6A3|7A5|8E20|9E5|10E5|11N1|12E5
