50,7560,timeout,150,30,-26.63,6,6,0.6409,0,0.247894,47,48,90,30,30,0,22,2,29,"NA:N,SA:N",0A16|1A1|2A1|3E19|4A5|5A20|6E15|7A4|8E5|9E3|10E3|11N1|12E3
51,7710,timeout,150,30,-48.60,6,6,0.6338,0,0.249112,57,55,90,30,30,0,14,2,27,"NA:N,SA:N",0A18|1A8|2A20|3E19|4A3|5A1|6E20|7A7|8E9|9E3|10E2|11N1|12E2
52,7860,timeout,150,30,-20.76,7,5,0.6267,0,0.240735,64,38,90,30,30,1,18,2,27,"NA:N,SA:N",0A18|1A1|2A2|3E19|4A19|5A3|6E13|7A17|8A4|9E2|10E3|11N1|12E1
53,8014,timeout,154,30,-46.44,7,5,0.6193,0,0.235473,54,56,93,31,30,1,18,2,28,"NA:N,SA:N",0A16|1A20|2A3|3E20|4A1|5A12|6A1|7A1|8E20|9E6|10E5|11N1|12E5
54,8168,timeout,154,30,-28.49,7,5,0.6120,0,0.242494,60,46,93,31,30,2,19,3,27,"NA:N,SA:N",0A13|1A4|2A3|3E16|4A1|5A1|6A18|7A20|8E19|9E3|10E3|11N1|12E5
55,8318,timeout,150,30,-42.26,6,6,0.6049,0,0.242617,55,59,90,30,30,1,17,2,28,"NA:N,SA:N",0E5|1A16|2A4|3E20|4A20|5A1|6E20|7A13|8A1|9E7|10E3|11N1|12E4
56,8468,timeout,150,30,-41.85,7,5,0.5978,0,0.236643,62,44,90,30,30,1,17,2,30,"NA:N,SA:N",0A20|1A16|2A3|3A15|4E19|5A1|6A1|7A6|8E16|9E3|10E3|11N1|12E3
57,8618,timeout,150,30,-29.84,8,4,0.5906,0,0.236936,54,53,90,30,30,2,16,1,30,"NA:N,SA:N",0A20|1A1|2A2|3E18|4A8|5A4|6A1|7A17|8A1|9E19|10E8|11N1|12E8
58,8768,timeout,150,30,-38.64,7,5,0.5835,0,0.230480,52,55,90,30,30,1,18,2,28,"NA:N,SA:N",0A10|1A16|2A1|3E18|4A3|5A1|6E20|7A20|8A1|9E9|10E4|11N1|12E4
59,8918,timeout,150,30,-15.84,7,5,0.5764,0,0.224006,66,40,90,30,30,1,19,1,28,"NA:N,SA:N",0A19|1A10|2A20|3E19|4A6|5A2|6E11|7A8|8A1|9E3|10E4|11N1|12E3
60,9068,timeout,150,30,-59.79,6,6,0.5693,0,0.221344,48,58,90,30,30,1,17,3,29,"NA:N,SA:N",0E9|1A16|2A1|3E20|4A19|5A8|6A3|7A1|8E20|9E3|10E3|11N1|12E3
61,9218,timeout,150,30,-30.72,5,7,0.5621,0,0.224359,44,61,90,30,30,1,18,4,23,"NA:N,SA:N",0E1|1E19|2A20|3E15|4A19|5A1|6E20|7A3|8A1|9E2|10E2|11N1|12E2
62,9368,timeout,150,30,-44.31,7,5,0.5550,0,0.218979,48,55,90,30,30,1,18,2,28,"NA:N,SA:N",0A15|1A1|2A16|3E20|4A1|5A2|6E20|7A3|8A10|9E9|10E3|11N1|12E3
63,9526,timeout,158,30,-46.31,6,6,0.5475,0,0.230940,59,58,96,32,30,1,18,3,24,"NA:N,SA:N",0E14|1A18|2A11|3E20|4A20|5A1|6A1|7A8|8E15|9E3|10E3|11N1|12E3
64,9676,timeout,150,30,-26.36,7,5,0.5404,0,0.222869,50,52,90,30,30,1,21,2,29,"NA:N,SA:N",0A18|1A3|2A2|3E20|4A19|5A3|6E20|7A4|8A1|9E6|10E3|11N1|12E3
65,9826,timeout,150,30,-36.91,6,6,0.5333,0,0.217951,50,56,90,30,30,0,19,3,28,"NA:N,SA:N",0A17|1A7|2A1|3E19|4A20|5A2|6E20|7A3|8E6|9E5|10E3|11N1|12E3
66,9976,timeout,150,30,-38.15,7,5,0.5261,0,0.216225,57,47,90,30,30,0,19,1,29,"NA:N,SA:N",0A14|1A2|2A4|3A20|4A14|5A1|6E18|7A2|8E14|9E5|10E5|11N1|12E5
67,10131,timeout,155,30,-27.42,7,5,0.5188,0,0.217771,55,54,95,30,30,1,19,3,28,"NA:N,SA:N",0A14|1A11|2A4|3E20|4A2|5A3|6E17|7A1|8A20|9E9|10E4|11N1|12E4
68,10285,timeout,154,30,-39.51,6,5,0.5115,0,0.226868,53,57,93,31,30,1,18,2,26,"NA:N,SA:N",0A17|1A4|2A8|3E18|4A20|5N1|6A3|7A1|8E20|9E7|10E6|11N1|12E6
69,10435,timeout,150,30,-22.03,5,6,0.5043,0,0.216732,53,46,90,30,30,0,21,2,28,"NA:N,SA:N",0A18|1A19|2A3|3E20|4A7|5A6|6E13|7N1|8E5|9E2|10E3|11N1|12E3
70,10585,timeout,150,30,-41.50,6,5,0.4972,0,0.221822,50,50,90,30,30,1,20,2,28,"NA:N,SA:N",0A18|1A13|2A10|3E20|4A1|5N1|6E20|7A1|8A7|9E4|10E3|11N1|12E3
71,10735,timeout,150,30,-17.28,7,5,0.4901,0,0.220576,57,38,90,30,30,2,19,3,26,"NA:N,SA:N",0E11|1A14|2A10|3E20|4A5|5A20|6A6|7A1|8A1|9E2|10E2|11N1|12E3
72,10885,timeout,150,30,-20.60,6,6,0.4830,0,0.237803,66,41,90,30,30,4,16,6,29,"NA:N,SA:N",0E1|1A17|2A5|3E10|4A20|5A4|6E20|7A19|8A1|9E4|10E3|11N1|12E3
73,11039,timeout,154,30,-54.38,5,5,0.4756,0,0.220313,47,61,93,31,30,1,20,2,26,"NA:N,SA:N",0A20|1A17|2N1|3A6|4E20|5N1|6A1|7E20|8A3|9E13|10E4|11N1|12E4
74,11193,timeout,154,30,-21.27,7,5,0.4683,0,0.216554,62,49,93,31,30,0,17,1,29,"NA:N,SA:N",0A20|1A1|2A1|3A15|4A12|5A3|6E18|7A10|8E18|9E3|10E5|11N1|12E5
75,11343,timeout,150,30,-17.63,6,6,0.4612,0,0.240493,57,50,90,30,30,0,19,2,30,"NA:N,SA:N",0A17|1A20|2A12|3E20|4A1|5A2|6E13|7A5|8E3|9E3|10E4|11N1|12E7
76,11497,timeout,154,30,-23.41,7,5,0.4539,0,0.232804,64,43,93,31,30,1,21,1,30,"NA:N,SA:N",0A18|1A15|2A6|3E20|4A19|5A2|6A1|7A3|8E13|9E3|10E3|11N1|12E4
77,11647,timeout,150,30,-16.56,6,6,0.4468,0,0.213263,49,49,90,30,30,0,19,2,29,"NA:N,SA:N",0A4|1A20|2A1|3E18|4A19|5A1|6E20|7A4|8E5|9E2|10E2|11N1|12E2
78,11797,timeout,150,30,-29.98,5,6,0.4396,0,0.220887,51,54,90,30,30,0,18,2,28,"NA:N,SA:N",0A16|1A17|2A15|3E19|4A2|5A1|6E14|7N1|8E5|9E6|10E5|11N1|12E5
79,11951,timeout,154,30,-27.28,5,7,0.4323,0,0.226009,53,56,93,31,30,0,20,3,29,"NA:N,SA:N",0E1|1A1|2A16|3E9|4A16|5A1|6E20|7A19|8E14|9E4|10E4|11N1|12E4
80,12101,timeout,150,30,-33.06,6,6,0.4252,0,0.231404,59,56,90,30,30,0,17,3,29,"NA:N,SA:N",0A18|1A14|2A1|3E7|4A20|5A1|6E17|7A5|8E13|9E5|10E7|11N1|12E7
81,12251,timeout,150,30,-44.63,7,5,0.4181,0,0.226166,49,49,90,30,30,1,20,2,27,"NA:N,SA:N",0A7|1A10|2A13|3E19|4A1|5A2|6E20|7A1|8A15|9E5|10E2|11N1|12E3
82,12401,timeout,150,30,-42.72,5,7,0.4110,0,0.236252,55,54,90,30,30,1,19,3,30,"NA:N,SA:N",0E1|1E4|2A4|3E20|4A1|5A19|6A20|7A11|8E20|9E3|10E3|11N1|12E3
83,12551,timeout,150,30,-38.43,3,7,0.4038,0,0.221105,57,45,90,30,30,0,20,3,27,"NA:N,SA:N",0E1|1A20|2A20|3E18|4A17|5N1|6E10|7N1|8E5|9E3|10E4|11N1|12E4
84,12701,timeout,150,30,-30.48,6,5,0.3967,0,0.214934,45,53,90,30,30,1,22,1,29,"NA:N,SA:N",0A2|1A20|2A4|3E19|4A17|5N1|6E20|7A1|8A1|9E7|10E3|11N1|12E4
85,12855,timeout,154,30,-40.75,7,5,0.3894,0,0.221264,59,48,93,31,30,1,19,2,29,"NA:N,SA:N",0A1|1A16|2A1|3E19|4A10|5A9|6A20|7A2|8E20|9E3|10E3|11N1|12E3
86,13025,timeout,170,30,-4.25,8,4,0.3813,0,0.223639,77,45,110,30,30,0,18,1,29,"NA:N,SA:N",0A11|1A1|2A5|3A14|4A20|5A2|6A14|7A10|8E17|9E16|10E7|11N1|12E5
87,13175,timeout,150,30,-28.27,4,8,0.3742,0,0.235611,53,51,90,30,30,0,18,4,29,"NA:N,SA:N",0E1|1E1|2A11|3E14|4A2|5A20|6E19|7A20|8E5|9E5|10E3|11N1|12E3
88,13325,timeout,150,30,-18.70,6,6,0.3671,0,0.224002,52,54,90,30,30,2,19,2,30,"NA:N,SA:N",0E14|1A19|2A1|3E20|4A11|5A1|6E11|7A17|8A3|9E3|10E3|11N1|12E3
89,13475,timeout,150,30,-14.04,7,5,0.3599,0,0.215302,58,44,90,30,30,1,21,2,29,"NA:N,SA:N",0A8|1A5|2A1|3A19|4A8|5A1|6E19|7A16|8E18|9E2|10E3|11N1|12E2
90,13625,timeout,150,30,-10.23,7,5,0.3528,0,0.239480,57,43,90,30,30,0,20,2,30,"NA:N,SA:N",0A15|1A7|2A1|3A1|4A20|5A1|6E17|7A12|8E3|9E12|10E6|11N1|12E5
91,13775,timeout,150,30,-19.10,5,6,0.3457,0,0.212940,52,49,90,30,30,0,19,2,30,"NA:N,SA:N",0A6|1A9|2A11|3E11|4N1|5A20|6E15|7A6|8E12|9E7|10E2|11N1|12E2
92,13925,timeout,150,30,-26.70,7,5,0.3386,0,0.215698,50,49,90,30,30,1,19,3,30,"NA:N,SA:N",0A19|1A1|2A1|3A17|4A1|5A10|6E15|7A1|8E17|9E6|10E6|11N1|12E5
93,14075,timeout,150,30,-28.22,7,5,0.3314,0,0.214834,59,50,90,30,30,5,16,5,30,"NA:N,SA:N",0A5|1A3|2A9|3E18|4A20|5A1|6E20|7A20|8A1|9E7|10E3|11N1|12E2
94,14225,timeout,150,30,-28.68,5,7,0.3243,0,0.219358,64,45,90,30,30,1,21,4,29,"NA:N,SA:N",0E1|1A16|2A10|3E4|4A19|5A1|6E20|7A18|8E12|9E3|10E3|11N1|12E2
95,14375,timeout,150,30,-25.16,7,5,0.3172,0,0.225347,50,52,90,30,30,2,16,4,28,"NA:N,SA:N",0A16|1A1|2A1|3E16|4A2|5A1|6E15|7A15|8A14|9E16|10E3|11N1|12E2
96,14525,timeout,150,30,-31.91,6,6,0.3101,0,0.228156,51,46,90,30,30,2,20,5,30,"NA:N,SA:N",0E3|1A20|2A1|3E17|4A8|5A1|6A20|7A1|8E17|9E3|10E4|11N1|12E2
97,14685,timeout,160,30,-4.70,8,4,0.3025,0,0.235499,69,46,100,30,30,1,18,2,29,"NA:N,SA:N",0A7|1A1|2A1|3A17|4A2|5A17|6E19|7A20|8A4|9E13|10E7|11N1|12E7
98,14835,timeout,150,30,-7.46,7,5,0.2953,0,0.216922,54,45,90,30,30,1,19,3,30,"NA:N,SA:N",0A2|1A20|2A3|3A15|4A1|5A1|6E15|7A12|8E3|9E17|10E5|11N1|12E5
99,15015,timeout,180,30,-0.65,8,4,0.2868,0,0.214042,90,49,120,30,30,0,18,1,29,"NA:N,SA:N",0A2|1A1|2A12|3A7|4A20|5A17|6A11|7A20|8E19|9E16|10E7|11N1|12E7
100,15165,timeout,150,30,-16.50,5,5,0.2797,0,0.217460,52,38,90,30,30,1,23,3,30,"NA:N,SA:N",0A7|1A20|2N1|3E18|4A6|5N1|6E10|7A1|8A18|9E6|10E2|11N1|12E2
101,15315,timeout,150,30,-21.34,6,6,0.2725,0,0.227072,57,56,90,30,30,1,17,3,30,"NA:N,SA:N",0A18|1A1|2A6|3E18|4A7|5A5|6E20|7A20|8E11|9E2|10E2|11N1|12E3
102,15465,timeout,150,30,-31.44,4,8,0.2654,0,0.224685,40,62,90,30,30,0,21,5,27,"NA:N,SA:N",0E1|1E10|2A1|3E8|4A18|5A1|6E20|7A20|8E14|9E3|10E3|11N1|12E3
103,15615,timeout,150,30,-22.68,5,7,0.2583,0,0.214436,60,53,90,30,30,1,17,5,29,"NA:N,SA:N",0E1|1A20|2A1|3E20|4A19|5A1|6E12|7A19|8E5|9E5|10E5|11N1|12E5
104,15805,timeout,190,30,-4.68,9,3,0.2493,0,0.216631,97,58,130,30,30,0,10,1,29,"NA:A,SA:N",0A18|1A1|2A1|3A19|4A11|5A12|6A20|7A3|8A12|9E19|10E19|11N1|12E20
105,15955,timeout,150,30,-16.09,6,6,0.2421,0,0.231644,52,50,90,30,30,2,19,5,30,"NA:N,SA:N",0E3|1A19|2A1|3E12|4A11|5A1|6E9|7A18|8A2|9E15|10E5|11N1|12E6
106,16105,timeout,150,30,-10.63,7,5,0.2350,0,0.236146,59,43,90,30,30,2,19,3,29,"NA:N,SA:N",0E1|1A8|2A20|3E19|4A20|5A3|6E16|7A4|8A1|9A3|10E3|11N1|12E4
107,16255,timeout,150,30,-7.26,7,4,0.2279,0,0.221586,47,40,90,30,30,0,23,0,30,"NA:N,SA:N",0A1|1A1|2N1|3A4|4A6|5A1|6A17|7A17|8E19|9E7|10E7|11N1|12E7
108,16405,timeout,150,30,-12.04,6,5,0.2208,0,0.209267,63,44,90,30,30,5,18,5,29,"NA:N,SA:N",0E1|1E19|2A20|3E20|4A4|5A20|6A1|7N1|8A15|9A3|10E2|11N1|12E2
109,16555,timeout,150,30,-34.85,4,6,0.2136,0,0.227401,39,57,90,30,30,1,23,3,27,"NA:N,SA:N",0E19|1A16|2A2|3E20|4A1|5N1|6A20|7N1|8E10|9E3|10E2|11N1|12E3
110,16705,timeout,150,30,-19.77,5,7,0.2065,0,0.239465,49,51,90,30,30,3,18,7,30,"NA:N,SA:N",0E1|1E13|2A6|3E20|4A18|5A1|6A15|7A9|8E8|9E3|10E3|11N1|12E3
111,16855,timeout,150,30,-10.70,5,4,0.1994,0,0.238589,54,29,90,30,30,0,25,1,29,"NA:N,SA:N",0A1|1A17|2N1|3A1|4N1|5N1|6A15|7A20|8E18|9E4|10E3|11N1|12E4
112,17005,timeout,150,30,-22.89,7,5,0.1923,0,0.227719,53,51,90,30,30,0,19,2,28,"NA:N,SA:N",0A5|1A1|2A6|3A19|4A1|5A20|6E8|7A1|8E17|9E8|10E9|11N1|12E9
113,17155,timeout,150,30,-30.78,5,5,0.1851,0,0.243594,49,50,90,30,30,2,23,3,29,"NA:N,SA:N",0E4|1A17|2N1|3E20|4A20|5N1|6E20|7A1|8A10|9A1|10E3|11N1|12E3
114,17305,timeout,150,30,-21.51,6,6,0.1780,0,0.237697,53,52,90,30,30,3,19,5,30,"NA:N,SA:N",0E5|1A15|2A12|3E20|4A20|5A1|6E20|7A1|8A4|9E3|10E2|11N1|12E2
115,17455,timeout,150,30,-31.14,5,6,0.1709,0,0.232449,65,42,90,30,30,2,18,5,27,"NA:N,SA:N",0E1|1E3|2A13|3E20|4A13|5N1|6A18|7A20|8A1|9E10|10E4|11N1|12E4
116,17605,timeout,150,30,-22.85,3,6,0.1638,0,0.234008,58,39,90,30,30,0,22,3,29,"NA:N,SA:N",0A18|1A20|2N1|3E15|4A20|5N1|6E2|7N1|8E9|9E3|10E3|11N1|12E7
117,17844,timeout,239,30,-69.55,4,7,0.1524,0,0.228462,37,86,149,60,30,0,52,2,29,"NA:N,SA:N",0E18|1A6|2A1|3E20|4A20|5N1|6E20|7A10|8E17|9E3|10E4|11N1|12E4
118,17998,timeout,154,30,-25.50,3,6,0.1451,0,0.229760,45,54,93,31,30,0,24,3,28,"NA:N,SA:N",0A5|1A20|2N1|3E15|4A20|5N1|6E2|7N1|8E13|9E11|10E7|11N1|12E6
119,18148,timeout,150,30,-17.52,4,7,0.1380,0,0.243136,51,44,90,30,30,1,22,4,30,"NA:N,SA:N",0E3|1A20|2A12|3E20|4A18|5A1|6E9|7N1|8E3|9E3|10E3|11N1|12E3
