# run_timestamp,20260509_050943
# total_steps,10000
# learning_rate,0.00025
# gamma,0.95
# tau,0.01
# eps_decay,50000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,30
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,150,timeout,150,30,-26.00,6,6,0.9971,0,0.268533,63,43,90,30,30,3,16,4,27,"NA:N,SA:N",0A2|1A15|2A20|3E18|4A20|5A3|6E16|7A3|8E2|9E2|10E3|11N1|12E2
2,300,timeout,150,30,-23.00,5,7,0.9943,0,0.187670,62,56,90,30,30,0,15,3,28,"NA:N,SA:N",0A15|1E11|2A16|3A20|4E19|5A1|6A10|7E5|8E4|9E4|10E4|11N1|12E9
3,450,timeout,150,30,-26.50,5,7,0.9914,0,0.172338,39,66,90,30,30,0,19,3,27,"NA:N,SA:N",0E13|1A15|2A1|3E20|4A20|5A2|6E18|7A1|8E8|9E3|10E2|11N1|12E2
4,600,timeout,150,30,-39.50,4,8,0.9886,0,0.190735,58,53,90,30,30,3,16,7,29,"NA:N,SA:N",0E1|1E12|2A20|3E3|4A19|5A18|6E19|7A1|8E5|9E4|10E4|11N1|12E5
5,750,timeout,150,30,-22.00,5,7,0.9858,0,0.202729,56,57,90,30,30,0,15,3,24,"NA:N,SA:N",0E1|1A16|2A1|3E19|4A7|5A12|6E20|7A20|8E10|9E3|10E2|11N1|12E2
6,900,timeout,150,30,-26.00,6,6,0.9829,0,0.171646,74,51,90,30,30,3,14,5,29,"NA:N,SA:N",0A1|1A1|2A16|3E14|4A20|5A16|6E20|7A20|8E2|9E5|10E5|11N1|12E5
7,1050,timeout,150,30,-22.50,6,6,0.9800,0,0.173671,60,44,90,30,30,1,17,3,24,"NA:N,SA:N",0A3|1A14|2A18|3E18|4A20|5A1|6E13|7A4|8E5|9E3|10E2|11N1|12E3
8,1200,timeout,150,30,-26.00,5,7,0.9772,0,0.157874,61,53,90,30,30,1,15,4,24,"NA:N,SA:N",0E1|1A7|2A20|3E7|4A20|5A3|6E20|7A11|8E10|9E3|10E6|11N1|12E6
9,1350,timeout,150,30,-18.00,6,6,0.9743,0,0.155581,62,46,90,30,30,0,16,2,26,"NA:N,SA:N",0A9|1A1|2A14|3E16|4A8|5A10|6E18|7A20|8E3|9E3|10E3|11N1|12E3
10,1500,timeout,150,30,-33.00,4,8,0.9715,0,0.162683,52,57,90,30,30,2,15,5,27,"NA:N,SA:N",0E1|1E2|2A17|3E1|4E20|5A9|6E20|7A6|8A20|9E7|10E3|11N1|12E3
11,1650,timeout,150,30,-26.00,5,7,0.9687,0,0.181044,57,44,90,30,30,0,18,3,25,"NA:N,SA:N",0E3|1A20|2A12|3E8|4A19|5A4|6E11|7A2|8E13|9E3|10E3|11N1|12E3
12,1800,timeout,150,30,-12.00,8,4,0.9658,0,0.173379,61,40,90,30,30,2,18,1,25,"NA:N,SA:N",0A7|1A20|2A11|3E16|4A2|5A1|6A15|7A4|8A1|9E18|10E3|11N1|12E3
13,1950,timeout,150,30,-19.50,6,6,0.9629,0,0.169559,61,46,90,30,30,0,19,2,29,"NA:N,SA:N",0A19|1A5|2A10|3E19|4A20|5A5|6E15|7A2|8E1|9E3|10E4|11N1|12E4
