# run_timestamp,20260509_115539
# total_steps,200000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,300000
# grad_clip,1.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,100
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,388,timeout,388,100,-494.30,4,8,0.9988,0,1.437445,4,41,153,186,49,9,119,13,43,"NA:N,SA:N",0E1|1E5|2A1|3E2|4E3|5A1|6E19|7A1|8A1|9E4|10E3|11N1|12E4
2,851,timeout,463,100,-68.42,9,3,0.9973,0,1.183915,178,41,279,134,50,9,66,9,49,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A18|9E17|10E12|11N1|12E12
3,1234,timeout,383,100,-341.16,8,4,0.9961,0,1.162040,14,18,150,183,50,13,112,14,44,"NA:N,SA:N",0A1|1E1|2A1|3A1|4E13|5A3|6A3|7A1|8A1|9A3|10E2|11N1|12E2
4,1640,timeout,406,100,-411.51,4,9,0.9948,0,1.307481,6,42,161,198,47,15,120,21,38,"NA:N,SA:N",0E1|1E1|2E1|3E3|4E6|5E3|6E18|7A2|8A1|9A2|10E6|11A1|12E3
5,2103,timeout,463,100,-286.46,9,4,0.9933,0,1.350323,113,34,243,171,49,10,100,12,49,"NA:N,SA:N",0A10|1A20|2A20|3A20|4A1|5A20|6A20|7A1|8E5|9E13|10E11|11A1|12E5
6,2479,timeout,376,100,-319.94,8,5,0.9921,0,1.348729,25,22,150,176,50,12,106,12,45,"NA:N,SA:N",0E1|1E4|2A1|3E9|4A2|5A15|6A2|7A1|8A2|9A1|10E6|11A1|12E2
7,2877,loss,398,86,-496.14,0,12,0.9909,0,1.365257,0,31,164,203,31,12,128,18,23,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E2|5E3|6E2|7E4|8E3|9E7|10E3|11N1|12E3
8,3263,timeout,386,100,-196.96,6,6,0.9897,0,1.410481,16,29,153,184,49,20,106,22,42,"NA:N,SA:N",0A5|1E1|2E1|3A3|4A1|5E4|6A1|7A5|8A1|9E19|10E2|11N1|12E2
9,3641,timeout,378,100,-403.31,4,9,0.9885,0,1.488639,26,31,150,178,50,10,110,14,39,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E1|5E1|6E2|7E3|8A2|9A1|10E20|11A20|12A3
10,3998,timeout,357,100,-318.35,3,9,0.9873,0,1.454982,26,50,152,155,50,9,87,15,43,"NA:N,SA:N",0E1|1E1|2A7|3E3|4E20|5A18|6E3|7A1|8E10|9E5|10E3|11N1|12E4
11,4388,timeout,390,100,-265.93,7,6,0.9861,0,1.527318,12,25,150,190,50,18,114,20,45,"NA:N,SA:N",0A2|1E1|2E4|3A1|4E5|5E3|6A1|7A4|8A1|9E11|10A1|11A2|12E1
12,4792,timeout,404,100,-173.49,8,4,0.9848,0,1.525757,114,24,205,149,50,10,81,11,45,"NA:N,SA:N",0A20|1A20|2A20|3A15|4A1|5A9|6A20|7A9|8E5|9E11|10E4|11N1|12E4
13,5176,timeout,384,100,-346.97,10,3,0.9836,0,1.414410,29,16,160,174,50,9,106,9,45,"NA:N,SA:N",0E1|1A4|2A5|3E13|4A2|5A4|6A5|7A1|8A5|9A1|10E2|11A1|12A1
14,5577,timeout,401,100,-482.22,2,11,0.9823,0,1.458967,11,63,164,191,46,9,118,17,39,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E7|5E2|6E5|7E5|8E16|9A7|10E20|11A4|12E4
15,5970,timeout,393,100,-385.30,6,7,0.9811,0,1.371005,32,26,168,175,50,9,106,14,47,"NA:N,SA:A",0E1|1E1|2E1|3E4|4E4|5E3|6E12|7A9|8A1|9A1|10A9|11A11|12A1
16,6353,timeout,383,100,-458.95,6,7,0.9799,0,1.409793,25,45,155,179,49,9,111,10,40,"NA:N,SA:N",0E1|1E1|2E3|3E1|4E14|5A1|6E7|7A2|8A3|9A14|10E18|11A4|12A1
17,6758,timeout,405,100,-325.20,7,5,0.9786,0,1.367393,20,14,165,190,50,14,118,16,45,"NA:N,SA:N",0E1|1A7|2A2|3E3|4A1|5A7|6A1|7A1|8A1|9E2|10E3|11N1|12E5
18,7153,timeout,395,100,-505.13,5,8,0.9773,0,1.438123,17,45,167,178,50,5,112,10,45,"NA:N,SA:N",0E1|1E1|2A2|3E8|4E10|5A2|6A1|7A10|8E8|9E4|10E8|11A2|12E5
19,7488,timeout,335,100,-188.77,7,5,0.9763,0,1.373773,66,37,150,135,50,9,68,10,48,"NA:N,SA:N",0A9|1A20|2A20|3E8|4A6|5A7|6A2|7A2|8E17|9E4|10E4|11N1|12E4
20,7900,timeout,412,100,-169.50,9,3,0.9750,0,1.423401,61,19,187,175,50,16,101,15,45,"NA:A,SA:N",0A8|1A12|2A2|3A2|4A8|5A18|6A6|7A3|8A2|9E13|10E3|11N1|12E3
21,8283,timeout,383,100,-331.08,8,4,0.9738,0,1.406728,14,8,150,183,50,13,113,13,44,"NA:N,SA:N",0A1|1A2|2A3|3A2|4A1|5A1|6A3|7A1|8E4|9E1|10E1|11N1|12E2
22,8664,timeout,381,100,-395.19,5,8,0.9726,0,1.409469,15,47,150,181,50,14,108,19,40,"NA:N,SA:N",0E1|1E1|2E1|3E3|4E5|5E1|6A3|7E15|8A1|9A6|10E20|11A4|12A1
23,9051,timeout,387,100,-349.93,7,6,0.9713,0,1.404801,30,24,155,182,50,12,111,15,46,"NA:N,SA:N",0E1|1E1|2A1|3E11|4E5|5A13|6A9|7A3|8A1|9A1|10E1|11A2|12E5
24,9438,timeout,387,100,-367.14,4,9,0.9701,0,1.419072,26,16,152,185,50,13,114,16,45,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E1|5E2|6E1|7E5|8A12|9A2|10A4|11A8|12E3
25,9811,timeout,373,100,-340.71,7,6,0.9689,0,1.423499,20,33,150,173,50,11,103,14,38,"NA:N,SA:N",0E1|1A3|2A1|3E1|4E16|5A6|6E10|7A5|8A1|9A1|10E1|11A3|12E4
26,10223,timeout,412,100,-51.00,9,3,0.9676,0,1.470444,178,56,260,102,50,2,42,1,47,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A18|9E16|10E20|11N1|12E20
27,10560,loss,337,86,-480.80,0,13,0.9666,0,1.418627,0,63,134,162,41,7,100,17,34,"NA:E,SA:E",0E1|1E1|2E1|3E1|4E1|5E3|6E13|7E2|8E1|9E10|10E11|11E3|12E15
28,10932,timeout,372,100,-389.73,6,6,0.9654,0,1.379837,24,23,153,170,49,8,104,10,47,"NA:N,SA:N",0E1|1E1|2A2|3E9|4A2|5A8|6A1|7A6|8A5|9E6|10E3|11N1|12E3
29,11118,loss,186,45,-308.70,0,12,0.9648,0,1.432893,0,30,74,92,20,3,55,12,15,"NA:E,SA:N",0E1|1E1|2E1|3E3|4E1|5E5|6E3|7E2|8E4|9E3|10E3|11N1|12E3
30,11480,timeout,362,100,-266.77,7,5,0.9636,0,1.375432,34,36,152,160,50,10,91,12,43,"NA:N,SA:N",0E1|1A2|2A3|3E9|4A2|5A3|6A1|7A3|8A20|9E20|10E3|11N1|12E3
31,11849,timeout,369,100,-317.60,7,5,0.9625,0,1.420014,43,23,160,159,50,7,94,9,44,"NA:N,SA:N",0A4|1A6|2A1|3A14|4A10|5A7|6E11|7A1|8E3|9E6|10E2|11N1|12E1
32,12225,timeout,376,100,-287.89,8,4,0.9613,0,1.481472,47,27,167,159,50,8,91,10,46,"NA:N,SA:N",0A13|1A1|2A7|3E15|4A1|5A20|6A1|7A3|8A1|9E2|10E6|11N1|12E4
33,12604,timeout,379,100,-295.19,7,6,0.9601,0,1.374444,26,40,155,174,50,13,101,17,45,"NA:N,SA:N",0E1|1E7|2A1|3E3|4A2|5A4|6E20|7A15|8A2|9A1|10E4|11A1|12E5
34,12965,timeout,361,100,-329.96,6,6,0.9589,0,1.413717,32,23,150,161,50,8,95,11,44,"NA:N,SA:N",0A9|1A1|2A15|3E6|4A1|5A3|6E5|7A3|8E5|9E2|10E2|11N1|12E3
