35,13347,timeout,382,100,-385.41,5,8,0.9577,0,1.416836,16,30,150,182,50,13,110,18,40,"NA:N,SA:N",0E2|1E1|2E1|3E1|4E3|5E3|6A5|7E3|8A1|9A2|10A6|11A2|12E16
36,13725,timeout,378,100,-84.56,8,4,0.9565,0,1.380898,146,45,215,113,50,5,49,7,49,"NA:N,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A19|7A7|8E19|9E10|10E10|11N1|12E6
37,14134,timeout,409,100,-168.23,8,5,0.9552,0,1.405044,36,14,164,195,50,23,114,21,43,"NA:N,SA:A",0E1|1E1|2A6|3E1|4E10|5A1|6E1|7A2|8A7|9A2|10A1|11A4|12A13
38,14506,timeout,372,100,-357.39,7,6,0.9541,0,1.467338,14,24,150,172,50,9,104,12,49,"NA:N,SA:N",0E1|1E1|2A1|3E1|4E3|5A1|6E7|7A1|8A1|9A1|10A4|11A5|12E11
39,14919,timeout,413,100,-222.10,9,3,0.9528,0,1.410355,96,15,205,158,50,9,91,8,49,"NA:A,SA:N",0A20|1A17|2A20|3A11|4A11|5A4|6A1|7A4|8A8|9E9|10E3|11N1|12E3
40,15303,timeout,384,100,-227.59,10,3,0.9515,0,1.409779,50,24,162,172,50,14,99,13,45,"NA:N,SA:A",0E1|1E3|2A3|3E20|4A1|5A8|6A10|7A2|8A6|9A7|10A1|11A3|12A9
41,15647,timeout,344,100,-360.63,5,7,0.9505,0,1.406582,26,51,150,144,50,4,83,7,47,"NA:N,SA:N",0E4|1A1|2A20|3E17|4A1|5A2|6E16|7A2|8E1|9E3|10E5|11N1|12E5
42,16038,timeout,391,100,-532.14,3,10,0.9492,0,1.422966,7,39,153,189,49,8,121,14,38,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E5|5E3|6E12|7E3|8E3|9A1|10A5|11A1|12E9
43,16407,timeout,369,100,-236.12,8,4,0.9480,0,1.346945,53,12,160,159,50,10,91,11,48,"NA:N,SA:N",0A13|1A7|2A3|3E3|4A1|5A5|6A3|7A20|8A1|9E2|10E4|11N1|12E3
44,16689,loss,282,70,-381.27,0,13,0.9472,0,1.342526,0,51,110,139,33,8,85,17,29,"NA:E,SA:E",0E1|1E1|2E1|3E1|4E2|5E3|6E3|7E3|8E2|9E8|10E11|11E3|12E12
45,17083,timeout,394,100,-165.21,7,5,0.9459,0,1.380664,127,58,225,119,50,3,58,5,50,"NA:N,SA:N",0A20|1A20|2A20|3A19|4A19|5A20|6E3|7A9|8E14|9E16|10E12|11N1|12E13
46,17422,timeout,339,100,-210.27,7,5,0.9448,0,1.392728,77,53,167,122,50,4,58,7,45,"NA:N,SA:N",0A20|1A20|2A6|3A11|4A1|5A2|6E11|7A17|8E13|9E10|10E9|11N1|12E10
47,17793,timeout,371,100,-244.37,6,6,0.9437,0,1.368053,30,26,150,171,50,14,99,17,47,"NA:N,SA:N",0A2|1A1|2A4|3E3|4A1|5A4|6E6|7A18|8E6|9E5|10E3|11N1|12E3
48,18173,timeout,380,100,-295.82,5,7,0.9425,0,1.409058,27,27,152,178,50,14,106,17,44,"NA:N,SA:N",0E1|1A1|2A20|3E3|4A3|5A2|6E5|7A1|8E3|9E9|10E3|11N1|12E3
49,18583,timeout,410,100,-371.02,2,10,0.9412,0,1.342656,16,35,174,194,42,13,116,19,35,"NA:N,SA:N",0E3|1E1|2E1|3E1|4E1|5E3|6A3|7E12|8A13|9E3|10E3|11N1|12E7
50,18959,timeout,376,100,-346.56,11,2,0.9400,0,1.357028,30,28,150,176,50,11,106,9,49,"NA:N,SA:N",0A1|1A1|2A4|3A8|4A4|5A1|6E20|7A3|8A2|9A2|10E8|11A1|12A3
51,19414,timeout,455,100,-234.97,10,3,0.9385,0,1.434408,70,23,200,205,50,23,122,23,46,"NA:N,SA:A",0A3|1A1|2E1|3A1|4A1|5E7|6E15|7A1|8A1|9A20|10A20|11A10|12A12
52,19810,loss,396,99,-572.41,0,13,0.9373,0,1.376127,0,62,157,191,48,8,122,18,44,"NA:E,SA:E",0E1|1E2|2E1|3E4|4E1|5E1|6E1|7E6|8E5|9E8|10E18|11E3|12E11
53,20194,timeout,384,100,-369.05,5,8,0.9361,0,1.404824,24,39,155,179,50,12,108,17,45,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E1|5A4|6E6|7E20|8A13|9A2|10A1|11A4|12E8
54,20577,timeout,383,100,-394.68,5,7,0.9348,0,1.482523,12,25,150,183,50,11,114,14,47,"NA:N,SA:N",0E1|1E3|2A6|3E3|4A3|5A1|6E9|7A1|8A1|9E2|10E3|11N1|12E4
55,20985,timeout,408,100,-49.50,9,3,0.9335,0,1.430734,178,47,250,108,50,4,46,4,48,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A18|9E20|10E14|11N1|12E13
56,21354,timeout,369,100,-202.63,7,5,0.9324,0,1.527494,58,15,158,162,49,14,91,14,46,"NA:N,SA:N",0A3|1A14|2A20|3A4|4A7|5A1|6E3|7A9|8E5|9E2|10E2|11N1|12E3
57,21743,timeout,389,100,-447.50,2,11,0.9311,0,1.526072,18,53,152,187,50,11,116,19,35,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E1|5E1|6E1|7E1|8E19|9A12|10E20|11A6|12E6
58,22116,timeout,373,100,-402.52,4,8,0.9300,0,1.598896,24,39,153,171,49,10,103,14,41,"NA:N,SA:N",0E2|1E1|2E2|3E3|4E20|5A20|6A1|7A2|8A1|9E5|10E3|11N1|12E3
59,22485,timeout,369,100,-412.91,6,7,0.9288,0,1.559503,22,40,150,169,50,9,102,12,49,"NA:N,SA:N",0E1|1E1|2E1|3E3|4E20|5A2|6A10|7A1|8A1|9A5|10E11|11A3|12E3
60,22856,timeout,371,100,-301.81,7,5,0.9276,0,1.531327,27,35,157,164,50,9,96,11,45,"NA:N,SA:N",0A1|1A5|2A1|3E16|4A13|5A3|6A1|7A3|8E6|9E3|10E5|11N1|12E5
61,23219,timeout,363,100,-405.39,7,5,0.9265,0,1.577256,24,33,150,163,50,7,99,8,44,"NA:N,SA:N",0A5|1E17|2A14|3A1|4A1|5A1|6E7|7A1|8A1|9E3|10E3|11N1|12E3
62,23619,timeout,400,100,-479.20,1,12,0.9252,0,1.573231,14,108,165,190,45,9,118,16,39,"NA:E,SA:N",0E5|1E5|2E5|3E5|4E6|5E6|6E6|7E6|8E6|9E18|10E20|11A14|12E20
63,23964,timeout,345,100,-312.74,6,6,0.9241,0,1.590259,31,52,150,145,50,7,81,8,41,"NA:N,SA:N",0A16|1A1|2A2|3E20|4A2|5A9|6E17|7A1|8E8|9E2|10E3|11N1|12E2
64,24338,timeout,374,100,-256.15,11,2,0.9229,0,1.597462,36,20,153,172,49,13,100,11,45,"NA:N,SA:N",0A2|1A1|2A3|3A15|4A1|5A1|6E16|7A3|8A1|9A7|10A1|11A1|12E4
65,24715,timeout,377,100,-367.78,4,8,0.9217,0,1.617044,24,38,160,167,50,9,100,14,45,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E14|5A1|6E14|7A19|8A1|9A3|10E3|11N1|12E3
66,25087,timeout,372,100,-293.48,7,6,0.9206,0,1.642969,29,40,154,170,48,12,98,13,40,"NA:N,SA:N",0E1|1E1|2A2|3E1|4E1|5A1|6A4|7E16|8A11|9A2|10E20|11A1|12A8
67,25441,timeout,354,100,-427.70,7,6,0.9194,0,1.633924,33,36,150,154,50,4,91,7,46,"NA:N,SA:N",0E1|1E3|2A2|3E6|4A1|5A4|6E20|7A19|8A3|9A2|10E4|11A2|12E2
68,25829,timeout,388,100,-281.90,7,6,0.9182,0,1.620160,14,22,150,188,50,17,113,19,44,"NA:N,SA:N",0A2|1E1|2E1|3E1|4E13|5A2|6A1|7A2|8A3|9A3|10E3|11A1|12E3
69,26176,timeout,347,100,-274.60,6,6,0.9171,0,1.687360,31,45,150,147,50,9,80,12,43,"NA:N,SA:N",0A2|1E7|2A20|3A2|4E17|5A1|6E15|7A1|8A5|9E2|10E2|11N1|12E2
70,26512,timeout,336,100,-331.74,7,5,0.9160,0,1.622588,47,50,153,134,49,2,73,4,44,"NA:N,SA:N",0A1|1A12|2A4|3E19|4A6|5A20|6A1|7A3|8E18|9E5|10E4|11N1|12E4
71,26868,timeout,356,100,-270.50,8,4,0.9149,0,1.614415,42,35,155,152,49,8,85,8,43,"NA:N,SA:N",0A3|1A2|2A2|3A11|4A2|5A7|6E13|7A14|8A1|9E15|10E3|11N1|12E4
72,27246,timeout,378,100,-476.97,2,10,0.9137,0,1.641488,4,33,154,175,49,6,109,13,46,"NA:N,SA:N",0E1|1E1|2E1|3E2|4E4|5E3|6E12|7A3|8A1|9E3|10E3|11N1|12E3
73,27608,timeout,362,100,-262.69,6,6,0.9126,0,1.596193,73,35,175,137,50,5,74,8,47,"NA:N,SA:N",0A17|1A18|2A3|3E3|4A1|5A20|6E9|7A14|8E3|9E6|10E7|11N1|12E7
74,27959,timeout,351,100,-196.27,7,5,0.9115,0,1.589299,57,33,157,144,50,9,76,11,43,"NA:N,SA:N",0A17|1A20|2A4|3E9|4A13|5A1|6A1|7A1|8E7|9E9|10E4|11N1|12E4
75,28356,timeout,397,100,-451.07,1,12,0.9102,0,1.607054,8,135,168,185,44,9,111,18,38,"NA:E,SA:N",0E8|1E7|2E8|3E10|4E7|5E7|6E11|7E8|8E9|9E20|10E20|11A8|12E20
76,28764,timeout,408,100,-403.52,1,11,0.9089,0,1.643396,6,33,165,198,45,15,121,22,40,"NA:N,SA:N",0E3|1E1|2E1|3E1|4E1|5E2|6E3|7E7|8A6|9E8|10E3|11N1|12E3
77,29152,timeout,388,100,-217.70,8,4,0.9077,0,1.652746,91,25,195,143,50,6,78,8,49,"NA:N,SA:N",0A14|1A16|2A17|3E11|4A1|5A20|6A2|7A1|8A20|9E8|10E3|11N1|12E3
78,29496,timeout,344,100,-268.78,4,8,0.9066,0,1.726745,37,51,150,144,50,9,78,13,48,"NA:N,SA:N",0E1|1E1|2A1|3E2|4E20|5A1|6A20|7A15|8E20|9E2|10E2|11N1|12E3
79,29848,timeout,352,100,-252.77,10,3,0.9055,0,1.707033,46,18,150,152,50,8,86,7,45,"NA:N,SA:N",0A1|1A13|2A1|3A1|4E7|5A9|6E9|7A2|8A1|9A16|10A1|11A1|12E2
80,30234,timeout,386,100,-293.92,8,4,0.9043,0,1.626152,14,17,150,186,50,16,113,16,43,"NA:N,SA:N",0A3|1E3|2A1|3A1|4E9|5A4|6A1|7A1|8A2|9A1|10E2|11N1|12E3
81,30614,timeout,380,100,-86.41,10,3,0.9031,0,1.703722,64,27,172,158,50,17,83,16,48,"NA:N,SA:A",0E3|1A1|2A3|3E4|4E20|5A1|6A13|7A8|8A5|9A10|10A2|11A1|12A20
82,30969,timeout,355,100,-377.54,4,8,0.9019,0,1.660009,31,55,153,153,49,6,90,9,41,"NA:N,SA:N",0E1|1E2|2A9|3E8|4E16|5A1|6E18|7A20|8A1|9E3|10E3|11N1|12E4
83,31313,timeout,344,100,-187.82,7,5,0.9008,0,1.672901,93,46,175,119,50,3,58,5,45,"NA:N,SA:N",0A17|1A16|2A4|3A14|4A13|5A9|6E9|7A20|8E10|9E9|10E9|11N1|12E9
84,31693,timeout,380,100,-297.31,6,6,0.8996,0,1.639731,26,42,150,180,50,16,106,19,46,"NA:N,SA:N",0A1|1E3|2A1|3E1|4E14|5A20|6A1|7A1|8A2|9E20|10E2|11N1|12E2
85,32037,timeout,344,100,-328.05,8,4,0.8985,0,1.625647,57,24,152,142,50,3,81,3,45,"NA:N,SA:N",0A1|1A20|2A13|3E15|4A2|5A2|6A1|7A3|8A15|9E6|10E2|11N1|12E1
86,32411,timeout,374,100,-367.78,6,6,0.8974,0,1.700817,18,33,153,172,49,10,104,12,46,"NA:N,SA:N",0A2|1E3|2A1|3A1|4E13|5A1|6A1|7A12|8E10|9E3|10E2|11N1|12E2
87,32781,timeout,370,100,-326.86,8,5,0.8962,0,1.609128,32,19,150,170,50,11,101,12,43,"NA:N,SA:N",0E1|1A2|2A1|3E1|4E8|5A13|6E7|7A1|8A1|9A5|10A5|11A4|12E2
88,33161,timeout,380,100,-256.77,11,2,0.8950,0,1.615497,23,29,154,176,50,14,104,12,47,"NA:N,SA:A",0A1|1A1|2A1|3E9|4A1|5A5|6E20|7A4|8A1|9A2|10A4|11A1|12A2
89,33516,timeout,355,100,-279.78,7,6,0.8939,0,1.586985,32,34,150,155,50,10,86,13,49,"NA:N,SA:N",0E1|1E1|2A16|3E1|4E7|5A1|6E15|7A1|8A3|9A8|10A2|11A1|12E9
90,33880,timeout,364,100,-218.53,8,5,0.8927,0,1.672397,74,48,174,140,50,9,73,10,47,"NA:N,SA:A",0E1|1E8|2A16|3E2|4E20|5A1|6E17|7A1|8A17|9A20|10A1|11A2|12A16
91,34236,timeout,356,100,-326.00,6,6,0.8916,0,1.610566,44,46,155,151,50,7,86,9,44,"NA:N,SA:N",0E2|1A1|2A20|3E10|4A1|5A5|6E17|7A16|8A1|9E9|10E4|11N1|12E4
92,34613,timeout,377,100,-194.82,11,2,0.8904,0,1.574856,57,17,167,160,50,12,88,11,46,"NA:N,SA:N",0A2|1A15|2A6|3E10|4A2|5A15|6A1|7A3|8A1|9A2|10A9|11A1|12E7
93,34953,timeout,340,100,-227.99,5,7,0.8893,0,1.591685,55,34,150,140,50,8,74,12,43,"NA:N,SA:N",0E2|1A18|2A20|3E7|4A14|5A2|6E2|7A1|8E9|9E7|10E3|11N1|12E4
94,35316,timeout,363,100,-231.75,8,4,0.8882,0,1.550258,51,38,155,159,49,11,89,11,46,"NA:N,SA:N",0A2|1E11|2A2|3A1|4A1|5A20|6A2|7A20|8A3|9E17|10E3|11N1|12E7
95,35655,timeout,339,100,-290.74,7,5,0.8871,0,1.540660,71,25,152,137,50,3,76,3,46,"NA:N,SA:N",0A20|1A20|2A16|3A10|4A3|5A1|6E5|7A1|8E6|9E4|10E5|11N1|12E5
96,36012,timeout,357,100,-245.42,5,7,0.8860,0,1.630241,39,34,155,153,49,10,85,12,46,"NA:N,SA:N",0E1|1A3|2A6|3E1|4E12|5A7|6E11|7A3|8A20|9E4|10E2|11N1|12E3
97,36389,timeout,377,100,-321.71,7,6,0.8848,0,1.570353,39,35,159,168,50,11,98,14,41,"NA:N,SA:A",0E1|1E1|2E3|3E3|4E7|5A2|6E20|7A1|8A16|9A3|10A2|11A4|12A11
98,36742,timeout,353,100,-209.37,10,3,0.8837,0,1.694254,52,39,154,149,50,11,78,11,47,"NA:N,SA:A",0E4|1A18|2A10|3E17|4A1|5A7|6E18|7A1|8A7|9A2|10A1|11A3|12A2
99,37081,timeout,339,100,-312.46,5,7,0.8826,0,1.589577,51,36,150,139,50,5,76,9,47,"NA:N,SA:N",0E1|1A3|2A20|3E9|4A1|5A20|6E11|7A7|8E4|9E3|10E4|11N1|12E4
100,37477,timeout,396,100,-403.33,8,5,0.8813,0,1.554586,36,24,166,180,50,10,111,11,44,"NA:N,SA:A",0E1|1E1|2A4|3E1|4E10|5A1|6E11|7A2|8A4|9A10|10A3|11A8|12A4
101,37856,timeout,379,100,-183.76,10,3,0.8801,0,1.551599,40,23,160,169,50,15,96,14,46,"NA:A,SA:N",0A7|1A1|2A1|3A12|4A2|5A1|6A3|7A6|8A3|9E7|10E9|11A4|12E7
102,38242,timeout,386,100,-239.91,8,4,0.8789,0,1.471384,80,31,190,146,50,6,82,7,49,"NA:N,SA:N",0A20|1A20|2A6|3A10|4A15|5A3|6E12|7A1|8A5|9E10|10E4|11N1|12E5
103,38594,timeout,352,100,-300.57,6,6,0.8778,0,1.546987,46,31,150,152,50,8,87,10,49,"NA:N,SA:N",0A1|1E1|2E1|3A17|4E17|5A15|6A1|7A11|8A1|9E3|10E4|11N1|12E5
104,38970,timeout,376,100,-341.29,8,5,0.8766,0,1.462883,30,32,158,168,50,9,100,11,46,"NA:N,SA:A",0E1|1E2|2A1|3E6|4E3|5A5|6E20|7A8|8A3|9A1|10A4|11A4|12A4
105,39317,timeout,347,100,-283.62,6,6,0.8755,0,1.490365,41,46,150,147,50,8,82,10,47,"NA:N,SA:N",0E8|1E2|2A15|3A6|4A1|5A1|6E20|7A11|8A7|9E8|10E4|11N1|12E4
106,39665,timeout,348,100,-305.26,6,6,0.8744,0,1.449740,51,17,150,148,50,6,84,9,46,"NA:N,SA:N",0E1|1A1|2A20|3A2|4A1|5A20|6E3|7A7|8E6|9E3|10E2|11N1|12E2
107,40016,timeout,351,100,-322.24,4,9,0.8733,0,1.570535,40,43,152,149,50,7,84,11,40,"NA:N,SA:N",0E1|1E1|2E1|3E2|4E1|5E2|6E13|7A8|8A4|9A11|10E18|11A17|12E4
108,40370,timeout,354,100,-290.79,3,9,0.8722,0,1.499601,23,43,150,154,50,10,88,14,45,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E5|5A17|6E14|7A1|8A5|9E12|10E4|11N1|12E4
109,40736,timeout,366,100,-289.25,7,5,0.8710,0,1.398207,29,30,150,166,50,11,97,13,49,"NA:N,SA:N",0A3|1E1|2A1|3A3|4E12|5A13|6A1|7A1|8A7|9E9|10E4|11N1|12E4
110,41072,timeout,336,100,-295.42,3,9,0.8699,0,1.583430,44,53,150,136,50,6,73,11,44,"NA:N,SA:N",0E1|1E1|2A5|3E5|4E2|5A20|6E20|7A19|8E17|9E1|10E3|11N1|12E3
111,41431,timeout,359,100,-211.14,7,5,0.8688,0,1.567234,42,39,152,157,50,14,84,15,43,"NA:N,SA:N",0A6|1A1|2A9|3E3|4A1|5A3|6E17|7A20|8A2|9E13|10E3|11N1|12E3
112,41802,timeout,371,100,-261.64,7,6,0.8676,0,1.558757,34,20,153,169,49,13,97,15,45,"NA:N,SA:N",0E1|1A1|2A2|3E1|4E3|5A2|6E5|7A20|8A6|9A1|10E5|11A2|12E5
113,42134,timeout,332,100,-274.11,6,6,0.8666,0,1.521613,61,46,160,122,50,0,64,3,43,"NA:N,SA:N",0A17|1A12|2A1|3E19|4A17|5A5|6E12|7A9|8E5|9E4|10E3|11N1|12E3
114,42476,timeout,342,100,-251.48,6,6,0.8655,0,1.576163,50,39,150,142,50,7,78,9,48,"NA:N,SA:N",0A7|1A1|2A11|3E1|4E10|5A6|6E14|7A20|8A5|9E8|10E3|11N1|12E3
115,42822,timeout,346,100,-263.94,7,5,0.8644,0,1.639658,41,41,153,144,49,7,79,8,47,"NA:N,SA:N",0A3|1A10|2A15|3E18|4A1|5A1|6A10|7A1|8E6|9E6|10E6|11N1|12E5
116,43164,timeout,342,100,-310.02,6,6,0.8633,0,1.516474,40,47,150,142,50,6,79,8,46,"NA:N,SA:N",0E1|1A3|2A20|3E17|4A1|5A2|6A2|7A12|8E20|9E3|10E3|11N1|12E3
117,43529,timeout,365,100,-320.02,3,9,0.8622,0,1.446532,19,38,150,165,50,11,97,16,41,"NA:N,SA:N",0E1|1E1|2E1|3E6|4E17|5E1|6A17|7A1|8A1|9E6|10E2|11N1|12E3
118,43897,timeout,368,100,-248.17,9,4,0.8610,0,1.698657,50,25,160,159,49,10,88,11,44,"NA:N,SA:N",0E1|1E8|2A10|3E15|4A3|5A1|6A3|7A20|8A1|9A8|10A2|11A2|12E1
119,44264,timeout,367,100,-304.08,5,7,0.8598,0,1.436373,29,35,160,157,50,9,90,13,49,"NA:N,SA:N",0E1|1A8|2A1|3E1|4E13|5A1|6E12|7A18|8A1|9E3|10E3|11N1|12E2
