# run_timestamp,20260509_062155
# total_steps,10000
# learning_rate,0.00025
# gamma,0.95
# tau,0.01
# eps_decay,20000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,30
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,154,timeout,154,30,-25.67,7,5,0.9927,0,0.409101,65,45,93,31,30,1,17,2,26,"NA:N,SA:N",0A13|1A18|2A20|3E20|4A1|5A1|6A1|7A11|8E11|9E4|10E5|11N1|12E5
2,304,timeout,150,30,-35.79,5,7,0.9856,0,0.352832,58,52,90,30,30,3,18,6,30,"NA:N,SA:N",0E1|1E4|2A12|3A3|4E20|5A20|6A17|7A6|8E20|9E2|10E3|11N1|12E2
3,454,timeout,150,30,-26.28,7,5,0.9784,0,0.354375,60,54,90,30,30,0,15,2,29,"NA:N,SA:N",0A14|1A1|2A6|3A11|4A20|5A3|6E20|7A5|8E15|9E5|10E7|11N1|12E7
4,604,timeout,150,30,-37.71,5,7,0.9713,0,0.295104,60,50,90,30,30,1,20,3,27,"NA:N,SA:N",0E1|1A5|2A12|3E18|4A20|5A3|6E20|7A20|8E3|9E2|10E3|11N1|12E3
5,758,timeout,154,30,-36.98,4,8,0.9640,0,0.319729,69,48,93,31,30,2,16,5,26,"NA:N,SA:N",0E1|1E10|2A20|3E2|4A17|5A20|6E20|7A12|8E6|9E3|10E3|11N1|12E3
6,908,timeout,150,30,-33.19,6,6,0.9569,0,0.297336,58,54,90,30,30,3,15,5,27,"NA:N,SA:N",0A2|1A4|2A20|3E7|4A18|5A13|6E18|7A1|8E18|9E4|10E4|11N1|12E3
7,1058,timeout,150,30,-38.18,5,7,0.9497,0,0.286930,51,55,90,30,30,0,18,4,28,"NA:N,SA:N",0E9|1A18|2A16|3E20|4A3|5A3|6E10|7A11|8E2|9E7|10E4|11N1|12E3
8,1208,timeout,150,30,-32.13,5,7,0.9426,0,0.281757,63,49,90,30,30,0,17,2,28,"NA:N,SA:N",0E1|1A18|2A17|3E17|4A1|5A7|6E14|7A20|8E4|9E4|10E5|11N1|12E4
9,1358,timeout,150,30,-45.47,4,8,0.9355,0,0.256789,55,53,90,30,30,0,16,4,25,"NA:N,SA:N",0E1|1E5|2A20|3E12|4A4|5A16|6E18|7A15|8E6|9E4|10E3|11N1|12E4
10,1512,timeout,154,30,-30.64,7,5,0.9282,0,0.304443,67,42,93,31,30,1,20,2,26,"NA:N,SA:N",0A13|1A4|2A19|3E18|4A1|5A6|6A20|7A4|8E11|9E3|10E5|11N1|12E5
11,1662,timeout,150,30,-37.31,6,6,0.9211,0,0.272900,55,45,90,30,30,1,16,3,26,"NA:N,SA:N",0A15|1A2|2A8|3E17|4A2|5A20|6E19|7A8|8E1|9E3|10E2|11N1|12E3
12,1816,timeout,154,30,-40.30,3,9,0.9137,0,0.272455,54,54,93,31,30,0,19,5,27,"NA:N,SA:N",0E1|1E9|2A20|3E11|4E3|5A20|6E20|7A14|8E2|9E3|10E2|11N1|12E3
13,1970,timeout,154,30,-26.72,7,5,0.9064,0,0.283559,62,45,93,31,30,1,19,2,26,"NA:N,SA:N",0A11|1A20|2A3|3E18|4A3|5A3|6E14|7A2|8A20|9E3|10E5|11N1|12E5
14,2124,timeout,154,30,-10.75,7,5,0.8991,0,0.265208,73,36,93,31,30,1,19,1,28,"NA:N,SA:N",0A7|1A20|2A3|3E20|4A20|5A20|6E5|7A1|8A2|9E3|10E4|11N1|12E4
15,2278,timeout,154,30,-41.52,5,7,0.8918,0,0.275018,50,59,93,31,30,0,19,3,29,"NA:N,SA:N",0E1|1A7|2A3|3E13|4A4|5A16|6E15|7A20|8E15|9E5|10E5|11N1|12E5
16,2428,timeout,150,30,-57.94,3,9,0.8847,0,0.264908,44,66,90,30,30,0,16,5,29,"NA:N,SA:N",0E1|1E14|2A20|3E18|4E3|5A8|6E16|7A16|8E7|9E2|10E2|11N1|12E3
17,2578,timeout,150,30,-33.79,6,6,0.8775,0,0.264110,55,57,90,30,30,0,16,2,28,"NA:N,SA:N",0A4|1A20|2A1|3E20|4A20|5A3|6E17|7A7|8E7|9E3|10E5|11N1|12E5
18,2732,timeout,154,30,-32.83,6,6,0.8702,0,0.263504,55,60,93,31,30,0,17,2,26,"NA:N,SA:N",0A18|1A1|2A15|3E16|4A5|5A2|6E2|7A14|8E17|9E9|10E8|11N1|12E8
19,2886,timeout,154,30,-38.74,4,8,0.8629,0,0.267494,46,59,93,31,30,2,20,5,24,"NA:N,SA:N",0E1|1E16|2A9|3E13|4A20|5A2|6E20|7A15|8E2|9E3|10E1|11N1|12E3
20,3040,timeout,154,30,-45.73,6,6,0.8556,0,0.250297,60,58,93,31,30,0,13,2,28,"NA:N,SA:N",0A1|1A6|2A20|3E6|4A12|5A1|6E20|7A20|8E14|9E6|10E6|11N1|12E6
21,3190,timeout,150,30,-40.47,6,6,0.8485,0,0.260783,50,55,90,30,30,0,20,2,29,"NA:N,SA:N",0A15|1A14|2A13|3E19|4A1|5A1|6E20|7A6|8E8|9E2|10E3|11N1|12E3
22,3340,timeout,150,30,-44.93,6,6,0.8413,0,0.271537,60,51,90,30,30,1,17,3,26,"NA:N,SA:N",0E1|1A20|2A10|3E20|4A8|5A1|6A1|7A20|8E19|9E4|10E3|11N1|12E4
23,3494,timeout,154,30,-20.74,5,7,0.8340,0,0.249517,68,42,93,31,30,2,21,4,29,"NA:N,SA:N",0E1|1A5|2A4|3E8|4A20|5A20|6E20|7A19|8E2|9E3|10E4|11N1|12E4
24,3648,timeout,154,30,-52.22,6,6,0.8267,0,0.263468,60,54,93,31,30,0,17,2,29,"NA:N,SA:N",0A20|1A1|2A20|3E3|4A2|5A16|6E17|7A1|8E13|9E7|10E7|11N1|12E7
25,3798,timeout,150,30,-20.85,7,5,0.8196,0,0.251320,60,39,90,30,30,1,18,2,28,"NA:N,SA:N",0A2|1A15|2A1|3E19|4A20|5A3|6A17|7A2|8E11|9E3|10E3|11N1|12E3
26,3956,timeout,158,30,-29.24,4,8,0.8121,0,0.267285,56,52,96,32,30,0,23,2,27,"NA:N,SA:N",0E1|1E12|2A20|3E17|4A18|5A17|6E12|7A1|8E1|9E3|10E3|11N1|12E3
27,4106,timeout,150,30,-34.48,5,7,0.8050,0,0.271427,51,53,90,30,30,0,18,3,28,"NA:N,SA:N",0E6|1A17|2A20|3E20|4A1|5A2|6E15|7A11|8E3|9E3|10E3|11N1|12E3
28,4256,timeout,150,30,-29.08,7,5,0.7978,0,0.245035,63,50,90,30,30,1,17,2,28,"NA:N,SA:N",0A17|1A20|2A18|3E19|4A2|5A1|6A1|7A4|8E12|9E3|10E8|11N1|12E8
29,4406,timeout,150,30,-23.79,6,6,0.7907,0,0.256036,68,39,90,30,30,1,20,2,28,"NA:N,SA:N",0E1|1A1|2A20|3E6|4A3|5A20|6E20|7A14|8A10|9E6|10E3|11N1|12E3
30,4556,timeout,150,30,-12.12,7,5,0.7836,0,0.254163,59,40,90,30,30,1,20,3,24,"NA:N,SA:N",0A14|1A20|2A1|3E20|4A4|5A3|6A2|7A15|8E5|9E7|10E4|11N1|12E4
31,4710,timeout,154,30,-36.38,6,6,0.7763,0,0.265227,52,58,93,31,30,0,18,2,28,"NA:N,SA:N",0A8|1A9|2A13|3E12|4A1|5A1|6E20|7A20|8E11|9E5|10E5|11N1|12E5
32,4860,timeout,150,30,-21.29,5,7,0.7692,0,0.282376,56,46,90,30,30,1,20,4,28,"NA:N,SA:N",0E1|1A3|2A1|3E14|4A17|5A20|6E20|7A15|8E1|9E3|10E4|11N1|12E3
33,5010,timeout,150,30,-37.22,6,6,0.7620,0,0.287949,55,53,90,30,30,0,17,2,26,"NA:N,SA:N",0A6|1A1|2A1|3E19|4A16|5A20|6E20|7A11|8E5|9E3|10E3|11N1|12E3
34,5160,timeout,150,30,-36.90,6,6,0.7549,0,0.287869,52,60,90,30,30,0,16,2,28,"NA:N,SA:N",0A18|1A11|2A10|3E18|4A1|5A1|6E16|7A11|8E11|9E5|10E5|11N1|12E5
35,5310,timeout,150,30,-37.89,3,9,0.7478,0,0.273396,52,55,90,30,30,0,18,4,26,"NA:N,SA:N",0E1|1E1|2A19|3E1|4E6|5A20|6E20|7A13|8E13|9E5|10E4|11N1|12E4
36,5460,timeout,150,30,-29.37,5,7,0.7407,0,0.281296,59,55,90,30,30,0,18,3,29,"NA:N,SA:N",0E1|1A5|2A1|3E12|4A20|5A13|6E17|7A20|8E5|9E6|10E6|11N1|12E8
37,5610,timeout,150,30,-20.52,5,6,0.7335,0,0.280494,53,47,90,30,30,2,19,5,25,"NA:N,SA:N",0A3|1A3|2A7|3E18|4A20|5N1|6E20|7A20|8E1|9E2|10E3|11N1|12E3
38,5764,timeout,154,30,-36.09,4,8,0.7262,0,0.300900,54,57,93,31,30,2,20,5,27,"NA:N,SA:N",0E1|1E5|2A10|3E16|4E14|5A5|6E13|7A20|8A19|9E2|10E3|11N1|12E3
39,5914,timeout,150,30,-31.23,5,7,0.7191,0,0.325963,50,56,90,30,30,0,19,2,28,"NA:N,SA:N",0E3|1A13|2A6|3E20|4A20|5A9|6E20|7A2|8E5|9E3|10E2|11N1|12E3
40,6068,timeout,154,30,-28.73,5,7,0.7118,0,0.310674,63,53,93,31,30,0,18,2,26,"NA:N,SA:N",0E1|1A11|2A3|3E18|4A9|5A20|6E20|7A20|8E2|9E4|10E4|11N1|12E4
41,6218,timeout,150,30,-29.70,4,8,0.7046,0,0.319222,62,48,90,30,30,1,19,4,28,"NA:N,SA:N",0E1|1E1|2A13|3E1|4E16|5A20|6A20|7A9|8E18|9E4|10E4|11N1|12E3
42,6369,timeout,151,30,-31.85,3,9,0.6975,0,0.336137,57,56,89,32,30,0,21,5,28,"NA:N,SA:N",0E1|1E2|2A19|3E1|4E20|5A20|6E20|7A18|8E2|9E4|10E4|11N1|12E2
43,6523,timeout,154,30,-32.26,4,8,0.6902,0,0.325046,66,43,93,31,30,0,20,3,24,"NA:N,SA:N",0E1|1E14|2A20|3E2|4A18|5A8|6E17|7A20|8E1|9E2|10E3|11N1|12E3
44,6672,timeout,149,30,-40.35,3,9,0.6831,0,0.364851,57,49,89,30,30,0,19,4,27,"NA:N,SA:N",0E1|1E1|2A19|3E12|4E11|5A20|6E13|7A18|8E2|9E3|10E3|11N1|12E3
45,6826,timeout,154,30,-20.61,6,6,0.6758,0,0.373929,58,49,93,31,30,2,19,3,27,"NA:N,SA:N",0E1|1E11|2A16|3E17|4A17|5A3|6E14|7A13|8A1|9A8|10E3|11N1|12E3
46,6976,timeout,150,30,-9.13,7,5,0.6686,0,0.387990,55,43,90,30,30,0,21,1,29,"NA:N,SA:N",0A2|1A5|2A2|3A20|4A13|5A3|6E15|7A10|8E17|9E3|10E4|11N1|12E4
47,7134,timeout,158,30,-30.64,6,6,0.6611,0,0.428198,64,55,96,32,30,1,18,3,27,"NA:N,SA:N",0E2|1A1|2A7|3E20|4A20|5A12|6A18|7A6|8E20|9E4|10E5|11N1|12E4
48,7284,timeout,150,30,-32.67,5,7,0.6540,0,0.391903,58,43,90,30,30,2,20,4,28,"NA:N,SA:N",0E1|1E13|2A20|3E4|4A20|5A16|6E18|7A1|8A1|9E2|10E2|11N1|12E3
49,7434,timeout,150,30,-46.04,4,8,0.6469,0,0.427240,49,57,90,30,30,1,20,6,29,"NA:N,SA:N",0E1|1E5|2A4|3E2|4A14|5A12|6E20|7A19|8E20|9E3|10E3|11N1|12E3
