# run_timestamp,20260509_181433
# total_steps,200000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,200000
# grad_clip,1.0
# batch_size,128
# replay_capacity,100000
# beginner_max_turns,150
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,648,timeout,648,150,1128.61,2,11,0.8474,0,2.221859,6,27,231,344,73,29,230,36,57,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E1|5E1|6E3|7E4|8A6|9E2|10E6|11A0|12E6
2,1312,timeout,664,150,495.92,9,3,0.8448,0,2.236391,179,17,352,237,75,14,140,14,73,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A19|9E7|10E5|11N1|12E5
3,1571,loss,259,53,248.99,0,12,0.8437,0,1.817359,0,44,98,141,20,8,92,15,18,"NA:E,SA:N",0E2|1E3|2E3|3E3|4E1|5E4|6E4|7E2|8E4|9E6|10E6|11N1|12E6
4,2168,timeout,597,150,272.75,8,4,0.8413,0,1.764680,96,40,285,237,75,9,144,11,70,"NA:N,SA:N",0A20|1A3|2A20|3A20|4A20|5A10|6A2|7A1|8E7|9E12|10E11|11N1|12E10
5,2700,loss,532,112,663.25,0,13,0.8392,0,1.684114,0,66,194,291,47,19,197,29,32,"NA:E,SA:E",0E2|1E2|2E2|3E3|4E2|5E4|6E2|7E2|8E3|9E9|10E20|11E3|12E12
6,3379,timeout,679,150,197.32,1,12,0.8365,0,1.754110,16,240,302,347,30,9,209,18,22,"NA:E,SA:N",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E20|10E20|11E20|12A16
7,3985,timeout,606,150,581.65,6,6,0.8341,0,1.597245,80,34,265,266,75,16,167,19,71,"NA:N,SA:N",0A20|1A20|2A20|3E3|4A1|5A2|6E2|7A17|8E7|9E5|10E9|11N1|12E8
8,4352,loss,367,79,482.38,0,12,0.8326,0,1.576800,0,40,137,192,38,14,128,23,32,"NA:E,SA:N",0E2|1E2|2E2|3E4|4E1|5E3|6E5|7E2|8E2|9E7|10E5|11N1|12E5
9,5060,timeout,708,150,379.63,1,12,0.8298,0,1.734503,17,240,313,356,39,13,223,22,34,"NA:E,SA:N",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E20|10E20|11A17|12E20
10,5841,timeout,781,150,1047.63,12,1,0.8266,0,1.770712,185,8,403,303,75,27,190,27,75,"NA:A,SA:N",0A20|1A7|2A20|3A20|4A2|5A17|6A8|7A20|8A15|9E8|10A20|11A16|12A20
11,6087,loss,246,51,289.57,0,13,0.8257,0,1.849259,0,57,86,138,22,9,92,17,17,"NA:E,SA:E",0E4|1E4|2E4|3E4|4E12|5E4|6E4|7E5|8E1|9E3|10E4|11E4|12E4
12,6751,timeout,664,150,932.15,9,3,0.8230,0,1.827930,144,41,325,264,75,24,157,24,71,"NA:A,SA:N",0A7|1A20|2A20|3A19|4A20|5A7|6A18|7A20|8A13|9E19|10E11|11N1|12E11
13,7345,timeout,594,150,846.05,6,6,0.8206,0,1.925943,47,56,245,274,75,22,169,25,71,"NA:N,SA:N",0A16|1A0|2A20|3E4|4A0|5A11|6E12|7A0|8E8|9E10|10E11|11N1|12E11
14,7997,timeout,652,150,311.90,1,12,0.8180,0,1.861702,19,238,270,327,55,11,212,20,47,"NA:E,SA:N",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E20|10E18|11E20|12A19
