# run_timestamp,20260509_131504
# total_steps,1000000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,500000
# grad_clip,1.0
# batch_size,64
# replay_capacity,500000
# beginner_max_turns,300
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,1054,loss,1054,232,225.44,0,13,0.9980,0,0.916457,0,240,442,534,78,19,352,28,64,"NA:E,SA:E",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E20|10E17|11E20|12E3
2,1898,win,844,209,842.84,13,0,0.9964,0,0.850255,47,0,338,402,104,39,249,35,87,"NA:A,SA:A",0A1|1A1|2A7|3A1|4A1|5A1|6A3|7A1|8A13|9A3|10A5|11A1|12A9
3,2465,loss,567,134,171.17,0,13,0.9953,0,1.103199,0,83,218,289,60,15,191,24,48,"NA:E,SA:E",0E2|1E2|2E2|3E3|4E3|5E3|6E11|7E4|8E3|9E13|10E17|11E3|12E17
4,3394,timeout,929,300,310.19,4,9,0.9936,0,0.986442,80,178,410,369,150,15,195,19,135,"NA:E,SA:A",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E18|9A20|10A20|11A20|12A20
5,3851,loss,457,114,260.47,0,13,0.9927,0,0.847592,0,91,176,228,53,18,141,26,47,"NA:E,SA:E",0E4|1E4|2E4|3E4|4E7|5E4|6E4|7E4|8E9|9E11|10E14|11E3|12E19
6,4901,timeout,1050,300,701.30,4,9,0.9907,0,1.032222,78,180,445,456,149,37,261,40,130,"NA:E,SA:A",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9A18|10A20|11A20|12A20
7,5549,loss,648,154,172.38,0,13,0.9895,0,0.981002,0,212,260,321,67,15,209,25,51,"NA:E,SA:E",0E17|1E17|2E16|3E17|4E17|5E17|6E17|7E17|8E17|9E17|10E20|11E3|12E20
8,6681,timeout,1132,300,688.32,6,6,0.9873,0,0.957721,49,36,467,515,150,38,318,41,142,"NA:N,SA:N",0A6|1A2|2A20|3E3|4A2|5A3|6E11|7A16|8E7|9E5|10E5|11N1|12E5
9,7737,timeout,1056,300,279.36,9,3,0.9853,0,0.940664,180,58,518,388,150,10,219,10,146,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A20|9E18|10E20|11N1|12E20
10,8880,timeout,1143,300,728.73,10,3,0.9831,0,0.935564,111,26,500,493,150,37,297,36,143,"NA:N,SA:N",0A16|1A2|2A20|3A20|4A1|5A15|6A15|7A19|8E14|9E4|10E8|11A1|12A2
11,10191,timeout,1311,300,860.41,11,2,0.9806,0,0.937958,206,10,617,544,150,43,342,41,139,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A13|9E9|10A17|11A16|12E1
12,10668,loss,477,122,100.57,0,12,0.9797,0,0.893804,0,42,189,233,55,10,146,20,46,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E3|5E8|6E7|7E3|8E6|9E5|10E4|11N1|12E2
13,11408,win,740,160,624.30,13,0,0.9783,0,0.929675,106,0,337,325,78,26,208,21,70,"NA:A,SA:A",0A5|1A2|2A3|3A1|4A3|5A1|6A3|7A1|8A8|9A19|10A20|11A20|12A20
14,11780,win,372,65,316.72,13,0,0.9776,0,0.882484,187,0,238,102,32,6,52,4,31,"NA:A,SA:A",0A20|1A20|2A20|3A20|4A14|5A20|6A20|7A20|8A15|9A3|10A2|11A5|12A8
