episode,global_step,outcome,ep_steps,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss
104,2361,loss,21,-68.00,0,8,0.9551,0,2.523093
105,2402,loss,41,-78.50,0,8,0.9544,0,2.306823
106,2437,loss,35,-77.00,0,8,0.9537,0,2.956085
107,2454,loss,17,-65.00,0,7,0.9534,0,2.745925
108,2469,loss,15,-64.00,0,7,0.9531,0,2.377431
109,2484,loss,15,-63.50,0,7,0.9528,0,2.418806
110,2509,loss,25,-69.50,0,7,0.9523,0,2.577609
111,2528,loss,19,-65.00,0,7,0.9520,0,2.625503
112,2554,loss,26,-74.50,0,8,0.9515,0,2.689393
113,2571,loss,17,-65.00,0,7,0.9512,0,2.141005
114,2582,loss,11,-63.50,0,7,0.9509,0,2.992875
115,2603,loss,21,-67.00,0,7,0.9505,0,2.246268
116,2618,loss,15,-67.00,0,8,0.9503,0,1.989474
117,2637,loss,19,-66.00,0,7,0.9499,0,2.721877
118,2665,loss,28,-75.50,0,8,0.9494,0,2.650116
119,2683,loss,18,-67.00,0,8,0.9490,0,2.849774
120,2700,loss,17,-65.00,0,7,0.9487,0,2.400215
121,2713,loss,13,-64.50,0,7,0.9485,0,2.704148
122,2744,loss,31,-73.50,0,8,0.9479,0,2.773944
123,2761,loss,17,-67.50,0,7,0.9475,0,2.409644
124,2776,loss,15,-68.00,0,7,0.9473,0,2.908240
125,2798,loss,22,-67.00,0,7,0.9468,0,2.474294
126,2820,loss,22,-69.00,0,8,0.9464,0,2.468853
127,2836,loss,16,-64.00,0,7,0.9461,0,2.828074
128,2859,loss,23,-69.50,0,8,0.9457,0,2.388469
129,2874,loss,15,-64.00,0,7,0.9454,0,3.035429
130,2892,loss,18,-65.00,0,7,0.9451,0,3.049678
131,2935,loss,43,-77.50,0,8,0.9442,0,2.827715
132,2960,loss,25,-69.00,0,7,0.9438,0,2.403724
133,2983,loss,23,-67.50,0,7,0.9433,0,2.523383
134,2999,loss,16,-64.50,0,7,0.9430,0,2.506062
135,3020,loss,21,-67.50,0,7,0.9426,0,2.362465
136,3049,loss,29,-72.50,0,8,0.9421,0,2.822638
137,3078,loss,29,-71.00,0,8,0.9415,0,2.617381
138,3095,loss,17,-63.50,0,7,0.9412,0,2.989693
139,3127,loss,32,-73.50,0,8,0.9406,0,2.819866
140,3148,loss,21,-69.50,0,8,0.9402,0,2.860217
141,3161,loss,13,-64.50,0,7,0.9399,0,2.179773
142,3183,loss,22,-67.00,0,7,0.9395,0,2.858944
143,3199,loss,16,-64.50,0,7,0.9392,0,2.960201
144,3215,loss,16,-63.50,0,7,0.9389,0,2.503834
145,3232,loss,17,-64.00,0,7,0.9386,0,2.662273
146,3260,loss,28,-70.50,0,8,0.9381,0,2.694305
147,3283,loss,23,-67.50,0,7,0.9376,0,2.604564
148,3300,loss,17,-65.00,0,7,0.9373,0,2.678753
149,3333,loss,33,-74.00,0,8,0.9367,0,2.415818
150,3350,loss,17,-68.00,0,8,0.9364,0,2.430999
