# run_timestamp,20260509_162227
# total_steps,100000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,200000
# grad_clip,1.0
# batch_size,128
# replay_capacity,100000
# beginner_max_turns,150
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,448,loss,448,97,317.78,0,13,0.7484,0,1.291331,0,45,157,245,46,14,169,25,41,"NA:E,SA:E",0E4|1E4|2E3|3E3|4E3|5E4|6E3|7E3|8E3|9E3|10E5|11E3|12E4
2,1033,timeout,585,150,180.21,9,3,0.7464,0,1.370454,179,51,321,189,75,9,96,10,70,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A19|9E11|10E20|11N1|12E20
3,1736,timeout,703,150,732.40,10,3,0.7439,0,1.222855,84,17,310,318,75,25,209,25,72,"NA:A,SA:N",0A14|1A20|2A5|3A7|4A3|5A19|6A15|7A0|8A1|9E8|10E6|11A0|12E3
4,2341,timeout,605,150,458.20,8,4,0.7418,0,1.328862,76,26,270,260,75,17,160,18,72,"NA:N,SA:N",0A20|1A9|2A20|3A5|4A3|5A13|6A6|7A0|8E11|9E4|10E5|11N1|12E6
5,2612,loss,271,53,219.67,0,12,0.7409,0,1.295744,0,29,96,151,24,10,102,20,19,"NA:E,SA:N",0E2|1E1|2E2|3E2|4E1|5E1|6E2|7E1|8E3|9E4|10E5|11N1|12E5
6,3169,loss,557,111,773.43,0,12,0.7389,0,1.479571,0,59,202,310,45,28,207,37,36,"NA:E,SA:N",0E3|1E3|2E5|3E2|4E3|5E3|6E1|7E12|8E1|9E13|10E7|11N1|12E6
7,3636,loss,467,98,550.51,0,13,0.7373,0,1.571168,0,68,170,251,46,21,167,32,42,"NA:E,SA:E",0E3|1E4|2E4|3E4|4E3|5E4|6E4|7E4|8E5|9E1|10E10|11E3|12E19
8,4049,win,413,67,412.02,13,0,0.7358,0,1.604429,193,0,261,119,33,11,62,10,33,"NA:A,SA:A",0A20|1A20|2A5|3A20|4A20|5A20|6A20|7A20|8A20|9A1|10A12|11A2|12A13
9,4705,timeout,656,150,930.83,8,4,0.7335,0,1.665777,17,30,242,339,75,31,224,32,70,"NA:N,SA:N",0A1|1E2|2A0|3A0|4A2|5A11|6A1|7A2|8A0|9E9|10E10|11N1|12E9
10,5322,loss,617,134,984.89,0,12,0.7314,0,1.722960,0,42,218,338,61,34,223,42,56,"NA:E,SA:N",0E2|1E3|2E3|3E2|4E2|5E2|6E2|7E3|8E3|9E6|10E7|11N1|12E7
11,5660,loss,338,69,416.90,0,12,0.7302,0,1.735297,0,49,119,190,29,16,125,25,28,"NA:E,SA:N",0E3|1E2|2E2|3E3|4E4|5E2|6E6|7E3|8E3|9E9|10E6|11N1|12E6
12,6344,timeout,684,150,1257.35,6,6,0.7278,0,1.859632,2,29,235,374,75,41,250,44,67,"NA:N,SA:N",0E1|1E3|2A0|3E1|4A0|5A0|6A1|7A1|8A0|9E9|10E7|11N1|12E8
13,6621,loss,277,56,366.46,0,13,0.7268,0,1.950910,0,42,95,159,23,14,103,21,21,"NA:E,SA:E",0E3|1E3|2E3|3E3|4E2|5E3|6E2|7E3|8E3|9E3|10E6|11E3|12E5
14,7478,timeout,857,150,508.08,12,1,0.7238,0,1.887252,239,11,478,304,75,20,198,20,73,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A20|9A20|10A19|11A20|12E11
15,8261,timeout,783,150,630.10,11,2,0.7211,0,1.872231,216,10,430,278,75,23,170,23,74,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A18|9E5|10E5|11A18|12A20
16,8551,loss,290,62,321.49,0,12,0.7201,0,1.784142,0,33,98,163,29,13,108,22,26,"NA:E,SA:N",0E2|1E2|2E1|3E2|4E2|5E5|6E1|7E1|8E2|9E5|10E5|11N1|12E5
17,8915,loss,364,68,540.53,0,12,0.7188,0,1.876643,0,35,122,216,26,20,146,28,25,"NA:E,SA:N",0E2|1E3|2E2|3E2|4E2|5E3|6E1|7E2|8E1|9E6|10E6|11N1|12E5
18,9332,loss,417,83,460.09,0,13,0.7173,0,1.852070,0,83,148,234,35,18,157,28,28,"NA:E,SA:E",0E3|1E2|2E2|3E1|4E2|5E3|6E2|7E2|8E10|9E16|10E18|11E3|12E19
19,9538,loss,206,36,129.59,0,13,0.7166,0,1.792646,0,50,68,125,13,7,85,17,12,"NA:E,SA:E",0E3|1E3|2E3|3E2|4E3|5E3|6E3|7E2|8E3|9E2|10E11|11E3|12E9
20,9904,loss,366,64,504.27,0,12,0.7153,0,1.807833,0,47,136,210,20,19,138,28,17,"NA:E,SA:N",0E3|1E3|2E3|3E3|4E3|5E3|6E1|7E5|8E2|9E9|10E6|11N1|12E6
21,10656,win,752,145,1032.94,13,0,0.7127,0,1.824922,73,0,323,357,72,31,243,28,70,"NA:A,SA:A",0A10|1A10|2A4|3A3|4A0|5A9|6A3|7A4|8A2|9A5|10A2|11A20|12A1
22,11315,timeout,659,150,656.03,2,11,0.7104,0,1.866950,27,113,253,332,74,24,222,33,68,"NA:E,SA:N",0E10|1E10|2E10|3E9|4E9|5E10|6E10|7E10|8E10|9E16|10E9|11A7|12A20
23,11657,win,342,69,605.20,13,0,0.7092,0,1.892827,46,0,149,159,34,16,97,14,34,"NA:A,SA:A",0A16|1A2|2A2|3A1|4A0|5A1|6A4|7A8|8A1|9A0|10A1|11A8|12A2
24,12264,timeout,607,150,1076.63,7,5,0.7071,0,1.873388,40,38,232,300,75,35,182,35,72,"NA:N,SA:N",0A14|1A1|2A20|3A0|4A2|5A3|6E2|7A0|8E3|9E10|10E11|11N1|12E12
25,12515,loss,251,52,227.49,0,12,0.7062,0,1.855214,0,33,88,139,24,10,92,19,21,"NA:E,SA:N",0E2|1E2|2E2|3E1|4E1|5E2|6E3|7E1|8E4|9E5|10E5|11N1|12E5
26,13140,timeout,625,150,805.50,8,5,0.7040,0,1.915043,41,29,250,300,75,27,188,28,71,"NA:N,SA:N",0E2|1E3|2A12|3E15|4E3|5A1|6A0|7A17|8A10|9A1|10A0|11A0|12E6
27,13773,timeout,633,150,886.00,6,6,0.7018,0,1.952518,38,43,260,298,75,30,185,33,70,"NA:N,SA:N",0A20|1A4|2A13|3E8|4A0|5A1|6E3|7A0|8E5|9E9|10E9|11N1|12E9
28,14334,loss,561,128,439.83,0,12,0.6998,0,1.993363,0,42,212,287,62,18,194,26,56,"NA:E,SA:N",0E3|1E2|2E2|3E2|4E2|5E3|6E1|7E3|8E2|9E8|10E7|11N1|12E7
29,14676,loss,342,78,213.49,0,12,0.6986,0,1.904075,0,44,128,179,35,10,117,18,31,"NA:E,SA:N",0E3|1E3|2E2|3E7|4E1|5E2|6E2|7E3|8E3|9E6|10E6|11N1|12E6
30,15147,loss,471,114,146.72,0,12,0.6970,0,1.895820,0,47,181,235,55,9,158,18,50,"NA:E,SA:N",0E2|1E3|2E2|3E3|4E2|5E3|6E3|7E3|8E3|9E9|10E7|11N1|12E7
31,15681,loss,534,119,719.49,0,12,0.6951,0,1.934734,0,45,188,290,56,26,192,35,50,"NA:E,SA:N",0E2|1E3|2E2|3E2|4E4|5E2|6E1|7E6|8E2|9E9|10E6|11N1|12E6
32,16206,timeout,525,150,281.35,7,5,0.6933,0,1.926187,44,68,225,225,75,11,131,13,70,"NA:N,SA:N",0A18|1A7|2A1|3E20|4A0|5A8|6E20|7A1|8A9|9E20|10E4|11N1|12E4
33,16698,loss,492,115,629.72,0,12,0.6916,0,1.899011,0,42,181,255,56,23,164,32,48,"NA:E,SA:N",0E2|1E2|2E2|3E2|4E3|5E3|6E7|7E3|8E3|9E5|10E5|11N1|12E5
34,17259,loss,561,139,247.46,0,13,0.6896,0,1.916624,0,53,215,279,67,12,186,21,58,"NA:E,SA:E",0E3|1E3|2E3|3E3|4E3|5E3|6E11|7E3|8E4|9E1|10E6|11E3|12E7
35,17747,timeout,488,150,41.45,7,5,0.6879,0,1.914851,76,68,225,188,75,4,101,6,70,"NA:N,SA:N",0A1|1A17|2A20|3E19|4A15|5A20|6E18|7A1|8A2|9E15|10E8|11N1|12E8
36,18267,timeout,520,150,151.15,4,8,0.6861,0,1.828751,45,70,225,220,75,8,128,14,72,"NA:N,SA:N",0E3|1E1|2A0|3E19|4A20|5A12|6E19|7A13|8E18|9E4|10E3|11N1|12E3
37,18772,timeout,505,150,366.18,9,4,0.6843,0,1.843479,78,65,228,203,74,13,105,14,67,"NA:N,SA:N",0E5|1A2|2A10|3E20|4A1|5A10|6E20|7A18|8A7|9A9|10A20|11A1|12E20
38,19285,timeout,513,150,420.65,7,5,0.6825,0,1.795057,68,60,225,213,75,15,115,17,70,"NA:N,SA:N",0E19|1A15|2A1|3E20|4A19|5A10|6A20|7A1|8A2|9E13|10E4|11N1|12E4
39,19878,timeout,593,150,250.82,5,8,0.6804,0,1.818459,23,33,242,276,75,11,180,17,67,"NA:N,SA:A",0E2|1E3|2E2|3E7|4E1|5E2|6E15|7E1|8A0|9A7|10A1|11A3|12A12
40,20420,loss,542,120,548.48,0,12,0.6785,0,1.790207,0,41,197,291,54,21,195,30,42,"NA:E,SA:N",0E3|1E3|2E2|3E2|4E2|5E2|6E1|7E6|8E1|9E7|10E6|11N1|12E6
41,21109,timeout,689,150,563.47,11,2,0.6761,0,1.729843,134,15,336,278,75,20,173,19,71,"NA:N,SA:A",0E4|1A1|2A0|3E11|4A12|5A11|6A8|7A2|8A20|9A20|10A20|11A20|12A20
42,21626,timeout,517,150,156.75,8,4,0.6743,0,1.743533,49,67,225,217,75,7,126,9,71,"NA:N,SA:N",0A20|1A3|2A3|3E8|4A1|5A1|6A19|7A2|8A0|9E19|10E20|11N1|12E20
43,22041,loss,415,97,35.76,0,12,0.6729,0,1.671631,0,57,165,205,45,5,139,14,39,"NA:E,SA:N",0E2|1E3|2E2|3E12|4E1|5E3|6E2|7E3|8E8|9E7|10E7|11N1|12E7
44,22598,timeout,557,150,129.70,6,6,0.6709,0,1.682045,46,57,240,242,75,7,151,11,71,"NA:N,SA:N",0E1|1E3|2A19|3E12|4A1|5A17|6A0|7A5|8A4|9E18|10E12|11N1|12E11
45,23148,win,550,121,589.41,13,0,0.6690,0,1.591329,97,0,260,230,60,17,141,15,55,"NA:A,SA:A",0A20|1A20|2A5|3A3|4A17|5A2|6A16|7A1|8A1|9A2|10A1|11A8|12A1
46,23669,timeout,521,150,136.80,8,4,0.6672,0,1.647621,76,49,230,216,75,6,127,7,72,"NA:N,SA:N",0A18|1A4|2A10|3E14|4A20|5A4|6A17|7A2|8A1|9E14|10E10|11N1|12E11
47,24215,timeout,546,150,71.15,8,5,0.6652,0,1.598965,53,44,235,236,75,5,147,7,70,"NA:N,SA:N",0E6|1A17|2A20|3E20|4A8|5A1|6E8|7A1|8A1|9A2|10E6|11A3|12E4
48,24671,loss,456,104,192.25,0,13,0.6637,0,1.522213,0,64,164,243,49,10,169,19,43,"NA:E,SA:E",0E4|1E4|2E4|3E4|4E4|5E4|6E5|7E5|8E4|9E7|10E4|11E3|12E12
49,25266,timeout,595,150,411.65,8,4,0.6616,0,1.542943,25,22,235,285,75,15,186,15,71,"NA:N,SA:N",0A18|1A1|2A1|3A1|4A1|5A1|6A1|7A1|8E4|9E4|10E7|11N1|12E7
50,25799,loss,533,124,448.15,0,13,0.6597,0,1.578964,0,73,194,280,59,18,187,27,52,"NA:E,SA:E",0E4|1E4|2E4|3E4|4E4|5E4|6E4|7E5|8E4|9E1|10E16|11E3|12E16
51,26308,timeout,509,150,151.60,8,4,0.6579,0,1.530914,65,75,230,204,75,7,113,9,74,"NA:N,SA:N",0A19|1A20|2A2|3E18|4A2|5A18|6A1|7A1|8A2|9E20|10E18|11N1|12E19
52,26871,timeout,563,150,-7.55,8,4,0.6560,0,1.526473,36,46,245,243,75,2,157,3,71,"NA:N,SA:N",0A2|1A19|2A1|3E18|4A10|5A2|6A1|7A1|8A0|9E9|10E9|11N1|12E10
