# run_timestamp,20260509_110400
# total_steps,300000
# learning_rate,5e-05
# gamma,0.95
# tau,0.01
# eps_decay,300000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,100
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,422,timeout,422,100,-437.74,11,2,0.9987,0,3.045403,54,6,178,195,49,19,116,18,44,"NA:A,SA:N",0A2|1A9|2A3|3A6|4A4|5A4|6A1|7A10|8A6|9A5|10E4|11A4|12E2
2,808,timeout,386,100,-389.31,5,7,0.9974,0,3.127765,15,22,152,184,50,16,111,18,46,"NA:N,SA:N",0E1|1E1|2A1|3E1|4E2|5A2|6A2|7A1|8A9|9E12|10E2|11N1|12E3
3,1125,loss,317,77,-642.91,0,12,0.9964,0,2.977406,0,34,127,154,36,10,93,20,31,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E3|5E2|6E7|7E3|8E3|9E6|10E3|11N1|12E3
4,1503,timeout,378,100,-1445.28,7,6,0.9952,0,3.120946,23,21,150,178,50,10,110,11,42,"NA:N,SA:N",0A2|1E3|2A3|3E1|4E3|5A5|6E8|7A2|8A1|9A9|10E3|11A1|12E3
5,1887,timeout,384,100,-2005.66,10,3,0.9940,0,3.570806,33,19,155,179,50,13,107,13,48,"NA:N,SA:N",0A4|1A15|2A1|3E3|4A1|5A3|6E3|7A1|8A1|9A4|10E13|11A1|12A2
6,2246,timeout,359,100,-986.20,8,4,0.9929,0,4.011463,39,32,150,159,50,9,93,9,45,"NA:N,SA:N",0A8|1A4|2A1|3E18|4A2|5A10|6A1|7A1|8A12|9E9|10E2|11N1|12E3
7,2649,timeout,403,100,-1173.57,6,7,0.9916,0,3.899368,27,18,164,189,50,10,120,13,38,"NA:N,SA:A",0E1|1E1|2E1|3E3|4E3|5E3|6E6|7A1|8A2|9A3|10A8|11A3|12A10
8,3059,timeout,410,100,-1655.53,6,7,0.9903,0,3.860125,10,25,156,206,48,19,127,22,39,"NA:N,SA:N",0E1|1E1|2E2|3E3|4E7|5A1|6E7|7A3|8A1|9A2|10A1|11A2|12E4
9,3443,timeout,384,100,-333.79,7,5,0.9891,0,3.845678,46,32,170,164,50,13,93,15,42,"NA:N,SA:N",0A20|1A20|2A1|3E6|4A1|5A1|6A1|7A2|8E9|9E8|10E4|11N1|12E5
10,3832,loss,389,89,-583.01,0,13,0.9879,0,4.032598,0,52,155,198,36,15,121,24,31,"NA:E,SA:E",0E1|1E2|2E1|3E1|4E1|5E3|6E1|7E3|8E4|9E8|10E12|11E3|12E12
11,4209,timeout,377,100,-1030.73,7,5,0.9867,0,3.948887,24,22,150,177,50,15,106,15,42,"NA:N,SA:N",0A1|1A4|2A1|3E3|4A3|5A5|6E10|7A1|8A9|9E3|10E3|11N1|12E3
12,4630,timeout,421,100,-152.84,9,3,0.9853,0,3.855283,179,53,254,117,50,7,51,8,44,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A19|9E19|10E17|11N1|12E17
13,5005,timeout,375,100,-845.33,2,11,0.9842,0,3.693472,11,45,150,175,50,11,106,17,43,"NA:E,SA:N",0E1|1E1|2E1|3E3|4E1|5E1|6E1|7E7|8E8|9A10|10E18|11A1|12E3
14,5364,timeout,359,100,-611.43,7,5,0.9830,0,3.639741,78,29,175,134,50,4,73,5,47,"NA:N,SA:N",0A14|1A20|2A3|3A2|4A18|5A20|6E13|7A1|8E2|9E8|10E4|11N1|12E2
15,5725,timeout,361,100,-504.22,5,7,0.9819,0,3.515262,30,40,152,159,50,11,90,14,46,"NA:N,SA:N",0E1|1E8|2A7|3E6|4E3|5A2|6A15|7A4|8A2|9E14|10E4|11N1|12E4
16,6108,timeout,383,100,-256.08,8,4,0.9807,0,3.405650,100,25,195,138,50,4,76,5,50,"NA:N,SA:N",0A20|1A20|2A20|3A9|4A14|5A3|6A5|7A9|8E3|9E13|10E5|11N1|12E4
17,6513,timeout,405,100,-846.82,6,6,0.9794,0,3.355803,7,11,155,201,49,11,130,14,41,"NA:N,SA:N",0A1|1E1|2E1|3A1|4A1|5E2|6A1|7A1|8A2|9E1|10E3|11N1|12E3
18,6896,timeout,383,100,-767.93,8,4,0.9782,0,3.348646,30,20,160,173,50,12,103,13,41,"NA:N,SA:N",0E1|1A1|2A1|3A1|4A8|5A5|6A1|7A1|8A12|9E11|10E4|11N1|12E4
19,7294,timeout,398,100,-1049.71,3,9,0.9769,0,3.353456,14,25,155,194,49,10,125,15,36,"NA:N,SA:N",0E1|1E1|2E1|3E1|4A1|5E1|6A1|7E13|8A12|9E1|10E3|11N1|12E3
20,7701,timeout,407,100,-244.71,7,5,0.9756,0,3.429342,92,40,213,145,49,4,82,6,44,"NA:N,SA:N",0A20|1A20|2A20|3A7|4A20|5A4|6E6|7A1|8E1|9E17|10E8|11N1|12E8
21,8083,timeout,382,100,-378.58,8,4,0.9744,0,3.489637,50,24,175,157,50,7,92,8,47,"NA:N,SA:N",0A19|1A1|2A4|3A1|4A20|5A3|6A1|7A1|8E13|9E4|10E3|11N1|12E4
22,8457,timeout,374,100,-1336.51,5,7,0.9732,0,3.386761,25,23,150,174,50,13,104,14,46,"NA:N,SA:N",0E1|1E2|2A1|3E1|4A20|5A2|6E14|7A1|8A1|9E1|10E2|11N1|12E2
23,8837,timeout,380,100,-738.15,8,4,0.9720,0,3.557588,36,12,152,178,50,14,106,14,46,"NA:N,SA:N",0E3|1A7|2A5|3A13|4A2|5A1|6A2|7A2|8A4|9E1|10E3|11N1|12E5
24,9232,timeout,395,100,-1553.15,6,7,0.9708,0,3.529797,17,23,152,193,50,15,119,17,44,"NA:N,SA:N",0E1|1E1|2A4|3E5|4E2|5A8|6E9|7A1|8A2|9A1|10E3|11A1|12E2
25,9620,timeout,388,100,-65.34,8,4,0.9695,0,3.615242,51,13,157,181,50,19,103,20,45,"NA:N,SA:N",0A2|1A2|2A20|3A1|4A4|5A20|6A1|7A1|8E3|9E2|10E3|11N1|12E5
26,10000,timeout,380,100,-1251.28,8,5,0.9683,0,3.597132,15,28,150,180,50,14,108,15,44,"NA:N,SA:N",0E1|1A1|2A8|3E3|4A1|5A1|6E18|7A1|8A1|9A1|10E3|11A1|12E3
27,10383,timeout,383,100,-1402.80,7,6,0.9671,0,3.604391,18,32,150,183,50,17,108,19,47,"NA:N,SA:N",0E1|1E1|2A2|3E3|4E5|5A2|6E17|7A1|8A4|9A2|10A3|11A4|12E5
28,10759,loss,376,91,-764.87,0,13,0.9659,0,3.557720,0,90,145,189,42,10,121,18,30,"NA:E,SA:E",0E5|1E5|2E5|3E5|4E4|5E5|6E8|7E4|8E5|9E11|10E15|11E3|12E15
29,11132,timeout,373,100,-83.67,7,5,0.9647,0,3.580004,60,29,170,153,50,12,83,13,48,"NA:N,SA:N",0A8|1A2|2A16|3A1|4A9|5A4|6E4|7A20|8E14|9E5|10E3|11N1|12E3
30,11518,timeout,386,100,-605.10,3,10,0.9635,0,3.661963,39,110,168,168,50,10,98,18,41,"NA:E,SA:N",0E9|1E9|2E10|3E10|4E9|5E10|6E10|7E9|8E15|9E19|10A19|11A14|12A6
31,11882,timeout,364,100,-809.06,6,6,0.9624,0,3.650694,45,26,152,162,50,11,92,14,43,"NA:N,SA:N",0A2|1A1|2A20|3E7|4A1|5A20|6E10|7A1|8E2|9E3|10E2|11N1|12E2
32,12292,timeout,410,100,-839.18,9,4,0.9611,0,3.867181,27,19,167,193,50,17,117,17,44,"NA:N,SA:N",0A1|1A11|2A2|3E3|4A1|5A3|6E10|7A5|8A1|9E3|10A1|11A2|12E3
33,12724,timeout,432,100,-26.93,9,3,0.9597,0,3.575941,80,23,198,185,49,20,107,19,45,"NA:A,SA:N",0A20|1A8|2A11|3A3|4A10|5A5|6A20|7A1|8A2|9E15|10E4|11N1|12E4
34,13130,timeout,406,100,-1768.55,7,6,0.9584,0,3.439854,19,30,152,204,50,24,121,24,41,"NA:N,SA:N",0E1|1E1|2A2|3E1|4E1|5A1|6E6|7A1|8A5|9A1|10E20|11A7|12A2
35,13506,timeout,376,100,-772.82,8,4,0.9572,0,3.540785,57,19,170,156,50,7,92,7,47,"NA:N,SA:N",0A10|1A17|2A1|3E10|4A1|5A2|6A5|7A20|8A1|9E3|10E3|11N1|12E3
36,13905,timeout,399,100,-783.66,11,2,0.9560,0,3.509807,22,21,157,192,50,19,113,17,45,"NA:N,SA:N",0A2|1A1|2A4|3A3|4A5|5A1|6E12|7A1|8A2|9A1|10A1|11A1|12E9
37,14358,timeout,453,100,-988.26,9,4,0.9545,0,3.509755,88,29,235,168,50,6,102,8,47,"NA:N,SA:N",0A20|1A20|2A7|3A8|4A6|5A20|6E8|7A4|8E11|9E6|10E4|11A2|12A1
38,14760,timeout,402,100,-814.38,5,7,0.9533,0,3.488832,19,18,157,195,50,15,121,19,46,"NA:N,SA:N",0E1|1E3|2A11|3E1|4E7|5A3|6A1|7A2|8A2|9E1|10E3|11N1|12E2
39,15162,timeout,402,100,-3248.52,4,9,0.9520,0,3.679968,4,55,159,196,47,13,122,18,44,"NA:N,SA:N",0E1|1E1|2E1|3E3|4E6|5E3|6E15|7E5|8A1|9A1|10E20|11A1|12A1
40,15525,timeout,363,100,-670.88,6,6,0.9508,0,3.758846,40,22,152,161,50,7,96,9,45,"NA:N,SA:N",0E2|1A14|2A2|3E4|4A19|5A3|6E5|7A1|8A1|9E5|10E3|11N1|12E3
41,15885,timeout,360,100,-2223.84,9,4,0.9497,0,3.742529,37,32,150,160,50,10,92,10,47,"NA:N,SA:N",0E2|1A1|2A5|3E1|4A1|5A1|6E12|7A1|8A6|9A1|10A20|11A1|12E17
42,16279,timeout,394,100,-1261.57,1,12,0.9484,0,3.587287,12,117,162,186,46,10,113,19,33,"NA:E,SA:N",0E6|1E7|2E7|3E6|4E9|5E7|6E10|7E6|8E9|9E10|10E20|11E20|12A12
43,16654,timeout,375,100,-626.10,10,3,0.9473,0,3.647228,37,7,150,175,50,15,102,14,42,"NA:N,SA:N",0E3|1A1|2A9|3E3|4A1|5A2|6A3|7A1|8A16|9A1|10A1|11A2|12E1
44,17043,timeout,389,100,-804.24,8,4,0.9460,0,3.463112,42,17,170,169,50,9,101,11,46,"NA:N,SA:N",0A4|1A1|2A20|3E6|4A8|5A5|6A1|7A2|8A1|9E1|10E6|11N1|12E4
45,17447,timeout,404,100,-127.21,9,3,0.9448,0,3.304551,107,15,207,147,50,6,82,6,49,"NA:A,SA:N",0A13|1A10|2A8|3A9|4A20|5A20|6A6|7A20|8A1|9E5|10E5|11N1|12E5
46,17841,timeout,394,100,-247.08,7,5,0.9435,0,3.284363,46,18,167,177,50,15,103,17,47,"NA:N,SA:N",0A8|1A20|2A1|3A2|4A4|5A2|6E2|7A9|8E7|9E3|10E3|11N1|12E3
47,18227,timeout,386,100,-1247.21,5,7,0.9423,0,3.141269,13,32,152,184,50,13,113,16,46,"NA:N,SA:N",0E1|1A1|2E1|3A6|4E13|5A2|6A1|7A3|8E10|9E3|10E2|11N1|12E2
48,18602,timeout,375,100,-1621.08,7,5,0.9411,0,3.095310,22,37,150,175,50,17,101,18,44,"NA:N,SA:N",0A10|1A1|2A2|3A2|4E6|5A1|6E20|7A4|8A2|9E6|10E3|11N1|12E2
49,18976,timeout,374,100,-1198.39,7,6,0.9399,0,3.123603,28,29,153,172,49,15,98,17,41,"NA:N,SA:N",0E1|1A2|2A17|3E2|4E6|5A1|6E16|7A4|8A2|9A1|10E2|11A1|12E2
50,19176,loss,200,46,-1316.95,0,12,0.9393,0,3.429907,0,43,80,101,19,4,62,11,13,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E5|5E6|6E6|7E3|8E12|9E2|10E3|11N1|12E2
51,19589,timeout,413,100,2.93,9,3,0.9380,0,3.136417,121,43,220,143,50,14,71,13,45,"NA:A,SA:N",0A20|1A20|2A10|3A11|4A20|5A20|6A7|7A4|8A9|9E19|10E12|11N1|12E12
52,19971,timeout,382,100,-828.49,5,8,0.9368,0,3.278849,25,27,152,180,50,14,106,18,41,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E1|5E1|6E14|7A4|8A9|9A3|10E7|11A4|12A5
53,20346,timeout,375,100,-658.93,5,8,0.9356,0,3.287162,24,25,150,175,50,14,104,17,45,"NA:N,SA:N",0E1|1A6|2A1|3E1|4E1|5E1|6E1|7A1|8E1|9A1|10E15|11A15|12E4
54,20737,timeout,391,100,48.61,9,3,0.9343,0,3.405793,180,58,241,101,49,3,38,3,44,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A20|9E18|10E20|11N1|12E20
55,21102,timeout,365,100,-999.46,6,6,0.9332,0,3.397400,33,17,150,165,50,11,96,13,46,"NA:N,SA:N",0E1|1E3|2A5|3E2|4A2|5A1|6A20|7A4|8A1|9E7|10E1|11N1|12E3
56,21487,timeout,385,100,-910.36,1,12,0.9320,0,3.302417,15,114,156,181,48,10,111,18,30,"NA:E,SA:N",0E7|1E7|2E7|3E7|4E7|5E6|6E6|7E7|8E8|9E12|10E20|11E20|12A15
57,21854,loss,367,84,-1898.36,0,12,0.9308,0,3.447919,0,46,149,184,34,9,116,18,27,"NA:E,SA:N",0E1|1E1|2E2|3E1|4E5|5E9|6E13|7E3|8E4|9E3|10E2|11N1|12E2
58,22329,timeout,475,100,-692.80,9,4,0.9293,0,3.700209,82,13,232,193,50,12,121,13,47,"NA:N,SA:A",0A2|1E3|2A17|3E1|4E4|5A5|6E5|7A2|8A4|9A1|10A20|11A11|12A20
59,22709,timeout,380,100,-376.58,8,4,0.9281,0,3.677321,39,27,152,178,50,18,102,18,47,"NA:N,SA:N",0E3|1A1|2A17|3A1|4E12|5A4|6A1|7A1|8A13|9A1|10E5|11N1|12E7
60,23120,timeout,411,100,-795.79,1,11,0.9268,0,3.692424,15,46,180,190,41,5,118,13,33,"NA:N,SA:N",0E1|1E1|2E1|3E8|4E1|5E1|6E8|7E8|8A15|9E12|10E3|11N1|12E2
61,23464,loss,344,92,-1574.83,0,12,0.9257,0,3.681505,0,47,143,157,44,5,95,14,34,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E6|5E4|6E11|7E5|8E3|9E8|10E3|11N1|12E3
62,23836,timeout,372,100,-777.49,5,7,0.9245,0,3.836731,28,18,152,170,50,12,100,15,45,"NA:N,SA:N",0E1|1A2|2A16|3E4|4E1|5A7|6E2|7A1|8A2|9E1|10E5|11N1|12E4
63,24203,timeout,367,100,-631.21,6,6,0.9234,0,3.814901,33,33,155,163,49,9,94,12,46,"NA:N,SA:N",0E1|1E1|2A8|3A3|4A12|5A5|6E15|7A1|8A4|9E5|10E6|11N1|12E5
64,24582,timeout,379,100,-869.95,8,5,0.9222,0,3.841207,37,24,165,164,50,7,98,9,47,"NA:N,SA:N",0E1|1A1|2A5|3E2|4A2|5A3|6E15|7A20|8A4|9A1|10E2|11A1|12E4
65,24930,timeout,348,100,-914.25,3,9,0.9211,0,3.910458,35,51,153,147,48,8,80,13,38,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E18|5A16|6E18|7A3|8A16|9E2|10E4|11N1|12E5
66,25307,timeout,377,100,-808.20,5,8,0.9199,0,3.844744,28,34,155,172,50,15,98,20,42,"NA:N,SA:N",0E1|1E1|2E1|3E7|4E4|5E4|6E15|7A5|8A1|9A19|10A1|11A2|12E1
67,25697,timeout,390,100,-1354.25,5,8,0.9186,0,3.667492,14,24,152,188,50,15,115,18,37,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E1|5E1|6E2|7A1|8A1|9A1|10E16|11A10|12A1
68,26113,timeout,416,100,-3229.31,5,7,0.9173,0,3.873474,7,29,153,214,49,14,142,17,39,"NA:N,SA:N",0E1|1E1|2A1|3E1|4E18|5A1|6A1|7A3|8A1|9E3|10E2|11N1|12E3
69,26452,timeout,339,100,-497.68,8,4,0.9162,0,4.011140,40,23,145,144,50,8,78,9,43,"NA:N,SA:N",0A1|1A1|2A1|3A18|4A1|5A7|6A1|7A10|8E14|9E5|10E2|11N1|12E2
70,26827,timeout,375,100,-498.42,5,8,0.9150,0,4.061462,33,27,152,173,50,14,100,18,41,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E2|5E3|6E12|7A1|8A9|9A1|10A19|11A3|12E6
