# run_timestamp,20260509_114513
# total_steps,200000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,300000
# grad_clip,1.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,100
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,387,timeout,387,100,-315.00,8,4,0.9988,0,1.629760,17,26,155,182,50,14,109,16,45,"NA:N,SA:N",0A1|1A2|2A3|3A4|4A2|5A2|6E19|7A2|8A1|9E2|10E4|11N1|12E1
2,744,timeout,357,100,-328.45,7,5,0.9976,0,1.270916,49,17,152,155,50,6,91,7,46,"NA:N,SA:N",0A11|1A1|2A8|3A4|4A3|5A2|6E2|7A20|8E4|9E3|10E4|11N1|12E4
3,1123,timeout,379,100,-224.81,7,5,0.9964,0,1.261165,27,24,150,179,50,17,104,19,46,"NA:N,SA:N",0E1|1A2|2A3|3E4|4A17|5A1|6E14|7A1|8A1|9A2|10E2|11N1|12E3
4,1536,timeout,413,100,-198.65,8,4,0.9951,0,1.411215,83,27,205,158,50,11,89,12,46,"NA:N,SA:N",0A1|1A9|2A1|3A20|4A11|5A19|6A18|7A4|8E3|9E15|10E5|11N1|12E4
5,1915,timeout,379,100,-208.92,7,6,0.9939,0,1.456992,27,22,150,179,50,18,103,20,46,"NA:N,SA:N",0E1|1E1|2A1|3E1|4E8|5A1|6E8|7A6|8A12|9A4|10A2|11A1|12E3
6,2301,timeout,386,100,-199.47,8,5,0.9927,0,1.617265,22,38,153,184,49,20,106,20,41,"NA:N,SA:N",0E1|1E1|2A2|3E3|4E13|5A1|6A3|7A2|8A4|9A1|10E20|11A8|12A1
7,2666,timeout,365,100,-492.16,3,9,0.9916,0,1.531544,6,48,150,165,50,5,103,10,42,"NA:N,SA:N",0E1|1E3|2A3|3E13|4E3|5A2|6E16|7A1|8E5|9E2|10E3|11N1|12E2
8,3062,timeout,396,100,-206.49,9,3,0.9903,0,1.498389,51,18,172,174,50,14,101,14,45,"NA:A,SA:N",0A3|1A14|2A3|3A5|4A4|5A5|6A4|7A1|8A12|9E11|10E4|11N1|12E3
9,3447,timeout,385,100,-251.53,10,3,0.9891,0,1.496338,56,15,160,175,50,14,102,13,44,"NA:N,SA:A",0E1|1E3|2A1|3E11|4A13|5A3|6A1|7A18|8A6|9A4|10A2|11A1|12A7
10,3722,win,275,65,-36.50,13,0,0.9882,0,1.561786,37,0,113,130,32,11,76,8,29,"NA:A,SA:A",0A1|1A1|2A4|3A2|4A1|5A1|6A2|7A16|8A1|9A1|10A1|11A3|12A3
11,4091,timeout,369,100,-239.08,6,6,0.9870,0,1.513804,30,28,152,167,50,13,94,17,42,"NA:N,SA:N",0E2|1E1|2A1|3E16|4A5|5A1|6A19|7A3|8A1|9E4|10E3|11N1|12E2
12,4489,timeout,398,100,-325.88,7,5,0.9858,0,1.568699,8,26,152,196,50,18,120,19,45,"NA:N,SA:N",0E1|1E5|2A1|3A1|4A1|5A1|6E14|7A2|8A1|9A1|10E3|11N1|12E3
13,4870,timeout,381,100,-424.82,3,10,0.9846,0,1.581959,10,38,156,177,48,9,107,16,37,"NA:N,SA:N",0E1|1E1|2E3|3E1|4E6|5E3|6E3|7E1|8A1|9A8|10E14|11A1|12E5
14,5253,loss,383,95,-520.45,0,13,0.9834,0,1.526628,0,83,149,189,45,11,119,20,35,"NA:E,SA:E",0E4|1E4|2E4|3E4|4E8|5E4|6E5|7E4|8E4|9E8|10E12|11E19|12E3
15,5681,timeout,428,100,-259.80,8,5,0.9820,0,1.619520,72,28,204,174,50,14,102,14,46,"NA:N,SA:A",0A1|1E1|2E1|3E1|4E10|5A3|6E15|7A2|8A11|9A15|10A1|11A20|12A19
16,6074,timeout,393,100,-45.30,9,3,0.9808,0,1.532165,176,49,244,99,50,2,39,2,48,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A16|9E20|10E14|11N1|12E15
17,6438,timeout,364,100,-299.69,7,5,0.9796,0,1.485309,40,31,150,164,50,10,96,12,49,"NA:N,SA:N",0A2|1A1|2A3|3A11|4A2|5A20|6E3|7A1|8E12|9E5|10E5|11N1|12E6
