# run_timestamp,20260509_164035
# total_steps,200000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,200000
# grad_clip,1.0
# batch_size,128
# replay_capacity,100000
# beginner_max_turns,150
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,671,timeout,671,150,794.58,10,3,0.7477,0,1.845054,89,18,297,299,75,27,188,26,65,"NA:A,SA:N",0A20|1A4|2A20|3A1|4A3|5A20|6A6|7A14|8A1|9E4|10E8|11A0|12E6
2,1374,loss,703,150,469.29,0,13,0.7452,0,1.589311,0,67,258,373,72,20,263,32,63,"NA:E,SA:E",0E3|1E3|2E3|3E3|4E3|5E4|6E4|7E3|8E4|9E1|10E20|11E3|12E13
3,2010,timeout,636,150,1261.30,6,6,0.7430,0,1.806470,33,44,240,321,75,41,197,44,69,"NA:N,SA:N",0E1|1E1|2A10|3E12|4A3|5A2|6A17|7A1|8A0|9E15|10E8|11N1|12E7
4,2417,loss,407,79,495.12,0,13,0.7415,0,1.993023,0,38,151,221,35,19,148,29,34,"NA:E,SA:E",0E3|1E3|2E3|3E3|4E3|5E2|6E3|7E2|8E3|9E1|10E4|11E2|12E6
5,3062,timeout,645,150,353.65,4,9,0.7393,0,1.979862,73,180,285,285,75,15,185,22,70,"NA:E,SA:A",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9A18|10A15|11A20|12A20
6,3541,loss,479,99,453.93,0,13,0.7376,0,1.817673,0,95,182,249,48,18,170,28,45,"NA:E,SA:E",0E5|1E4|2E5|3E17|4E4|5E4|6E13|7E3|8E13|9E7|10E6|11E7|12E7
7,4262,win,721,119,429.57,13,0,0.7351,0,1.759358,222,0,416,246,59,13,163,10,59,"NA:A,SA:A",0A20|1A20|2A20|3A20|4A20|5A19|6A20|7A20|8A17|9A3|10A3|11A20|12A20
8,4549,loss,287,70,126.78,0,12,0.7341,0,1.584781,0,48,107,147,33,7,95,14,29,"NA:E,SA:N",0E2|1E2|2E2|3E3|4E2|5E2|6E2|7E3|8E16|9E4|10E5|11N1|12E5
9,5215,timeout,666,150,895.20,10,3,0.7317,0,1.641972,50,14,270,321,75,30,207,30,72,"NA:N,SA:N",0A3|1A4|2A20|3A6|4A3|5A1|6A8|7A4|8E8|9A0|10E2|11A1|12E4
10,5563,win,348,70,706.36,13,0,0.7305,0,1.739960,67,0,155,159,34,19,94,16,33,"NA:A,SA:A",0A10|1A7|2A6|3A2|4A5|5A1|6A16|7A9|8A1|9A2|10A0|11A7|12A1
11,5787,loss,224,42,236.08,0,12,0.7297,0,1.718626,0,35,77,131,16,10,87,18,13,"NA:E,SA:N",0E2|1E2|2E2|3E2|4E2|5E3|6E1|7E2|8E3|9E5|10E6|11N1|12E5
12,6425,timeout,638,150,941.31,4,9,0.7275,0,1.750015,4,32,230,334,74,32,216,38,70,"NA:N,SA:N",0E2|1E2|2E2|3E1|4E5|5E1|6E3|7A0|8A1|9A2|10E7|11A1|12E9
13,6748,loss,323,67,307.96,0,13,0.7264,0,1.795834,0,47,115,178,30,13,118,23,22,"NA:E,SA:E",0E4|1E3|2E4|3E3|4E3|5E3|6E3|7E3|8E3|9E1|10E12|11E2|12E3
14,7330,timeout,582,150,635.55,8,4,0.7243,0,1.820288,104,38,275,232,75,22,127,23,74,"NA:N,SA:N",0A20|1A20|2A20|3A9|4A1|5A6|6A20|7A8|8E15|9E10|10E7|11N1|12E6
15,7559,loss,229,46,-3.26,0,12,0.7235,0,1.826773,0,28,83,128,18,3,88,12,16,"NA:E,SA:N",0E1|1E1|2E2|3E2|4E2|5E2|6E1|7E1|8E1|9E6|10E5|11N1|12E4
16,8012,loss,453,96,562.22,0,13,0.7220,0,1.788677,0,59,161,250,42,21,166,30,37,"NA:E,SA:E",0E4|1E4|2E4|3E4|4E5|5E4|6E5|7E4|8E4|9E3|10E8|11E3|12E7
17,8715,timeout,703,150,647.68,3,10,0.7195,0,1.780778,4,25,268,361,74,24,252,30,66,"NA:N,SA:N",0E1|1E1|2E2|3E3|4E1|5A1|6E4|7A0|8E1|9E3|10E6|11A3|12E3
18,9337,timeout,622,150,602.20,11,2,0.7173,0,1.791164,112,39,300,247,75,21,142,20,71,"NA:N,SA:N",0A20|1A20|2A1|3A5|4A20|5A1|6A9|7A20|8E19|9E20|10A0|11A10|12A6
19,9966,timeout,629,150,854.00,7,5,0.7151,0,1.772077,68,30,270,284,75,29,172,31,71,"NA:N,SA:N",0A4|1A13|2A1|3A11|4A0|5A20|6E6|7A19|8E4|9E6|10E6|11N1|12E8
20,10625,timeout,659,150,678.65,7,5,0.7128,0,1.797838,123,44,325,259,75,24,151,27,72,"NA:N,SA:N",0A20|1A20|2A20|3A4|4A19|5A20|6E10|7A20|8E7|9E6|10E10|11N1|12E11
21,11305,loss,680,138,957.03,0,13,0.7104,0,1.704391,0,65,252,361,67,34,246,44,62,"NA:E,SA:E",0E4|1E4|2E4|3E5|4E4|5E4|6E4|7E4|8E4|9E7|10E4|11E3|12E14
22,11641,loss,336,71,248.72,0,13,0.7093,0,1.738034,0,96,121,183,32,11,124,20,26,"NA:E,SA:E",0E6|1E6|2E6|3E6|4E6|5E10|6E14|7E3|8E14|9E7|10E6|11E6|12E6
23,12358,timeout,717,150,1243.60,8,5,0.7067,0,1.774672,56,15,300,342,75,41,217,43,74,"NA:N,SA:N",0A8|1A20|2A1|3A1|4A3|5A3|6E5|7A20|8E1|9E1|10E3|11A0|12E5
24,12740,loss,382,87,383.68,0,13,0.7054,0,1.783107,0,62,137,204,41,15,134,24,36,"NA:E,SA:E",0E2|1E3|2E2|3E3|4E2|5E3|6E6|7E3|8E3|9E7|10E15|11E3|12E10
25,13472,win,732,135,1201.06,13,0,0.7028,0,1.841809,69,0,315,350,67,36,235,34,64,"NA:A,SA:A",0A8|1A11|2A4|3A1|4A3|5A20|6A1|7A18|8A0|9A1|10A0|11A1|12A1
26,14149,timeout,677,150,686.78,10,3,0.7005,0,1.828861,200,31,357,245,75,24,136,24,71,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A20|9E8|10E15|11A20|12E8
