# run_timestamp,20260509_104825
# total_steps,250000
# learning_rate,5e-05
# gamma,0.95
# tau,0.01
# eps_decay,300000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,100
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,393,timeout,393,100,-871.52,4,8,0.9988,0,2.657049,25,41,170,173,50,14,101,19,50,"NA:N,SA:N",0E1|1E3|2A20|3E5|4A1|5A3|6E7|7A1|8E10|9E7|10E3|11N1|12E5
2,777,timeout,384,100,-149.81,8,4,0.9975,0,3.294274,90,30,187,147,50,11,77,12,43,"NA:N,SA:N",0A15|1A5|2A5|3A20|4A20|5A3|6A9|7A13|8E17|9E4|10E3|11N1|12E6
3,1177,timeout,400,100,-156.12,7,5,0.9963,0,2.187318,113,46,220,130,50,4,66,8,47,"NA:N,SA:N",0A14|1A20|2A15|3A5|4A20|5A20|6E9|7A19|8E12|9E13|10N1|11E5|12E7
4,1564,timeout,387,100,-621.31,7,6,0.9950,0,1.881153,18,17,155,182,50,8,115,11,48,"NA:N,SA:N",0A1|1E2|2A3|3E1|4E1|5A1|6E9|7A1|8A10|9A1|10E2|11A1|12E2
5,1970,timeout,406,100,-1142.77,1,11,0.9938,0,2.239120,18,28,166,197,43,10,123,17,32,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E1|5E3|6E3|7E8|8A18|9E5|10E2|11N1|12E2
6,2377,timeout,407,100,-1208.35,8,5,0.9925,0,2.737663,22,31,162,195,50,20,116,22,42,"NA:N,SA:A",0E1|1E2|2A1|3E1|4E11|5A1|6E16|7A1|8A1|9A1|10A12|11A3|12A2
7,2667,loss,290,68,-712.13,0,12,0.9916,0,3.249170,0,31,113,147,30,6,94,15,26,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E1|5E1|6E5|7E5|8E3|9E8|10E2|11N1|12E2
8,3046,timeout,379,100,-932.78,8,4,0.9904,0,3.170362,19,14,152,177,50,9,110,9,43,"NA:N,SA:N",0A8|1A1|2A2|3E7|4A1|5A3|6A1|7A2|8A1|9E3|10E2|11N1|12E2
9,3441,timeout,395,100,-1681.19,9,4,0.9891,0,3.246491,16,30,152,193,50,19,115,19,41,"NA:N,SA:N",0A1|1E3|2A1|3A1|4E3|5A2|6E4|7A1|8A6|9A1|10E20|11A1|12A2
10,3825,timeout,384,100,-1175.37,4,8,0.9879,0,3.650443,21,32,160,174,50,8,108,12,42,"NA:N,SA:N",0E1|1E1|2E1|3E3|4E20|5A1|6A18|7A1|8A1|9E2|10E2|11N1|12E2
