episode,global_step,outcome,ep_steps,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss
1,229,loss,229,-1.29,0,13,0.9973,0,0.017205
2,529,timeout,300,1.40,9,4,0.9937,0,0.018807
3,811,win,282,2.39,13,0,0.9904,0,0.017824
4,998,loss,187,-0.96,0,13,0.9881,0,0.017797
5,1113,loss,115,-1.09,0,13,0.9868,0,0.019062
6,1413,timeout,300,0.50,8,5,0.9832,0,0.017844
7,1515,loss,102,-1.40,0,13,0.9820,0,0.017378
8,1815,timeout,300,0.80,7,6,0.9784,0,0.016866
9,2097,win,282,2.09,13,0,0.9751,0,0.016037
10,2173,loss,76,-1.36,0,12,0.9742,0,0.016343
11,2384,win,211,1.70,13,0,0.9717,0,0.016065
12,2684,timeout,300,0.37,10,3,0.9681,0,0.015848
13,2984,timeout,300,0.15,3,10,0.9646,0,0.015969
14,3284,timeout,300,0.82,4,9,0.9610,0,0.015930
15,3543,loss,259,-0.07,0,13,0.9579,0,0.015733
16,3613,loss,70,-1.12,0,12,0.9571,0,0.015802
17,3783,win,170,1.86,13,0,0.9551,0,0.016096
18,4083,timeout,300,0.72,11,2,0.9515,0,0.016626
19,4171,win,88,1.57,13,0,0.9505,0,0.016638
20,4471,timeout,300,1.40,11,2,0.9469,0,0.016859
21,4734,loss,263,-0.67,0,13,0.9438,0,0.017506
22,4914,loss,180,-0.61,0,13,0.9416,0,0.018336
23,5214,timeout,300,1.20,6,7,0.9381,0,0.018469
24,5514,timeout,300,0.97,10,3,0.9345,0,0.019048
25,5814,timeout,300,0.85,9,3,0.9310,0,0.019286
26,6049,loss,235,-0.98,0,13,0.9282,0,0.020184
27,6349,timeout,300,0.27,2,11,0.9246,0,0.020827
28,6616,win,267,2.13,13,0,0.9214,0,0.021242
29,6746,loss,130,-0.69,0,13,0.9199,0,0.021459
30,6805,loss,59,-1.00,0,12,0.9192,0,0.022128
31,6977,loss,172,-0.91,0,13,0.9171,0,0.021996
32,7007,loss,30,-1.16,0,11,0.9168,0,0.021826
33,7122,loss,115,-0.74,0,13,0.9154,0,0.022994
34,7298,win,176,1.74,13,0,0.9133,0,0.023554
35,7563,win,265,2.11,13,0,0.9102,0,0.023753
36,7711,win,148,1.62,13,0,0.9084,0,0.024022
37,8011,timeout,300,1.12,10,3,0.9049,0,0.024874
38,8311,timeout,300,1.15,9,4,0.9013,0,0.025308
39,8457,loss,146,-0.65,0,13,0.8996,0,0.026361
40,8743,loss,286,-0.51,0,13,0.8962,0,0.026303
41,8815,loss,72,-0.91,0,12,0.8953,0,0.027427
42,9115,timeout,300,0.22,4,8,0.8918,0,0.028214
43,9415,timeout,300,1.17,7,5,0.8882,0,0.028759
44,9641,win,226,1.79,13,0,0.8855,0,0.029450
45,9941,timeout,300,0.70,8,5,0.8820,0,0.030713
46,10044,loss,103,-1.05,0,13,0.8807,0,0.031703
47,10344,timeout,300,0.95,11,2,0.8772,0,0.032168
48,10614,win,270,1.56,13,0,0.8740,0,0.032960
49,10879,win,265,1.93,13,0,0.8708,0,0.033964
50,11179,timeout,300,1.12,10,2,0.8672,0,0.035740
51,11479,timeout,300,0.65,8,4,0.8637,0,0.036192
52,11592,loss,113,-1.42,0,13,0.8623,0,0.037724
53,11892,timeout,300,1.22,12,1,0.8588,0,0.038329
54,12192,timeout,300,1.40,12,1,0.8552,0,0.040562
55,12246,loss,54,-1.12,0,12,0.8546,0,0.040813
56,12451,win,205,1.80,13,0,0.8521,0,0.041537
57,12547,loss,96,-1.15,0,12,0.8510,0,0.041699
58,12685,loss,138,-1.13,0,12,0.8494,0,0.043193
59,12800,loss,115,-0.84,0,12,0.8480,0,0.043638
60,13100,timeout,300,0.90,9,3,0.8444,0,0.045151
61,13400,timeout,300,0.77,9,4,0.8409,0,0.047099
62,13700,timeout,300,0.80,10,3,0.8373,0,0.048382
63,13843,loss,143,-0.83,0,13,0.8356,0,0.050105
64,13859,loss,16,-1.19,0,9,0.8354,0,0.050966
65,14159,timeout,300,1.02,9,3,0.8319,0,0.052171
66,14369,loss,210,-0.40,0,13,0.8294,0,0.053000
67,14669,timeout,300,0.42,8,5,0.8258,0,0.056662
68,14735,loss,66,-1.22,0,12,0.8250,0,0.059859
69,15035,timeout,300,1.02,5,8,0.8215,0,0.059318
70,15335,timeout,300,0.80,8,5,0.8179,0,0.061769
71,15482,win,147,1.97,13,0,0.8162,0,0.064101
72,15628,loss,146,-0.85,0,13,0.8144,0,0.065474
73,15928,timeout,300,0.57,6,6,0.8109,0,0.068105
74,16228,timeout,300,0.55,6,7,0.8073,0,0.069961
75,16528,timeout,300,1.30,10,3,0.8037,0,0.072248
76,16814,loss,286,-0.53,0,12,0.8003,0,0.076518
77,17026,loss,212,-0.37,0,13,0.7978,0,0.079778
78,17326,timeout,300,0.70,3,10,0.7943,0,0.083312
79,17626,timeout,300,0.72,4,9,0.7907,0,0.087381
80,17926,timeout,300,0.67,3,9,0.7871,0,0.091087
81,18226,timeout,300,1.15,4,9,0.7836,0,0.094394
82,18496,loss,270,-0.52,0,13,0.7804,0,0.100621
83,18796,timeout,300,0.50,8,5,0.7768,0,0.104557
84,18971,loss,175,-1.04,0,12,0.7747,0,0.107257
85,19249,win,278,2.56,13,0,0.7714,0,0.110837
86,19549,timeout,300,0.95,6,6,0.7679,0,0.114727
87,19849,timeout,300,0.72,5,8,0.7643,0,0.116849
88,19957,loss,108,-1.25,0,13,0.7630,0,0.120200
