episode,global_step,outcome,ep_steps,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss
1,300,timeout,300,15.00,9,4,0.9964,0,0.171648
2,579,win,279,45.79,13,0,0.9931,0,0.175643
3,691,loss,112,-28.88,0,12,0.9918,0,0.207969
4,891,loss,200,-23.50,0,13,0.9894,0,0.252116
5,1191,timeout,300,6.50,3,10,0.9859,0,0.287775
6,1491,timeout,300,20.00,10,3,0.9823,0,0.277780
7,1653,win,162,37.12,13,0,0.9804,0,0.255584
8,1953,timeout,300,12.00,7,6,0.9768,0,0.282859
9,2044,loss,91,-26.59,0,12,0.9757,0,0.247823
10,2344,timeout,300,21.00,10,3,0.9722,0,0.264026
11,2485,loss,141,-17.59,0,13,0.9705,0,0.257457
12,2541,loss,56,-22.44,0,12,0.9698,0,0.251673
13,2633,loss,92,-24.08,0,12,0.9687,0,0.274056
14,2933,timeout,300,6.50,6,6,0.9652,0,0.281764
15,3059,loss,126,-21.74,0,13,0.9637,0,0.278005
16,3359,timeout,300,20.00,8,4,0.9601,0,0.277405
17,3605,loss,246,-18.54,0,13,0.9572,0,0.276212
18,3881,loss,276,-13.74,0,13,0.9539,0,0.288479
19,3961,loss,80,-24.20,0,12,0.9530,0,0.290168
20,4122,win,161,40.61,13,0,0.9511,0,0.314364
21,4343,loss,221,-19.79,0,13,0.9484,0,0.304690
22,4381,loss,38,-25.62,0,10,0.9480,0,0.280131
23,4681,timeout,300,29.00,10,3,0.9444,0,0.289238
24,4981,timeout,300,14.00,2,11,0.9409,0,0.321916
25,5281,timeout,300,12.50,8,5,0.9373,0,0.341247
26,5581,timeout,300,24.50,8,5,0.9337,0,0.345726
27,5881,timeout,300,21.00,11,2,0.9302,0,0.362288
28,6181,timeout,300,22.00,7,6,0.9266,0,0.375059
29,6481,timeout,300,12.50,7,6,0.9230,0,0.414578
30,6781,timeout,300,20.50,8,4,0.9195,0,0.404962
31,6879,loss,98,-19.52,0,13,0.9183,0,0.407109
32,6919,loss,40,-22.60,0,10,0.9178,0,0.463276
33,7057,loss,138,-23.62,0,13,0.9162,0,0.483485
34,7357,timeout,300,20.50,3,10,0.9126,0,0.474111
35,7657,timeout,300,22.00,9,4,0.9091,0,0.520263
36,7899,win,242,43.92,13,0,0.9062,0,0.541607
37,8199,timeout,300,7.00,5,8,0.9026,0,0.535512
38,8482,loss,283,-13.17,0,13,0.8993,0,0.536397
39,8546,loss,64,-24.36,0,12,0.8985,0,0.634878
40,8846,timeout,300,20.00,3,9,0.8950,0,0.618629
41,8966,loss,120,-21.80,0,13,0.8935,0,0.647801
42,9145,loss,179,-25.71,0,12,0.8914,0,0.704029
43,9445,timeout,300,11.00,3,10,0.8878,0,0.731246
44,9521,loss,76,-26.24,0,12,0.8869,0,0.735062
45,9821,timeout,300,19.50,8,5,0.8834,0,0.808872
46,9921,loss,100,-13.50,0,13,0.8822,0,0.898231
