# run_timestamp,20260509_052707
# total_steps,10000
# learning_rate,0.00025
# gamma,0.95
# tau,0.01
# eps_decay,20000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,30
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,150,timeout,150,30,-15.50,6,6,0.9929,0,0.349888,62,52,90,30,30,0,17,2,26,"NA:N,SA:N",0A4|1A20|2A20|3E19|4A3|5A14|6E20|7A1|8E4|9E3|10E3|11N1|12E3
2,300,timeout,150,30,-28.00,4,8,0.9858,0,0.243473,53,60,90,30,30,1,17,4,24,"NA:N,SA:N",0E1|1E5|2A6|3E16|4A7|5A20|6E20|7A20|8E9|9E3|10E3|11N1|12E3
3,450,timeout,150,30,-22.00,5,7,0.9786,0,0.331051,59,53,90,30,30,0,18,3,25,"NA:N,SA:N",0E9|1A16|2A20|3E20|4A19|5A1|6E13|7A3|8E2|9E3|10E3|11N1|12E3
4,600,timeout,150,30,-19.50,5,7,0.9715,0,0.292072,63,51,90,30,30,3,16,6,26,"NA:N,SA:N",0E1|1E18|2A20|3A2|4A20|5A15|6A6|7E20|8E3|9E3|10E3|11N1|12E3
5,750,timeout,150,30,-17.00,6,6,0.9644,0,0.392511,63,51,90,30,30,3,14,4,27,"NA:N,SA:N",0A15|1A12|2A3|3A1|4E18|5A13|6E14|7A19|8E8|9E3|10E3|11N1|12E5
6,900,timeout,150,30,-20.50,5,7,0.9572,0,0.350571,64,52,90,30,30,1,18,3,28,"NA:N,SA:N",0E3|1A11|2A5|3E13|4A20|5A8|6E20|7A20|8E5|9E3|10E4|11N1|12E4
7,1050,timeout,150,30,-27.00,4,8,0.9501,0,0.352295,53,57,90,30,30,0,19,4,26,"NA:N,SA:N",0E1|1E8|2A14|3E8|4A18|5A20|6E20|7A1|8E9|9E4|10E4|11N1|12E3
8,1198,timeout,148,30,-14.12,6,6,0.9431,0,0.317240,64,49,88,30,30,4,14,5,23,"NA:N,SA:N",0E1|1A2|2A9|3A9|4E19|5A4|6A20|7A20|8E19|9E4|10E3|11N1|12E3
9,1348,timeout,150,30,-27.00,4,8,0.9360,0,0.333310,52,56,90,30,30,0,18,3,23,"NA:N,SA:N",0E1|1E8|2A5|3A7|4E20|5A20|6E18|7A20|8E2|9E3|10E2|11N1|12E2
10,1498,timeout,150,30,-21.50,5,7,0.9288,0,0.288653,61,49,90,30,30,0,18,3,26,"NA:N,SA:N",0E1|1A16|2A5|3E19|4A20|5A18|6E7|7A2|8E7|9E3|10E6|11N1|12E6
