# run_timestamp,20260509_080217
# total_steps,200000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,20000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,60
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,286,timeout,286,60,-80.63,4,8,0.9864,0,0.295356,80,81,165,61,60,0,46,3,56,"NA:N,SA:N",0E1|1E18|2A20|3E17|4A20|5A20|6E20|7A20|8E17|9E2|10E3|11N1|12E3
2,599,timeout,313,60,-78.71,7,6,0.9715,0,0.235133,91,90,189,64,60,4,46,5,56,"NA:N,SA:N",0E7|1E7|2A4|3E16|4E20|5A20|6E20|7A18|8A20|9A2|10E20|11A20|12A7
3,885,timeout,286,60,-82.40,4,8,0.9580,0,0.216549,80,85,164,62,60,1,42,3,57,"NA:N,SA:N",0E1|1E18|2A20|3E19|4A20|5A20|6E20|7A20|8E20|9E2|10E3|11N1|12E2
4,1166,timeout,281,60,-89.74,4,8,0.9446,0,0.203191,77,87,161,60,60,1,42,4,56,"NA:N,SA:N",0E1|1E12|2A19|3E8|4E20|5A18|6E20|7A20|8A20|9E17|10E3|11N1|12E6
5,1452,timeout,286,60,-75.16,4,8,0.9310,0,0.261609,77,88,166,60,60,5,43,9,47,"NA:N,SA:N",0E6|1E20|2A18|3A19|4E20|5A20|6A20|7E20|8E13|9E3|10E3|11N1|12E3
6,1719,timeout,267,60,-70.13,3,9,0.9183,0,0.276054,57,84,147,60,60,1,43,5,49,"NA:N,SA:N",0E1|1E10|2A17|3E11|4E20|5A20|6E17|7A20|8E16|9E3|10E3|11N1|12E3
7,2016,timeout,297,60,-64.22,5,7,0.9042,0,0.257859,97,87,177,60,60,3,37,6,56,"NA:N,SA:N",0E6|1A19|2A18|3E20|4A20|5A20|6E20|7A20|8E20|9E7|10E7|11N1|12E7
8,2316,timeout,300,60,-87.53,5,7,0.8900,0,0.230814,82,98,180,60,60,0,43,3,56,"NA:N,SA:N",0E18|1A4|2A20|3E20|4A18|5A20|6E20|7A20|8E20|9E7|10E6|11N1|12E7
9,2580,timeout,264,60,-63.71,3,9,0.8774,0,0.234735,59,85,144,60,60,2,45,6,51,"NA:N,SA:N",0E1|1E14|2A19|3E1|4E20|5A20|6E20|7A20|8E20|9E3|10E3|11N1|12E3
10,2877,timeout,297,60,-81.96,5,7,0.8633,0,0.220478,97,84,175,62,60,3,39,6,54,"NA:N,SA:N",0A17|1E19|2A20|3A20|4E20|5A20|6E20|7A20|8E15|9E3|10E3|11N1|12E4
11,3174,timeout,297,60,-107.80,4,8,0.8492,0,0.227637,77,100,177,60,60,2,45,6,53,"NA:N,SA:N",0E9|1E20|2A20|3A17|4E20|5A20|6E20|7A20|8E20|9E3|10E4|11N1|12E4
12,3454,timeout,280,60,-57.10,4,8,0.8359,0,0.262519,77,76,160,60,60,0,48,4,53,"NA:N,SA:N",0E1|1E20|2A20|3E13|4A18|5A20|6E20|7A19|8E11|9E4|10E3|11N1|12E4
13,3754,timeout,300,60,-60.37,5,7,0.8217,0,0.220252,95,79,180,60,60,1,46,3,57,"NA:N,SA:N",0E1|1E19|2A20|3E18|4A18|5A17|6E20|7A20|8A20|9E15|10E3|11N1|12E3
14,4037,timeout,283,60,-86.18,4,8,0.8082,0,0.245105,76,94,163,60,60,2,41,5,56,"NA:N,SA:N",0E4|1E19|2A19|3E20|4E20|5A18|6A19|7A20|8E20|9E3|10E4|11N1|12E4
15,4337,timeout,300,60,-61.62,6,6,0.7940,0,0.223785,106,86,180,60,60,4,40,5,56,"NA:N,SA:N",0A18|1A12|2A20|3E19|4A20|5A16|6E20|7A20|8E20|9E9|10E9|11N1|12E9
16,4637,timeout,300,60,-113.85,9,4,0.7797,0,0.229089,94,78,180,60,60,2,44,1,56,"NA:N,SA:N",0A13|1A2|2A13|3E18|4A20|5A2|6E20|7A20|8A3|9A20|10E20|11A1|12E20
17,4937,timeout,300,60,-70.77,5,7,0.7655,0,0.237296,98,78,180,60,60,3,42,6,56,"NA:N,SA:N",0E11|1A18|2A20|3E20|4A20|5A20|6E20|7A20|8E20|9E2|10E3|11N1|12E2
18,5237,timeout,300,60,-74.99,5,7,0.7512,0,0.228809,85,100,180,60,60,2,41,6,55,"NA:N,SA:N",0E3|1A15|2A20|3E16|4A10|5A20|6E20|7A20|8E20|9E13|10E14|11N1|12E14
19,5537,timeout,300,60,-141.68,6,7,0.7370,0,0.237110,75,102,180,60,60,2,46,4,56,"NA:N,SA:N",0E5|1E16|2A2|3E20|4E20|5A18|6E20|7A19|8A20|9A1|10E16|11A15|12E5
20,5837,timeout,300,60,-66.06,5,7,0.7227,0,0.228927,94,84,180,60,60,2,42,5,55,"NA:N,SA:N",0E2|1A15|2A20|3E20|4A19|5A20|6E20|7A20|8E18|9E8|10E8|11N1|12E8
21,6125,timeout,288,60,-63.80,4,8,0.7091,0,0.236153,78,78,168,60,60,1,46,4,55,"NA:N,SA:N",0E1|1E18|2A20|3E15|4A20|5A18|6E20|7A20|8E16|9E3|10E2|11N1|12E3
22,6425,timeout,300,60,-111.75,5,7,0.6948,0,0.215123,84,82,180,60,60,0,50,3,57,"NA:N,SA:N",0A18|1E16|2A20|3A8|4E20|5A18|6A20|7E17|8E14|9E5|10E5|11N1|12E5
23,6725,timeout,300,60,-75.30,6,6,0.6806,0,0.221013,83,92,180,60,60,0,44,2,58,"NA:N,SA:N",0A19|1A17|2A19|3E18|4A6|5A20|6E20|7A2|8E20|9E11|10E11|11N1|12E12
24,7025,timeout,300,60,-75.51,6,6,0.6663,0,0.223657,89,80,180,60,60,0,44,2,57,"NA:N,SA:N",0A19|1A9|2A17|3E19|4A20|5A4|6E20|7A20|8E20|9E7|10E7|11N1|12E7
25,7325,timeout,300,60,-64.40,7,5,0.6521,0,0.206063,101,71,180,60,60,3,45,3,59,"NA:N,SA:N",0A10|1A20|2A20|3E18|4A20|5A3|6E20|7A8|8A20|9E20|10E6|11N1|12E7
26,7625,timeout,300,60,-62.97,6,6,0.6378,0,0.198963,99,73,180,60,60,3,47,5,55,"NA:N,SA:N",0E9|1E14|2A1|3E20|4A19|5A20|6A19|7A20|8A20|9E20|10E5|11N1|12E5
27,7925,timeout,300,60,-73.98,6,6,0.6236,0,0.192846,87,80,180,60,60,0,48,2,57,"NA:N,SA:N",0A18|1A20|2A4|3E19|4A20|5A20|6E20|7A5|8E20|9E7|10E7|11N1|12E7
28,8225,timeout,300,60,-94.01,6,6,0.6093,0,0.196113,88,96,180,60,60,0,44,2,58,"NA:N,SA:N",0A12|1A20|2A5|3E20|4A20|5A11|6E20|7A20|8E19|9E12|10E12|11N1|12E13
29,8525,timeout,300,60,-97.93,7,5,0.5951,0,0.192180,81,81,180,60,60,1,49,2,54,"NA:N,SA:N",0A17|1A2|2A2|3E18|4A20|5A20|6A1|7A19|8E20|9E14|10E14|11N1|12E15
30,8825,timeout,300,60,-84.09,7,5,0.5808,0,0.198921,93,87,180,60,60,1,42,1,56,"NA:N,SA:N",0A15|1A20|2A2|3E19|4A20|5A7|6E20|7A20|8A9|9E20|10E14|11N1|12E14
31,9129,timeout,304,60,-64.67,6,6,0.5664,0,0.191159,84,89,183,61,60,1,47,2,57,"NA:N,SA:N",0A12|1A15|2A1|3E20|4A20|5A16|6E20|7A20|8E20|9E10|10E10|11N1|12E9
32,9429,timeout,300,60,-77.39,5,7,0.5521,0,0.193724,89,76,180,60,60,0,50,2,55,"NA:N,SA:N",0E4|1A17|2A20|3E20|4A20|5A20|6E20|7A12|8E20|9E4|10E4|11N1|12E4
33,9734,timeout,305,60,-90.43,6,6,0.5376,0,0.188108,82,105,185,60,60,0,46,3,58,"NA:N,SA:N",0A17|1A20|2A1|3E18|4A20|5A18|6E20|7A6|8E20|9E16|10E15|11N1|12E16
34,10034,timeout,300,60,-67.99,6,6,0.5234,0,0.192253,98,67,180,60,60,0,51,2,57,"NA:N,SA:N",0A20|1A20|2A9|3E18|4A20|5A20|6E20|7A9|8E17|9E4|10E4|11N1|12E4
35,10334,timeout,300,60,-94.40,6,6,0.5091,0,0.190436,74,91,180,60,60,0,47,2,58,"NA:N,SA:N",0A17|1A20|2A11|3E19|4A20|5A3|6E20|7A3|8E20|9E10|10E11|11N1|12E11
36,10634,timeout,300,60,-66.91,6,6,0.4949,0,0.188365,87,82,180,60,60,0,48,2,58,"NA:N,SA:N",0A17|1A20|2A14|3E18|4A19|5A5|6E20|7A12|8E20|9E8|10E8|11N1|12E8
37,10934,timeout,300,60,-81.25,7,5,0.4806,0,0.188369,104,76,180,60,60,1,43,2,59,"NA:N,SA:N",0A14|1A12|2A2|3E20|4A20|5A20|6A16|7A20|8E20|9E12|10E12|11N1|12E12
38,11234,timeout,300,60,-117.80,6,6,0.4664,0,0.188004,101,70,180,60,60,2,48,4,56,"NA:N,SA:N",0A20|1A19|2A17|3A7|4E19|5A20|6A18|7E20|8E20|9E4|10E3|11N1|12E4
39,11538,timeout,304,60,-78.94,7,5,0.4519,0,0.191714,83,86,183,61,60,1,51,1,58,"NA:N,SA:N",0A17|1A18|2A6|3E18|4A20|5A1|6E20|7A17|8A4|9E20|10E14|11N1|12E14
