# run_timestamp,20260509_074328
# total_steps,100000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,20000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,60
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
23,6883,timeout,284,60,-76.14,4,8,0.6731,0,0.270160,79,86,164,60,60,0,42,4,57,"NA:N,SA:N",0E1|1E19|2A20|3E18|4A19|5A20|6E20|7A20|8E17|9E3|10E4|11N1|12E4
24,7183,timeout,300,60,-74.30,5,7,0.6588,0,0.254432,85,83,180,60,60,0,50,2,56,"NA:N,SA:N",0A7|1A18|2A20|3E19|4E20|5A20|6E17|7A20|8E18|9E3|10E3|11N1|12E3
25,7487,timeout,304,60,-129.44,6,6,0.6444,0,0.262799,82,89,183,61,60,1,50,2,57,"NA:N,SA:N",0E2|1A14|2A3|3E18|4A7|5A20|6E20|7A20|8A18|9E20|10E14|11N1|12E15
26,7787,timeout,300,60,-97.69,7,5,0.6301,0,0.263141,92,78,180,60,60,2,47,3,57,"NA:N,SA:N",0A4|1A20|2A20|3E19|4A17|5A1|6A20|7A10|8E20|9E13|10E13|11N1|12E13
27,8053,timeout,266,60,-58.78,3,9,0.6175,0,0.268692,58,84,146,60,60,1,47,6,54,"NA:N,SA:N",0E1|1E17|2A20|3E1|4E20|5A20|6E18|7A18|8E19|9E3|10E2|11N1|12E3
28,8353,timeout,300,60,-73.91,6,6,0.6032,0,0.248650,90,89,180,60,60,2,43,4,55,"NA:N,SA:N",0A18|1A15|2A16|3E19|4A4|5A20|6E20|7A17|8E20|9E10|10E10|11N1|12E10
29,8653,timeout,300,60,-63.44,6,6,0.5890,0,0.240171,97,80,180,60,60,6,42,9,59,"NA:N,SA:N",0A8|1A20|2A20|3E19|4A9|5A20|6E20|7A20|8E20|9E7|10E7|11N1|12E7
30,8942,timeout,289,60,-79.81,5,7,0.5753,0,0.234100,79,89,169,60,60,2,46,4,51,"NA:N,SA:N",0E1|1A2|2A17|3E16|4E20|5A20|6E20|7A20|8A20|9E20|10E6|11N1|12E6
31,9242,timeout,300,60,-85.70,6,6,0.5610,0,0.245321,96,83,180,60,60,2,42,4,57,"NA:N,SA:N",0E14|1A20|2A20|3E20|4A19|5A16|6E20|7A1|8A20|9E19|10E5|11N1|12E5
32,9542,timeout,300,60,-65.19,5,7,0.5468,0,0.248206,87,91,180,60,60,2,44,5,58,"NA:N,SA:N",0E17|1A19|2A9|3E20|4A20|5A20|6E20|7A19|8E19|9E5|10E5|11N1|12E5
33,9841,timeout,299,60,-55.26,5,7,0.5326,0,0.228937,97,78,179,60,60,4,45,7,57,"NA:N,SA:N",0E11|1A19|2A20|3E20|4A20|5A20|6E20|7A18|8E16|9E3|10E4|11N1|12E4
34,10141,timeout,300,60,-42.35,7,5,0.5183,0,0.234299,97,69,180,60,60,1,47,2,58,"NA:N,SA:N",0A18|1A20|2A5|3E19|4A17|5A20|6E20|7A16|8A1|9E16|10E6|11N1|12E8
35,10441,timeout,300,60,-68.33,5,7,0.5041,0,0.235594,95,75,180,60,60,5,43,7,56,"NA:N,SA:N",0E11|1E20|2A20|3A19|4A20|5A20|6E20|7A16|8E18|9E2|10E3|11N1|12E1
36,10741,timeout,300,60,-83.96,6,6,0.4898,0,0.238674,98,83,180,60,60,3,42,5,57,"NA:N,SA:N",0E4|1A18|2A20|3E20|4A20|5A3|6A19|7A18|8E20|9E13|10E13|11N1|12E13
37,11029,timeout,288,60,-68.58,4,8,0.4761,0,0.238220,78,82,168,60,60,2,47,5,55,"NA:N,SA:N",0E1|1E20|2A20|3E14|4A18|5A20|6E20|7A20|8E20|9E2|10E2|11N1|12E3
38,11329,timeout,300,60,-72.93,5,7,0.4619,0,0.230395,85,76,180,60,60,0,49,4,54,"NA:N,SA:N",0E5|1A18|2A20|3E20|4A7|5A20|6E20|7A20|8E20|9E5|10E3|11N1|12E3
39,11629,timeout,300,60,-76.95,5,7,0.4476,0,0.239425,83,91,180,60,60,0,45,3,59,"NA:N,SA:N",0E18|1A20|2A4|3E20|4A20|5A20|6E20|7A19|8E20|9E4|10E4|11N1|12E5
40,11929,timeout,300,60,-88.44,6,6,0.4334,0,0.244176,86,84,180,60,60,3,48,4,56,"NA:N,SA:N",0E6|1A10|2A3|3E20|4A20|5A20|6E20|7A20|8A13|9E20|10E9|11N1|12E9
41,12229,timeout,300,60,-63.83,5,7,0.4191,0,0.225994,82,94,180,60,60,1,45,4,58,"NA:N,SA:N",0E18|1A20|2A19|3E20|4A20|5A6|6E20|7A17|8E20|9E6|10E5|11N1|12E5
42,12529,timeout,300,60,-64.12,5,7,0.4049,0,0.229061,84,87,180,60,60,0,47,3,55,"NA:N,SA:N",0E7|1A19|2A6|3E20|4A20|5A20|6E20|7A19|8E19|9E7|10E7|11N1|12E7
43,12829,timeout,300,60,-66.45,6,6,0.3906,0,0.229344,96,71,180,60,60,0,50,2,57,"NA:N,SA:N",0A4|1A20|2A12|3E18|4A20|5A20|6E20|7A20|8E20|9E4|10E4|11N1|12E5
44,13129,timeout,300,60,-88.94,5,7,0.3764,0,0.222810,71,105,180,60,60,2,45,4,58,"NA:N,SA:N",0E17|1A18|2A19|3E20|4A9|5A5|6E20|7A20|8E20|9E9|10E10|11N1|12E9
45,13429,timeout,300,60,-72.76,5,7,0.3621,0,0.234910,92,83,180,60,60,0,46,2,53,"NA:N,SA:N",0E1|1A20|2A12|3E18|4A20|5A20|6E20|7A20|8E20|9E8|10E8|11N1|12E8
46,13729,timeout,300,60,-70.37,5,7,0.3479,0,0.251621,80,92,180,60,60,0,45,2,56,"NA:N,SA:N",0E18|1A19|2A20|3E20|4A18|5A20|6E20|7A3|8E20|9E5|10E4|11N1|12E5
47,14029,timeout,300,60,-55.04,5,7,0.3336,0,0.237910,91,76,180,60,60,1,47,4,56,"NA:N,SA:N",0E9|1A20|2A15|3E20|4A16|5A20|6E20|7A20|8E20|9E3|10E2|11N1|12E2
48,14318,timeout,289,60,-58.84,5,7,0.3199,0,0.219028,80,91,169,60,60,1,42,4,55,"NA:N,SA:N",0E1|1A18|2A2|3E20|4A20|5A20|6E20|7A20|8E20|9E10|10E10|11N1|12E10
49,14612,timeout,294,60,-70.30,6,6,0.3059,0,0.224442,111,75,174,60,60,2,41,5,55,"NA:N,SA:N",0A13|1A18|2A20|3E19|4A20|5A20|6E20|7A20|8E17|9E10|10E4|11N1|12E5
50,14907,timeout,295,60,-52.61,4,8,0.2919,0,0.228355,78,83,175,60,60,0,49,3,53,"NA:N,SA:N",0E1|1E20|2A20|3E17|4A18|5A20|6E20|7A20|8E12|9E4|10E4|11N1|12E5
51,15207,timeout,300,60,-56.14,5,7,0.2777,0,0.227920,91,79,180,60,60,1,48,4,54,"NA:N,SA:N",0E10|1A19|2A20|3E20|4A15|5A17|6E20|7A20|8E20|9E3|10E3|11N1|12E3
52,15507,timeout,300,60,-69.93,5,7,0.2634,0,0.225338,72,95,180,60,60,0,49,3,50,"NA:N,SA:N",0E19|1A19|2A10|3E20|4A20|5A3|6E20|7A20|8E20|9E5|10E5|11N1|12E6
53,15807,timeout,300,60,-64.05,5,7,0.2492,0,0.235791,80,94,180,60,60,3,43,6,56,"NA:N,SA:N",0E18|1A4|2A16|3E20|4A20|5A20|6E20|7A20|8E20|9E6|10E5|11N1|12E5
54,16107,timeout,300,60,-89.78,7,5,0.2349,0,0.224995,87,88,180,60,60,0,45,1,54,"NA:N,SA:N",0A20|1A20|2A4|3A17|4A1|5A5|6E20|7A20|8E20|9E16|10E16|11N1|12E16
55,16397,timeout,290,60,-42.13,6,6,0.2211,0,0.214238,67,90,170,60,60,1,46,3,54,"NA:N,SA:N",0A1|1A18|2A20|3E19|4A1|5A7|6E20|7A20|8E20|9E10|10E10|11N1|12E11
56,16691,timeout,294,60,-49.29,6,6,0.2072,0,0.220039,88,80,174,60,60,1,44,4,53,"NA:N,SA:N",0A3|1A20|2A7|3E18|4A18|5A20|6E20|7A20|8E20|9E7|10E8|11N1|12E7
57,17063,timeout,372,60,-20.52,9,3,0.1895,0,0.220413,179,59,252,60,60,0,42,0,52,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A19|9E19|10E20|11N1|12E20
58,17354,timeout,291,60,-47.51,5,7,0.1757,0,0.212438,71,81,171,60,60,2,49,4,57,"NA:N,SA:N",0E11|1A9|2A4|3E20|4A20|5A18|6E20|7A20|8E20|9E4|10E3|11N1|12E3
59,17654,timeout,300,60,-48.02,5,7,0.1614,0,0.203193,86,84,180,60,60,2,47,4,56,"NA:N,SA:N",0E12|1A17|2A20|3E20|4A20|5A9|6E20|7A20|8E20|9E4|10E4|11N1|12E4
60,17945,timeout,291,60,-42.02,6,6,0.1476,0,0.203187,75,76,171,60,60,0,50,1,56,"NA:N,SA:N",0A1|1A20|2A8|3E19|4A20|5A6|6E20|7A20|8E20|9E6|10E5|11N1|12E6
61,18243,timeout,298,60,-50.07,5,7,0.1335,0,0.194171,97,81,178,60,60,5,45,8,49,"NA:N,SA:N",0E8|1A17|2A20|3E20|4A20|5A20|6E20|7A20|8E19|9E5|10E5|11N1|12E4
62,18516,timeout,273,60,-32.59,6,6,0.1205,0,0.201689,82,53,153,60,60,1,46,2,53,"NA:N,SA:N",0A16|1A20|2A17|3E17|4A20|5A2|6E20|7A7|8E6|9E4|10E3|11N1|12E3
63,18816,timeout,300,60,-80.59,6,6,0.1062,0,0.200318,93,80,180,60,60,2,47,4,57,"NA:N,SA:N",0E19|1A19|2A11|3E20|4A20|5A20|6E20|7A20|8A3|9E13|10E4|11N1|12E4
64,19101,timeout,285,60,-39.38,4,6,0.0927,0,0.190623,58,85,165,60,60,0,51,2,57,"NA:N,SA:N",0A18|1A20|2A3|3E19|4A17|5N1|6E20|7N1|8E11|9E11|10E12|11N1|12E12
