# run_timestamp,20260509_074328
# total_steps,100000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,20000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,60
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
109,32080,timeout,278,60,-38.80,6,6,0.0500,0,0.148746,66,77,158,60,60,0,49,3,51,"NA:N,SA:N",0A1|1A9|2A14|3E19|4A15|5A7|6E20|7A20|8E19|9E6|10E7|11N1|12E6
110,32369,timeout,289,60,-37.49,6,6,0.0500,0,0.145953,57,91,169,60,60,0,50,2,57,"NA:N,SA:N",0A1|1A1|2A20|3E18|4A5|5A10|6E20|7A20|8E20|9E11|10E11|11N1|12E11
111,32633,timeout,264,60,-44.96,2,6,0.0500,0,0.145433,37,81,143,61,60,0,52,2,58,"NA:N,SA:N",0A17|1A20|2N1|3E17|4N1|5N1|6E15|7N1|8E13|9E12|10E12|11N1|12E12
112,32897,timeout,264,60,-43.77,2,6,0.0500,0,0.148264,38,70,144,60,60,0,55,2,58,"NA:N,SA:N",0A18|1A20|2N1|3E20|4N1|5N1|6E13|7N1|8E9|9E9|10E10|11N1|12E9
113,33180,timeout,283,60,-38.86,6,6,0.0500,0,0.142966,67,80,163,60,60,1,48,3,52,"NA:N,SA:N",0A2|1A12|2A6|3E20|4A14|5A13|6E20|7A20|8E20|9E6|10E7|11N1|12E7
114,33432,timeout,252,60,-38.58,2,6,0.0500,0,0.152104,40,65,131,61,60,0,54,2,59,"NA:N,SA:N",0A20|1A20|2N1|3E18|4N1|5N1|6E12|7N1|8E9|9E8|10E9|11N1|12E9
115,33691,timeout,259,60,-39.56,2,6,0.0500,0,0.153583,37,69,139,60,60,0,55,2,59,"NA:N,SA:N",0A17|1A20|2N1|3E19|4N1|5N1|6E12|7N1|8E10|9E9|10E10|11N1|12E9
116,33976,timeout,285,60,-43.55,4,6,0.0500,0,0.159658,58,84,165,60,60,0,52,2,58,"NA:N,SA:N",0A3|1A20|2N1|3E18|4A15|5N1|6E20|7A20|8E20|9E9|10E8|11N1|12E9
117,34275,timeout,299,60,-31.10,6,6,0.0500,0,0.151746,76,80,179,60,60,0,48,3,60,"NA:N,SA:N",0A8|1A1|2A20|3E4|4A20|5A7|6E20|7A20|8E20|9E12|10E13|11N1|12E11
118,34575,timeout,300,60,-37.09,6,6,0.0500,0,0.169838,94,80,180,60,60,2,45,5,60,"NA:N,SA:N",0E5|1A11|2A20|3A3|4A20|5A20|6E20|7A20|8E20|9E12|10E11|11N1|12E12
119,34858,timeout,283,60,-48.35,4,8,0.0500,0,0.145759,79,72,163,60,60,1,47,5,58,"NA:N,SA:N",0E1|1E18|2A20|3E7|4A19|5A20|6E20|7A20|8E15|9E4|10E3|11N1|12E4
120,35132,timeout,274,60,-39.06,2,6,0.0500,0,0.151021,38,84,154,60,60,0,55,2,59,"NA:N,SA:N",0A18|1A20|2N1|3E19|4N1|5N1|6E15|7N1|8E13|9E12|10E12|11N1|12E13
121,35396,timeout,264,60,-49.85,5,7,0.0500,0,0.141177,54,77,144,60,60,0,47,3,59,"NA:N,SA:N",0E1|1A6|2A10|3E18|4A2|5A16|6E20|7A20|8E20|9E6|10E6|11N1|12E6
122,35690,timeout,294,60,-48.65,5,5,0.0500,0,0.141954,89,62,174,60,60,2,50,2,56,"NA:N,SA:N",0E16|1A18|2N1|3E20|4A20|5N1|6A11|7A20|8A20|9E20|10E3|11N1|12E3
123,35942,timeout,252,60,-78.28,2,8,0.0500,0,0.144897,40,70,131,61,60,0,53,3,22,"NA:N,SA:N",0E1|1E12|2N1|3E12|4A20|5N1|6E20|7A20|8E19|9E3|10E1|11N1|12E2
124,36214,timeout,272,60,-38.63,2,6,0.0500,0,0.141514,38,80,152,60,60,0,55,1,59,"NA:N,SA:N",0A18|1A20|2N1|3E18|4N1|5N1|6E15|7N1|8E11|9E12|10E12|11N1|12E12
125,36464,timeout,250,60,-41.63,3,6,0.0500,0,0.149641,52,62,130,60,60,0,49,1,56,"NA:N,SA:N",0A12|1A20|2A20|3E18|4N1|5N1|6E11|7N1|8E8|9E8|10E9|11N1|12E8
126,36731,timeout,267,60,-37.14,7,5,0.0500,0,0.144552,68,73,147,60,60,0,43,2,58,"NA:N,SA:N",0A1|1A20|2A20|3A1|4A1|5A5|6E20|7A20|8E20|9E11|10E11|11N1|12E11
127,36997,timeout,266,60,-38.39,2,6,0.0500,0,0.141890,37,82,146,60,60,0,54,2,57,"NA:N,SA:N",0A17|1A20|2N1|3E19|4N1|5N1|6E15|7N1|8E12|9E12|10E12|11N1|12E12
128,37270,timeout,273,60,-28.27,6,6,0.0500,0,0.144691,59,73,153,60,60,0,49,2,60,"NA:N,SA:N",0A13|1A14|2A20|3E19|4A3|5A1|6E15|7A8|8E10|9E10|10E9|11N1|12E10
129,37537,timeout,267,60,-46.40,3,6,0.0500,0,0.145387,49,75,147,60,60,0,51,1,57,"NA:N,SA:N",0A11|1A18|2A20|3E19|4N1|5N1|6E13|7N1|8E11|9E10|10E11|11N1|12E11
130,37798,timeout,261,60,-40.52,3,5,0.0500,0,0.148621,59,61,141,60,60,0,50,1,58,"NA:N,SA:N",0A20|1A20|2N1|3A19|4N1|5N1|6E18|7N1|8E11|9E10|10E11|11N1|12E11
131,38070,timeout,272,60,-38.10,5,6,0.0500,0,0.143274,60,80,152,60,60,0,47,2,58,"NA:N,SA:N",0A20|1A16|2A20|3E3|4N1|5A1|6E17|7A3|8E17|9E14|10E14|11N1|12E15
132,38308,timeout,238,60,-40.32,2,6,0.0500,0,0.143516,36,58,118,60,60,0,53,1,60,"NA:N,SA:N",0A16|1A20|2N1|3E20|4N1|5N1|6E10|7N1|8E6|9E8|10E7|11N1|12E7
133,38593,timeout,285,60,-34.10,6,6,0.0500,0,0.151332,74,78,165,60,60,0,48,3,57,"NA:N,SA:N",0A19|1A1|2A20|3E2|4A10|5A4|6E17|7A20|8E20|9E13|10E13|11N1|12E13
134,38876,timeout,283,60,-51.67,6,6,0.0500,0,0.148759,85,66,163,60,60,2,48,4,49,"NA:N,SA:N",0E19|1A4|2A20|3E20|4A20|5A20|6A1|7A20|8E20|9E2|10E3|11N1|12E2
135,39141,timeout,265,60,-41.34,3,6,0.0500,0,0.153324,57,63,145,60,60,0,51,1,57,"NA:N,SA:N",0A20|1A17|2N1|3E18|4A20|5N1|6E20|7N1|8E6|9E6|10E7|11N1|12E6
136,39413,timeout,272,60,-38.46,3,6,0.0500,0,0.147304,54,66,152,60,60,0,54,1,58,"NA:N,SA:N",0A14|1A20|2N1|3E18|4A20|5N1|6E20|7N1|8E7|9E7|10E7|11N1|12E7
137,39664,timeout,251,60,-39.39,2,6,0.0500,0,0.153126,39,63,131,60,60,0,54,1,58,"NA:N,SA:N",0A19|1A20|2N1|3E19|4N1|5N1|6E12|7N1|8E8|9E8|10E8|11N1|12E8
138,39935,timeout,271,60,-39.62,3,6,0.0500,0,0.149634,57,66,151,60,60,0,52,2,55,"NA:N,SA:N",0A18|1A19|2A20|3E20|4N1|5N1|6E12|7N1|8E8|9E9|10E8|11N1|12E9
139,40199,timeout,264,60,-38.35,3,6,0.0500,0,0.146940,52,64,144,60,60,0,53,2,58,"NA:N,SA:N",0A13|1A19|2N1|3E18|4A20|5N1|6E20|7N1|8E7|9E6|10E7|11N1|12E6
140,40499,timeout,300,60,-31.63,6,6,0.0500,0,0.150424,95,68,180,60,60,0,49,1,58,"NA:N,SA:N",0A1|1A14|2A20|3E6|4A20|5A20|6E20|7A20|8E20|9E7|10E7|11N1|12E8
141,40788,timeout,289,60,-50.44,4,8,0.0500,0,0.147041,70,81,169,60,60,0,49,3,58,"NA:N,SA:N",0E1|1E9|2A20|3E13|4A10|5A20|6E19|7A20|8E19|9E6|10E7|11N1|12E7
142,41046,timeout,258,60,-43.67,3,6,0.0500,0,0.150209,60,59,137,61,60,0,49,1,56,"NA:N,SA:N",0A20|1A20|2A20|3E17|4N1|5N1|6E11|7N1|8E8|9E8|10E7|11N1|12E8
143,41335,timeout,289,60,-86.11,4,7,0.0500,0,0.150850,79,75,169,60,60,1,50,4,45,"NA:N,SA:N",0E2|1E18|2N1|3E20|4A19|5A20|6A20|7A20|8E20|9E5|10E5|11N1|12E5
144,41603,timeout,268,60,-34.19,5,6,0.0500,0,0.148160,63,64,148,60,60,0,52,1,57,"NA:N,SA:N",0A14|1A18|2A20|3E19|4N1|5A2|6E12|7A9|8E9|9E8|10E8|11N1|12E8
145,41849,timeout,246,60,-41.09,2,6,0.0500,0,0.135888,37,62,126,60,60,0,54,1,57,"NA:N,SA:N",0A17|1A20|2N1|3E20|4N1|5N1|6E11|7N1|8E8|9E8|10E7|11N1|12E8
146,42149,timeout,300,60,-77.95,5,7,0.0500,0,0.152668,85,95,180,60,60,2,46,6,58,"NA:N,SA:N",0E9|1E19|2A20|3E20|4A19|5A20|6A6|7A20|8E20|9E9|10E9|11N1|12E9
147,42449,timeout,300,60,-82.14,8,5,0.0500,0,0.147906,93,76,180,60,60,5,45,5,48,"NA:N,SA:N",0E13|1E19|2A20|3E20|4A17|5A20|6A1|7A20|8A1|9A11|10E20|11A3|12E4
148,42724,timeout,275,60,-47.48,4,8,0.0500,0,0.149492,47,89,155,60,60,0,50,4,59,"NA:N,SA:N",0E1|1E4|2A17|3E14|4A6|5A4|6E20|7A20|8E17|9E11|10E11|11N1|12E11
149,43004,timeout,280,60,-46.99,5,7,0.0500,0,0.150764,82,65,160,60,60,0,48,3,59,"NA:N,SA:N",0E1|1A12|2A20|3E16|4A10|5A20|6E20|7A20|8E17|9E4|10E3|11N1|12E4
150,43272,timeout,268,60,-33.13,4,6,0.0500,0,0.157479,45,75,148,60,60,0,53,1,59,"NA:N,SA:N",0A5|1A17|2A3|3E19|4A20|5N1|6E19|7N1|8E10|9E9|10E9|11N1|12E9
151,43560,timeout,288,60,-44.59,4,8,0.0500,0,0.151654,78,65,168,60,60,0,51,4,56,"NA:N,SA:N",0E1|1E18|2A20|3E1|4A18|5A20|6E20|7A20|8E13|9E4|10E4|11N1|12E4
152,43832,timeout,272,60,-42.13,4,7,0.0500,0,0.147778,42,88,152,60,60,0,50,3,60,"NA:N,SA:N",0E18|1A19|2N1|3E20|4A3|5A1|6E20|7A19|8E9|9E7|10E7|11N1|12E7
153,44095,timeout,263,60,-56.54,3,9,0.0500,0,0.140775,56,69,143,60,60,1,51,6,57,"NA:N,SA:N",0E1|1E1|2E12|3E6|4E20|5A18|6A18|7A20|8E20|9E3|10E3|11N1|12E3
154,44352,timeout,257,60,-39.98,2,6,0.0500,0,0.160868,39,66,137,60,60,0,54,1,57,"NA:N,SA:N",0A19|1A20|2N1|3E18|4N1|5N1|6E12|7N1|8E9|9E9|10E9|11N1|12E9
155,44622,timeout,270,60,-42.40,4,7,0.0500,0,0.210012,60,67,150,60,60,0,52,2,52,"NA:N,SA:N",0E20|1A17|2A20|3E20|4A3|5A20|6E8|7N1|8E5|9E4|10E5|11N1|12E5
156,44877,timeout,255,60,-43.93,2,6,0.0500,0,0.257625,36,72,135,60,60,0,52,3,54,"NA:N,SA:N",0A18|1A18|2N1|3E20|4N1|5N1|6E13|7N1|8E10|9E10|10E10|11N1|12E9
157,45173,timeout,296,60,-39.95,5,6,0.0500,0,0.312744,73,82,176,60,60,1,48,3,53,"NA:N,SA:N",0A6|1A17|2A20|3E18|4A20|5A10|6E20|7N1|8E11|9E11|10E11|11N1|12E11
158,45429,timeout,256,60,-59.97,2,7,0.0500,0,0.350918,37,77,136,60,60,0,51,4,31,"NA:N,SA:N",0E18|1A17|2A20|3E20|4N1|5N1|6E10|7N1|8E7|9E8|10E7|11N1|12E7
159,45698,timeout,269,60,-41.51,2,6,0.0500,0,0.395332,37,83,149,60,60,0,55,3,52,"NA:N,SA:N",0A17|1A20|2N1|3E20|4N1|5N1|6E15|7N1|8E12|9E12|10E12|11N1|12E12
160,45956,timeout,258,60,-67.98,2,10,0.0500,0,0.417592,37,94,138,60,60,0,46,5,34,"NA:N,SA:N",0E1|1E13|2E5|3E20|4E20|5A19|6E20|7A18|8E4|9E3|10E4|11N1|12E4
161,46223,timeout,267,60,-46.78,4,7,0.0500,0,0.483942,55,67,147,60,60,0,52,3,28,"NA:N,SA:N",0E15|1A19|2A9|3E18|4N1|5A8|6E12|7A19|8E10|9E4|10E4|11N1|12E4
162,46497,timeout,274,60,-44.36,2,6,0.0500,0,0.485801,39,89,154,60,60,0,53,2,48,"NA:N,SA:N",0A19|1A20|2N1|3E19|4N1|5N1|6E16|7N1|8E13|9E14|10E14|11N1|12E13
163,46797,timeout,300,60,-91.11,7,6,0.0500,0,0.542608,105,86,180,60,60,4,42,7,50,"NA:N,SA:N",0E1|1E20|2A20|3E16|4A4|5A20|6E19|7A20|8A1|9A20|10E20|11A20|12E10
164,47075,timeout,278,60,-50.09,4,8,0.0500,0,0.739809,56,85,158,60,60,0,50,3,52,"NA:N,SA:N",0E15|1E12|2A20|3E15|4A14|5A2|6E20|7A20|8E7|9E5|10E6|11N1|12E5
165,47355,timeout,280,60,-55.30,3,9,0.0500,0,0.502970,58,94,160,60,60,3,47,9,51,"NA:N,SA:N",0E1|1E20|2A18|3E1|4E20|5A20|6E20|7A20|8E20|9E6|10E3|11N1|12E3
166,47640,timeout,285,60,-60.64,4,8,0.0500,0,0.487359,77,84,165,60,60,2,46,6,60,"NA:N,SA:N",0E1|1E19|2A18|3E12|4A19|5A20|6E20|7A20|8E19|9E3|10E5|11N1|12E5
167,47940,timeout,300,60,-95.71,6,6,0.0500,0,0.459933,97,83,180,60,60,6,44,8,55,"NA:N,SA:N",0E19|1A19|2A20|3A4|4E20|5A20|6A14|7A20|8E20|9E8|10E8|11N1|12E8
168,48229,timeout,289,60,-71.77,4,8,0.0500,0,0.413055,80,83,168,61,60,3,45,7,49,"NA:N,SA:N",0E1|1E18|2A20|3E13|4A20|5A20|6E20|7A20|8E20|9E3|10E4|11N1|12E4
169,48512,timeout,283,60,-58.42,4,8,0.0500,0,0.386634,80,75,162,61,60,2,49,5,36,"NA:N,SA:N",0E1|1E17|2A20|3E3|4A20|5A20|6E20|7A20|8E20|9E5|10E5|11N1|12E4
170,48812,timeout,300,60,-84.90,5,7,0.0500,0,0.304481,94,82,180,60,60,4,48,6,59,"NA:N,SA:N",0E15|1A20|2A20|3A14|4E20|5A20|6E18|7A20|8E20|9E3|10E3|11N1|12E3
171,49092,timeout,280,60,-57.98,3,9,0.0500,0,0.293986,55,92,160,60,60,1,48,5,38,"NA:N,SA:N",0E4|1E5|2A17|3E17|4E20|5A18|6E16|7A20|8E17|9E5|10E4|11N1|12E4
172,49379,timeout,287,60,-54.16,4,8,0.0500,0,0.268896,74,79,167,60,60,1,47,3,46,"NA:N,SA:N",0E1|1E18|2A20|3E12|4A14|5A20|6E20|7A20|8E17|9E4|10E4|11N1|12E3
173,49674,timeout,295,60,-78.46,5,7,0.0500,0,0.234192,97,75,175,60,60,2,45,4,52,"NA:N,SA:N",0E4|1E20|2A20|3A17|4A20|5A20|6E20|7A20|8E20|9E3|10E4|11N1|12E4
174,49933,timeout,259,60,-57.56,3,9,0.0500,0,0.203806,58,76,139,60,60,2,47,6,55,"NA:N,SA:N",0E1|1E4|2A18|3E8|4E20|5A20|6E14|7A20|8E14|9E5|10E5|11N1|12E5
175,50220,timeout,287,60,-45.89,4,8,0.0500,0,0.189904,79,84,167,60,60,4,46,7,57,"NA:N,SA:N",0E1|1E17|2A20|3E20|4A19|5A20|6E20|7A20|8E15|9E3|10E4|11N1|12E4
176,50506,timeout,286,60,-56.59,4,8,0.0500,0,0.171959,77,79,166,60,60,4,47,7,58,"NA:N,SA:N",0E1|1E20|2A19|3E9|4A18|5A20|6E20|7A20|8E20|9E3|10E3|11N1|12E3
177,50771,timeout,265,60,-47.24,3,9,0.0500,0,0.159125,59,76,145,60,60,1,51,6,57,"NA:N,SA:N",0E1|1E12|2A19|3E1|4E20|5A20|6E12|7A20|8E13|9E5|10E6|11N1|12E6
178,51051,timeout,280,60,-58.25,4,8,0.0500,0,0.151337,79,86,160,60,60,4,45,7,57,"NA:N,SA:N",0E1|1E18|2A20|3E10|4A19|5A20|6E20|7A20|8E20|9E5|10E6|11N1|12E6
179,51336,timeout,285,60,-56.04,4,8,0.0500,0,0.160895,78,75,163,62,60,4,48,8,60,"NA:N,SA:N",0E1|1E16|2A20|3E7|4A18|5A20|6E20|7A20|8E20|9E4|10E4|11N1|12E3
180,51637,timeout,301,60,-50.85,4,8,0.0500,0,0.151628,78,88,180,61,60,4,49,7,58,"NA:N,SA:N",0E1|1E16|2A18|3E20|4A20|5A20|6E20|7A20|8E20|9E4|10E3|11N1|12E4
181,51939,timeout,302,60,-49.67,4,8,0.0500,0,0.181053,78,83,180,62,60,1,52,4,59,"NA:N,SA:N",0E1|1E19|2A20|3E16|4A19|5A19|6E20|7A20|8E16|9E4|10E3|11N1|12E4
182,52222,timeout,283,60,-69.62,4,8,0.0500,0,0.180226,77,93,163,60,60,6,42,10,60,"NA:N,SA:N",0E1|1E20|2A19|3E19|4A18|5A20|6E20|7A20|8E20|9E5|10E4|11N1|12E4
183,52522,timeout,300,60,-31.07,6,5,0.0500,0,0.207096,76,71,180,60,60,1,53,2,60,"NA:N,SA:N",0A10|1A12|2A17|3A2|4A19|5A16|6N1|7E19|8E13|9E13|10E13|11N1|12E13
184,52822,timeout,300,60,-49.20,6,6,0.0500,0,0.163337,103,72,180,60,60,7,46,8,60,"NA:N,SA:N",0A4|1A19|2A20|3E18|4A20|5A20|6E20|7A20|8E20|9E5|10E4|11N1|12E5
185,53119,timeout,297,60,-53.71,5,7,0.0500,0,0.146175,97,86,177,60,60,8,43,11,59,"NA:N,SA:N",0E13|1A18|2A20|3E20|4A20|5A20|6E20|7A19|8E17|9E6|10E5|11N1|12E5
186,53429,timeout,310,60,-48.31,5,7,0.0500,0,0.151470,85,98,190,60,60,5,47,9,59,"NA:N,SA:N",0E20|1A7|2A20|3E20|4A20|5A20|6E20|7A18|8E20|9E5|10E6|11N1|12E7
187,53729,timeout,300,60,-62.93,5,7,0.0500,0,0.157971,92,85,180,60,60,7,47,9,60,"NA:N,SA:N",0E16|1A12|2A20|3E20|4A20|5A20|6E20|7A20|8E20|9E3|10E3|11N1|12E3
188,54020,timeout,291,60,-46.42,4,8,0.0500,0,0.145247,77,84,171,60,60,6,48,9,60,"NA:N,SA:N",0E1|1E19|2A18|3E20|4A19|5A20|6E20|7A20|8E16|9E2|10E3|11N1|12E3
189,54315,timeout,295,60,-45.14,4,8,0.0500,0,0.149773,77,83,175,60,60,2,50,7,59,"NA:N,SA:N",0E1|1E19|2A18|3E12|4A19|5A20|6E20|7A20|8E12|9E3|10E8|11N1|12E8
190,54615,timeout,300,60,-63.72,7,6,0.0500,0,0.156575,101,73,180,60,60,5,46,6,59,"NA:N,SA:N",0E1|1E20|2A20|3E19|4A18|5A10|6E20|7A12|8A20|9A1|10E12|11A20|12E1
191,54910,timeout,295,60,-51.34,5,7,0.0500,0,0.159865,98,77,175,60,60,5,46,7,59,"NA:N,SA:N",0E1|1E11|2A20|3E17|4A19|5A20|6E20|7A20|8A19|9E17|10E6|11N1|12E5
192,55201,timeout,291,60,-71.30,4,8,0.0500,0,0.154821,76,88,171,60,60,4,48,8,59,"NA:N,SA:N",0E1|1E20|2A20|3E20|4A18|5A20|6E18|7A18|8E20|9E3|10E3|11N1|12E3
193,55491,timeout,290,60,-57.10,4,8,0.0500,0,0.147457,76,84,170,60,60,4,48,8,57,"NA:N,SA:N",0E1|1E20|2A20|3E19|4A16|5A20|6E20|7A20|8E17|9E3|10E2|11N1|12E2
194,55781,timeout,290,60,-52.51,4,8,0.0500,0,0.150724,76,82,170,60,60,4,47,9,59,"NA:N,SA:N",0E1|1E20|2A20|3E20|4A16|5A20|6E20|7A20|8E12|9E4|10E3|11N1|12E2
195,56059,timeout,278,60,-59.03,4,8,0.0500,0,0.159824,78,69,158,60,60,5,46,9,57,"NA:N,SA:N",0E1|1E19|2A20|3E10|4A18|5A20|6E19|7A20|8E13|9E3|10E2|11N1|12E2
196,56359,timeout,300,60,-49.89,6,6,0.0500,0,0.145252,108,65,180,60,60,5,47,7,59,"NA:N,SA:N",0E1|1E19|2A9|3E9|4A19|5A20|6E20|7A20|8A20|9A20|10E13|11N1|12E3
197,56659,timeout,300,60,-82.11,5,7,0.0500,0,0.145597,82,80,180,60,60,1,53,3,58,"NA:N,SA:N",0E1|1E18|2A7|3E20|4A20|5A17|6E20|7A20|8A18|9E17|10E2|11N1|12E2
198,56951,timeout,292,60,-45.03,4,8,0.0500,0,0.143437,77,74,172,60,60,1,50,6,59,"NA:N,SA:N",0E1|1E20|2A19|3E7|4A18|5A20|6E20|7A20|8E8|9E12|10E3|11N1|12E3
199,57251,timeout,300,60,-49.85,4,8,0.0500,0,0.146192,74,91,180,60,60,2,50,6,59,"NA:N,SA:N",0E1|1E20|2A17|3E20|4A18|5A19|6E20|7A20|8E20|9E3|10E3|11N1|12E4
200,57546,timeout,295,60,-74.47,4,8,0.0500,0,0.143763,79,89,175,60,60,5,46,9,58,"NA:N,SA:N",0E3|1E16|2A19|3E20|4A20|5A20|6E20|7A20|8E15|9E5|10E5|11N1|12E5
201,57846,timeout,300,60,-57.29,6,6,0.0500,0,0.148257,103,79,180,60,60,8,45,9,59,"NA:N,SA:N",0A3|1A20|2A20|3E20|4A20|5A20|6E20|7A20|8E20|9E6|10E6|11N1|12E7
202,58145,timeout,299,60,-45.88,4,8,0.0500,0,0.138383,79,82,179,60,60,1,51,5,59,"NA:N,SA:N",0E1|1E18|2A19|3E18|4A20|5A20|6E20|7A20|8E18|9E2|10E3|11N1|12E2
203,58436,timeout,291,60,-55.37,5,7,0.0500,0,0.138797,99,78,171,60,60,7,47,9,58,"NA:N,SA:N",0E1|1E5|2A20|3E9|4E20|5A20|6E20|7A19|8A20|9A20|10E20|11N1|12E3
204,58723,timeout,287,60,-46.02,4,8,0.0500,0,0.136408,77,83,167,60,60,4,48,8,58,"NA:N,SA:N",0E1|1E20|2A19|3E14|4A18|5A20|6E20|7A20|8E13|9E8|10E2|11N1|12E5
205,59013,timeout,290,60,-52.54,4,8,0.0500,0,0.143058,76,81,170,60,60,0,52,4,58,"NA:N,SA:N",0E1|1E20|2A20|3E13|4A16|5A20|6E20|7A20|8E20|9E3|10E2|11N1|12E2
206,59318,timeout,305,60,-50.07,6,6,0.0500,0,0.145085,111,81,185,60,60,8,42,11,58,"NA:N,SA:N",0E6|1A14|2A17|3E20|4A20|5A20|6E20|7A20|8A20|9E20|10E8|11N1|12E7
207,59613,timeout,295,60,-50.55,4,8,0.0500,0,0.141486,77,87,175,60,60,0,51,4,60,"NA:N,SA:N",0E1|1E20|2A19|3E19|4A18|5A20|6E20|7A20|8E19|9E3|10E3|11N1|12E2
208,59902,timeout,289,60,-46.17,4,8,0.0500,0,0.140684,78,79,169,60,60,2,51,5,60,"NA:N,SA:N",0E1|1E20|2A20|3E14|4A18|5A20|6E20|7A20|8E15|9E3|10E3|11N1|12E3
209,60189,timeout,287,60,-42.84,4,8,0.0500,0,0.140581,78,70,167,60,60,4,49,8,60,"NA:N,SA:N",0E1|1E18|2A18|3E12|4A20|5A20|6E20|7A20|8E13|9E2|10E2|11N1|12E2
210,60489,timeout,300,60,-44.66,7,5,0.0500,0,0.139991,78,78,180,60,60,0,52,1,60,"NA:N,SA:N",0A8|1A20|2A6|3A5|4A18|5A20|6A1|7E20|8E20|9E13|10E13|11N1|12E12
211,60753,timeout,264,60,-59.64,3,9,0.0500,0,0.137428,60,84,143,61,60,4,48,9,60,"NA:N,SA:N",0E1|1E6|2A20|3E12|4E20|5A20|6E19|7A20|8E18|9E3|10E3|11N1|12E2
212,61053,timeout,300,60,-55.81,4,8,0.0500,0,0.142296,76,90,180,60,60,2,51,6,59,"NA:N,SA:N",0E1|1E18|2A16|3E20|4A20|5A20|6E20|7A20|8E20|9E4|10E4|11N1|12E3
213,61356,timeout,303,60,-55.23,5,7,0.0500,0,0.140700,99,77,183,60,60,5,46,9,60,"NA:N,SA:N",0E1|1E19|2A20|3E10|4A19|5A20|6E20|7A20|8A20|9E19|10E4|11N1|12E4
214,61656,timeout,300,60,-72.59,8,5,0.0500,0,0.139929,91,78,180,60,60,3,46,5,59,"NA:N,SA:N",0E14|1E20|2A15|3A1|4A20|5A1|6E20|7A20|8A1|9A13|10E20|11A20|12E4
215,61965,timeout,309,60,-75.06,5,7,0.0500,0,0.145809,98,87,189,60,60,5,46,9,58,"NA:N,SA:N",0E1|1E20|2A20|3E14|4A18|5A20|6E20|7A20|8A20|9E20|10E6|11N1|12E6
216,62252,timeout,287,60,-55.77,3,9,0.0500,0,0.139444,57,96,167,60,60,2,50,7,59,"NA:N,SA:N",0E1|1E20|2A18|3E2|4E20|5A19|6E20|7A20|8E20|9E5|10E4|11N1|12E4
217,62552,timeout,300,60,-57.67,4,8,0.0500,0,0.145829,76,86,180,60,60,2,50,6,59,"NA:N,SA:N",0E1|1E20|2A18|3E18|4A18|5A20|6E20|7A20|8E18|9E3|10E3|11N1|12E3
218,62838,timeout,286,60,-39.98,4,8,0.0500,0,0.136756,78,73,166,60,60,3,50,7,59,"NA:N,SA:N",0E1|1E20|2A20|3E13|4A18|5A20|6E20|7A20|8E13|9E2|10E1|11N1|12E3
219,63124,timeout,286,60,-44.21,4,8,0.0500,0,0.144263,78,80,166,60,60,4,49,8,60,"NA:N,SA:N",0E1|1E19|2A19|3E17|4A19|5A20|6E20|7A20|8E16|9E2|10E2|11N1|12E3
220,63459,timeout,335,60,-31.37,7,5,0.0500,0,0.149312,123,68,215,60,60,0,51,2,60,"NA:N,SA:N",0A20|1A20|2A20|3A3|4A20|5A20|6E20|7A20|8E20|9E13|10E8|11N1|12E7
221,63759,timeout,300,60,-66.22,7,6,0.0500,0,0.145318,82,90,180,60,60,3,48,5,60,"NA:N,SA:N",0E1|1E18|2A11|3E20|4A20|5A20|6E20|7A1|8A10|9A2|10E20|11A18|12E11
222,64080,timeout,321,60,-57.12,6,6,0.0500,0,0.148566,118,80,201,60,60,7,44,10,60,"NA:N,SA:N",0E9|1E20|2A20|3A18|4A20|5A20|6E20|7A20|8A20|9E20|10E6|11N1|12E5
223,64380,timeout,300,60,-67.14,5,7,0.0500,0,0.158393,80,91,180,60,60,3,50,4,60,"NA:N,SA:N",0E2|1E18|2A1|3E20|4A19|5A20|6E20|7A20|8A20|9E20|10E6|11N1|12E5
224,64677,timeout,297,60,-38.54,4,8,0.0500,0,0.145611,78,89,177,60,60,3,50,6,59,"NA:N,SA:N",0E1|1E18|2A18|3E20|4A20|5A20|6E20|7A20|8E20|9E3|10E4|11N1|12E3
225,64987,timeout,310,60,-62.78,5,7,0.0500,0,0.146373,96,83,190,60,60,4,47,8,60,"NA:N,SA:N",0E1|1E20|2A20|3E14|4A16|5A20|6E20|7A20|8A20|9E20|10E3|11N1|12E5
226,65278,timeout,291,60,-48.45,4,8,0.0500,0,0.151979,79,80,171,60,60,3,49,7,60,"NA:N,SA:N",0E1|1E18|2A20|3E16|4A19|5A20|6E20|7A20|8E18|9E3|10E2|11N1|12E2
227,65578,timeout,300,60,-66.76,7,6,0.0500,0,0.154686,94,79,180,60,60,5,47,6,60,"NA:N,SA:N",0E1|1E18|2A14|3E16|4A16|5A20|6E20|7A1|8A19|9A20|10E20|11A4|12E4
