# run_timestamp,20260509_040911
# total_steps,10000
# learning_rate,0.00025
# gamma,0.95
# tau,0.01
# eps_decay,50000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_steps,300
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,fortify_count,continents,final_state
1,300,timeout,300,-41.50,5,7,0.9943,0,0.051860,81,94,182,61,57,1,46,49,"NA:N,SA:N",0E18|1E18|2A20|3A18|4A3|5A20|6E20|7A20|8E20|9E6|10E6|11N1|12E6
2,600,timeout,300,-33.00,8,5,0.9886,0,0.052734,97,79,180,60,60,4,44,55,"NA:N,SA:N",0E4|1A7|2A2|3E15|4E20|5A16|6E20|7A20|8A1|9A20|10A20|11A11|12E20
3,900,timeout,300,-31.00,6,6,0.9829,0,0.048573,101,82,180,60,60,4,42,55,"NA:N,SA:N",0E14|1E20|2A20|3A9|4A19|5A20|6E20|7A20|8A13|9E20|10E4|11N1|12E4
4,1200,timeout,300,-44.50,3,9,0.9772,0,0.055928,57,99,160,70,70,0,49,57,"NA:N,SA:N",0E4|1E16|2A18|3E20|4E20|5A20|6E13|7A19|8E14|9E4|10E4|11N1|12E4
5,1500,timeout,300,-38.50,4,8,0.9715,0,0.075522,80,88,169,66,65,1,44,49,"NA:N,SA:N",0E7|1E20|2A20|3A20|4E20|5A20|6A20|7E20|8E14|9E3|10E2|11N1|12E2
6,1800,timeout,300,-42.00,4,8,0.9658,0,0.104485,75,100,180,60,60,1,45,56,"NA:N,SA:N",0E3|1E19|2A17|3E20|4E20|5A20|6A18|7A20|8E20|9E6|10E6|11N1|12E6
7,2100,timeout,300,-43.00,5,7,0.9601,0,0.201990,72,96,180,60,60,0,47,56,"NA:N,SA:N",0E19|1A9|2A20|3E20|4A17|5A6|6E20|7A20|8E20|9E6|10E6|11N1|12E5
8,2400,timeout,300,-32.00,5,7,0.9544,0,0.492076,82,98,180,60,60,3,40,57,"NA:N,SA:N",0E20|1A11|2A20|3E20|4A20|5A20|6E20|7A11|8E20|9E6|10E6|11N1|12E6
9,2700,timeout,300,-38.50,6,6,0.9487,0,0.990109,90,80,180,60,60,2,45,51,"NA:N,SA:N",0A14|1E20|2A20|3A7|4E20|5A14|6E20|7A20|8A15|9E14|10E3|11N1|12E3
10,3000,timeout,300,-34.00,6,6,0.9430,0,1.787109,98,83,181,60,59,3,42,52,"NA:N,SA:N",0A19|1A12|2A10|3E20|4A17|5A20|6E20|7A20|8E20|9E8|10E7|11N1|12E8
11,3300,timeout,300,-36.50,6,6,0.9373,0,3.028785,99,77,180,60,60,3,45,54,"NA:N,SA:N",0E11|1A15|2A20|3E20|4A17|5A20|6E20|7A7|8A20|9E20|10E1|11N1|12E5
12,3600,timeout,300,-43.50,4,8,0.9316,0,4.337727,77,93,173,64,63,0,47,55,"NA:N,SA:N",0E1|1E19|2A20|3E20|4A17|5A20|6E20|7A20|8E20|9E4|10E5|11N1|12E4
13,3900,timeout,300,-37.00,6,6,0.9259,0,4.708747,89,89,181,60,59,0,44,57,"NA:N,SA:N",0A12|1A10|2A20|3E19|4A7|5A20|6E20|7A20|8E20|9E10|10E10|11N1|12E10
14,4200,timeout,300,-41.00,5,7,0.9202,0,4.928127,98,77,177,62,61,2,46,59,"NA:N,SA:N",0E15|1A19|2A20|3E20|4A20|5A20|6E20|7A19|8E13|9E3|10E3|11N1|12E3
15,4500,timeout,300,-43.00,5,7,0.9145,0,4.670541,77,85,180,60,60,0,47,52,"NA:N,SA:N",0E17|1A19|2A16|3E20|4A4|5A20|6E20|7A18|8E18|9E3|10E2|11N1|12E5
16,4800,timeout,300,-42.00,4,8,0.9088,0,5.190689,79,92,176,62,62,1,46,57,"NA:N,SA:N",0E2|1E8|2A19|3E19|4E20|5A20|6E20|7A20|8A20|9E18|10E3|11N1|12E2
17,5100,timeout,300,-39.50,4,8,0.9031,0,4.654166,71,102,180,60,60,2,45,54,"NA:N,SA:N",0E4|1E20|2A15|3E20|4E20|5A20|6A16|7A20|8E20|9E6|10E6|11N1|12E6
18,5400,timeout,300,-35.50,5,7,0.8974,0,4.035258,90,86,180,60,60,1,43,53,"NA:N,SA:N",0E13|1A18|2A20|3E20|4A12|5A20|6E20|7A20|8E20|9E9|10E2|11N1|12E2
19,5700,timeout,300,-38.50,6,7,0.8917,0,4.464681,86,88,182,60,58,2,45,51,"NA:N,SA:N",0E1|1E13|2A8|3E15|4E20|5A20|6E20|7A20|8A19|9A13|10E16|11A6|12E3
20,6000,timeout,300,-33.50,5,7,0.8860,0,3.962430,93,91,180,60,60,3,41,52,"NA:N,SA:N",0E10|1E3|2A13|3E13|4E20|5A20|6E20|7A20|8A20|9A20|10E20|11N1|12E5
21,6300,timeout,300,-35.00,6,6,0.8803,0,4.005792,94,90,180,60,60,1,41,55,"NA:N,SA:N",0E19|1A19|2A16|3E20|4A20|5A10|6A11|7A18|8E20|9E10|10E10|11N1|12E11
22,6600,timeout,300,-32.00,6,6,0.8746,0,3.814421,107,80,182,60,58,1,40,51,"NA:N,SA:N",0A20|1A20|2A20|3E18|4A20|5A20|6E20|7A7|8E20|9E7|10E8|11N1|12E7
23,6900,timeout,300,-29.00,9,4,0.8689,0,3.820741,116,67,181,60,59,2,39,52,"NA:N,SA:N",0A16|1A19|2A3|3E19|4A18|5A6|6E20|7A20|8A20|9A11|10E20|11A3|12E8
24,7200,timeout,300,-31.50,6,6,0.8632,0,4.334452,102,81,180,60,60,1,38,57,"NA:N,SA:N",0E15|1A14|2A20|3E20|4A15|5A13|6E20|7A20|8A20|9E20|10E3|11N1|12E3
25,7500,timeout,300,-40.50,4,8,0.8575,0,5.065680,80,88,170,65,65,1,46,55,"NA:N,SA:N",0E5|1E18|2A20|3E20|4A20|5A20|6E20|7A20|8E18|9E2|10E2|11N1|12E3
26,7800,timeout,300,-43.00,4,8,0.8518,0,5.453340,78,90,180,60,60,1,47,55,"NA:N,SA:N",0E8|1E11|2A20|3E16|4E20|5A18|6E20|7A20|8A20|9E9|10E3|11N1|12E3
27,8100,timeout,300,-35.50,5,7,0.8461,0,5.564923,84,100,180,60,60,0,40,53,"NA:N,SA:N",0E20|1A15|2A17|3E20|4A20|5A20|6E20|7A12|8E20|9E6|10E7|11N1|12E7
28,8400,timeout,300,-37.00,5,7,0.8404,0,5.975052,87,93,181,60,59,1,42,56,"NA:N,SA:N",0E3|1E20|2A20|3E20|4A16|5A14|6E20|7A17|8A20|9E20|10E5|11N1|12E5
29,8700,timeout,300,-29.00,7,5,0.8347,0,7.518040,88,92,182,60,58,3,40,52,"NA:N,SA:N",0E14|1A12|2A20|3E20|4A18|5A5|6A20|7A1|8A12|9E18|10E20|11N1|12E20
