# run_timestamp,20260509_113612
# total_steps,100000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,300000
# grad_clip,1.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,100
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,383,timeout,383,100,-2207.66,3,10,0.9988,0,5.259925,15,46,153,181,49,10,110,18,41,"NA:N,SA:N",0E1|1E1|2E1|3E15|4E1|5E1|6E11|7E6|8A13|9A1|10E7|11A1|12E2
2,809,win,426,99,-1345.74,13,0,0.9974,0,5.071811,64,0,181,196,49,24,113,20,46,"NA:A,SA:A",0A1|1A3|2A2|3A1|4A1|5A2|6A7|7A11|8A2|9A11|10A4|11A1|12A18
3,1146,timeout,337,100,-1488.04,7,5,0.9964,0,4.904446,86,48,165,122,50,6,57,9,50,"NA:N,SA:N",0A20|1A20|2A20|3A1|4A2|5A20|6E7|7A3|8E17|9E8|10E8|11N1|12E8
4,1507,timeout,361,100,-1293.23,6,6,0.9952,0,4.495285,32,27,150,161,50,12,92,14,46,"NA:N,SA:N",0E7|1A10|2A1|3A4|4A1|5A1|6E8|7A15|8E6|9E2|10E3|11N1|12E1
5,1936,timeout,429,100,-1993.95,5,8,0.9939,0,4.410694,68,39,204,175,50,12,105,16,42,"NA:N,SA:A",0E2|1E1|2E1|3E1|4E9|5E5|6E10|7E10|8A18|9A8|10A20|11A2|12A20
6,2288,timeout,352,100,-1078.44,8,4,0.9928,0,4.404230,76,30,165,137,50,8,71,9,45,"NA:N,SA:N",0A20|1A14|2A9|3A9|4A1|5A20|6A2|7A1|8E13|9E9|10E4|11N1|12E4
7,2668,timeout,380,100,-1217.36,7,5,0.9916,0,4.250832,28,21,153,178,49,17,103,18,40,"NA:N,SA:N",0A3|1A1|2A4|3A1|4A3|5A2|6E5|7A14|8E7|9E3|10E3|11N1|12E3
8,3055,timeout,387,100,-1486.74,11,2,0.9903,0,4.119953,31,6,154,183,50,11,113,10,43,"NA:N,SA:A",0A3|1E3|2A8|3A2|4E3|5A1|6A1|7A2|8A7|9A1|10A2|11A1|12A3
9,3489,timeout,434,100,-230.21,9,3,0.9890,0,3.785975,179,37,264,120,50,3,58,3,43,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A19|9E19|10E9|11N1|12E9
10,3870,timeout,381,100,-1069.98,9,3,0.9877,0,3.445502,61,21,170,161,50,12,92,11,48,"NA:A,SA:N",0A4|1A4|2A1|3A6|4A1|5A1|6A20|7A19|8A5|9E16|10E2|11N1|12E3
11,4235,timeout,365,100,-1920.17,6,6,0.9866,0,3.416148,31,35,150,165,50,14,94,16,44,"NA:N,SA:N",0E1|1E7|2A1|3A1|4A14|5A1|6E20|7A10|8A4|9E2|10E2|11N1|12E3
12,4636,timeout,401,100,-2779.57,5,8,0.9853,0,3.630583,7,35,153,200,48,14,127,17,42,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E1|5E2|6A1|7E12|8A1|9A1|10E16|11A1|12A3
13,5058,timeout,422,100,-1747.42,5,8,0.9840,0,3.759587,70,29,194,178,50,15,104,19,46,"NA:N,SA:A",0E1|1E1|2E1|3E1|4E10|5E1|6E11|7E3|8A5|9A20|10A19|11A20|12A6
14,5441,timeout,383,100,-1082.03,7,5,0.9828,0,3.707371,35,17,162,171,50,12,100,14,46,"NA:N,SA:N",0E1|1A2|2A3|3E4|4A15|5A2|6A3|7A6|8A4|9E6|10E3|11N1|12E3
15,5806,timeout,365,100,-1924.78,7,5,0.9816,0,3.727261,25,39,150,165,50,11,96,13,45,"NA:N,SA:N",0A2|1A9|2A1|3A1|4A1|5A2|6E18|7A9|8E12|9E3|10E3|11N1|12E3
16,6188,timeout,382,100,-1998.06,8,5,0.9804,0,3.590391,35,23,156,176,50,13,105,14,45,"NA:N,SA:A",0E1|1E1|2A1|3E1|4E3|5A1|6E17|7A3|8A1|9A18|10A3|11A1|12A7
17,6577,timeout,389,100,-1280.85,8,5,0.9792,0,3.757882,21,9,157,182,50,12,110,14,44,"NA:N,SA:N",0E2|1A1|2A2|3E1|4E2|5A1|6A1|7A13|8A1|9A1|10E2|11A1|12E2
18,6946,timeout,369,100,-1941.51,5,7,0.9780,0,3.699079,29,33,150,169,50,11,101,14,48,"NA:N,SA:N",0E1|1E1|2A1|3E1|4E16|5A14|6A1|7A12|8A1|9E9|10E3|11N1|12E2
19,7334,timeout,388,100,-2202.26,4,8,0.9768,0,3.760798,10,29,150,188,50,13,117,18,43,"NA:N,SA:N",0E1|1E2|2A4|3E1|4E3|5A4|6E13|7A1|8A1|9E2|10E3|11N1|12E4
20,7713,timeout,379,100,-1880.55,6,7,0.9756,0,3.810997,14,28,150,179,50,8,113,10,43,"NA:N,SA:N",0E1|1E1|2A2|3E1|4E7|5A2|6E15|7A7|8A1|9A1|10E2|11A1|12E1
21,8111,timeout,398,100,-172.44,9,3,0.9743,0,3.972627,178,53,248,100,50,0,42,0,48,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A18|9E18|10E17|11N1|12E18
22,8665,win,554,97,-609.56,13,0,0.9726,0,3.918561,240,0,351,155,48,5,90,3,43,"NA:A,SA:A",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A20|9A20|10A3|11A20|12A17
23,9032,timeout,367,100,-1609.51,6,6,0.9714,0,3.779682,32,23,150,167,50,9,100,12,43,"NA:N,SA:N",0E1|1A18|2A1|3E12|4A5|5A4|6A3|7A1|8E1|9E3|10E3|11N1|12E3
24,9425,timeout,393,100,-1233.57,10,3,0.9702,0,3.802687,37,13,160,183,50,12,112,12,46,"NA:A,SA:N",0A3|1A2|2A3|3A4|4A1|5A15|6A1|7A5|8A2|9E4|10E5|11A1|12E4
25,9796,timeout,371,100,-2692.52,4,9,0.9690,0,4.044221,26,42,150,171,50,12,101,17,44,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E6|5E2|6E18|7E3|8A1|9A1|10A20|11A4|12E9
26,10173,timeout,377,100,-1568.67,6,6,0.9678,0,4.234514,19,20,150,177,50,10,110,12,44,"NA:N,SA:N",0E1|1A10|2A5|3E7|4A1|5A1|6A1|7A1|8E5|9E1|10E3|11N1|12E3
27,10561,timeout,388,100,-1444.16,8,5,0.9666,0,4.539547,16,15,150,188,50,15,115,16,43,"NA:N,SA:N",0E1|1A2|2A2|3A1|4A5|5A1|6A1|7A3|8E6|9E3|10E1|11A1|12E4
28,10963,timeout,402,100,-1284.26,4,9,0.9653,0,4.861810,76,100,190,162,50,11,91,17,44,"NA:E,SA:A",0E11|1E11|2E11|3E10|4E11|5E11|6E11|7E11|8E13|9A16|10A20|11A20|12A20
