# run_timestamp,20260509_061606
# total_steps,10000
# learning_rate,0.00025
# gamma,0.95
# tau,0.01
# eps_decay,20000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,30
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,150,timeout,150,30,-54.39,5,7,0.9929,0,0.386002,55,54,90,30,30,0,16,2,27,"NA:N,SA:N",0E1|1A13|2A10|3E17|4A20|5A6|6E17|7A6|8E6|9E4|10E5|11N1|12E4
2,300,timeout,150,30,-100.25,4,8,0.9858,0,0.334469,40,66,90,30,30,2,17,6,25,"NA:N,SA:N",0E1|1E3|2A4|3E20|4E20|5A20|6A13|7E15|8A3|9E3|10E2|11N1|12E2
3,450,timeout,150,30,-68.16,6,6,0.9786,0,0.406193,52,60,90,30,30,0,16,2,26,"NA:N,SA:N",0A20|1A6|2A3|3E15|4A17|5A4|6E17|7A2|8E11|9E6|10E5|11N1|12E6
4,600,timeout,150,30,-22.03,6,6,0.9715,0,0.420092,63,47,90,30,30,7,16,8,29,"NA:N,SA:N",0A15|1A1|2A6|3E3|4A15|5A6|6E17|7A20|8E19|9E2|10E3|11N1|12E3
5,750,timeout,150,30,-110.97,6,6,0.9644,0,0.456236,58,55,90,30,30,1,14,3,29,"NA:N,SA:N",0E4|1A18|2A4|3E20|4A20|5A2|6A12|7A2|8E20|9E3|10E3|11N1|12E5
6,900,timeout,150,30,-49.89,4,8,0.9572,0,0.426368,58,55,90,30,30,1,14,5,25,"NA:N,SA:N",0E1|1E19|2A12|3E5|4A6|5A20|6E20|7A20|8E5|9E1|10E1|11N1|12E3
7,1054,timeout,154,30,-43.01,6,6,0.9499,0,0.430284,65,47,93,31,30,0,17,1,30,"NA:N,SA:N",0A11|1A20|2A2|3E17|4A13|5A1|6E16|7A18|8E3|9E3|10E4|11N1|12E4
8,1219,timeout,165,30,-30.92,7,5,0.9421,0,0.366514,75,53,105,30,30,0,15,2,26,"NA:N,SA:N",0A20|1A1|2A20|3A9|4A2|5A20|6E18|7A3|8E10|9E9|10E8|11N1|12E8
9,1369,timeout,150,30,-46.69,5,7,0.9350,0,0.346697,60,47,90,30,30,0,19,3,28,"NA:N,SA:N",0E3|1A7|2A20|3E20|4A6|5A20|6E14|7A7|8E3|9E3|10E2|11N1|12E2
10,1527,timeout,158,30,-81.83,6,6,0.9275,0,0.333197,46,60,96,32,30,0,19,0,26,"NA:N,SA:N",0A18|1A3|2A12|3E20|4A6|5A5|6E20|7A2|8E9|9E4|10E4|11N1|12E3
