11,1681,timeout,154,30,-51.29,4,8,0.9202,0,0.340983,51,60,93,31,30,2,18,5,27,"NA:N,SA:N",0E1|1A12|2A1|3E4|4E20|5A20|6E13|7A18|8E13|9E3|10E3|11N1|12E3
12,1835,timeout,154,30,-89.58,7,5,0.9128,0,0.342484,57,48,93,31,30,2,21,2,30,"NA:N,SA:N",0A8|1A20|2A2|3E18|4A18|5A5|6E20|7A1|8A3|9E5|10E2|11N1|12E3
13,1985,timeout,150,30,-52.60,5,7,0.9057,0,0.343984,57,51,90,30,30,2,18,5,29,"NA:N,SA:N",0E1|1A20|2A1|3E20|4A18|5A16|6E19|7A2|8E3|9E2|10E3|11N1|12E3
14,2135,timeout,150,30,-52.17,7,5,0.8986,0,0.345466,66,49,90,30,30,0,14,2,29,"NA:N,SA:N",0A14|1A2|2A16|3A12|4A18|5A3|6E18|7A1|8E14|9E6|10E5|11N1|12E6
15,2285,timeout,150,30,-50.94,6,6,0.8915,0,0.364774,66,48,90,30,30,3,15,5,25,"NA:N,SA:N",0A1|1A2|2A20|3E10|4A20|5A20|6E17|7A3|8E14|9E3|10E2|11N1|12E2
16,2443,timeout,158,30,-77.30,5,7,0.8840,0,0.374066,59,53,96,32,30,1,17,4,26,"NA:N,SA:N",0E2|1A6|2A20|3E20|4A7|5A20|6E19|7A6|8E3|9E3|10E3|11N1|12E3
17,2597,timeout,154,30,-75.01,6,6,0.8766,0,0.415662,63,53,93,31,30,4,16,5,28,"NA:N,SA:N",0E6|1E4|2A14|3E20|4A4|5A20|6A3|7A20|8A2|9E17|10E3|11N1|12E3
18,2751,timeout,154,30,-45.67,6,6,0.8693,0,0.442418,53,55,93,31,30,3,17,4,26,"NA:N,SA:N",0E10|1A16|2A3|3E20|4A1|5A20|6E20|7A12|8A1|9E1|10E1|11N1|12E3
19,2905,timeout,154,30,-26.20,6,6,0.8620,0,0.489816,56,49,93,31,30,0,20,2,28,"NA:N,SA:N",0A15|1A8|2A6|3E20|4A18|5A1|6E11|7A8|8E1|9E6|10E6|11N1|12E5
20,3055,timeout,150,30,-48.93,6,6,0.8549,0,0.463302,69,44,90,30,30,0,18,1,27,"NA:N,SA:N",0A20|1A9|2A7|3E15|4A11|5A2|6E13|7A20|8E5|9E3|10E4|11N1|12E4
21,3209,timeout,154,30,-60.11,6,6,0.8476,0,0.524096,53,55,93,31,30,0,20,2,25,"NA:N,SA:N",0A6|1A1|2A13|3E20|4A20|5A12|6E11|7A1|8E11|9E3|10E5|11N1|12E5
22,3359,timeout,150,30,-51.76,5,7,0.8404,0,0.483452,53,49,90,30,30,0,21,3,27,"NA:N,SA:N",0E1|1A9|2A1|3E16|4A19|5A4|6E20|7A20|8E3|9E3|10E3|11N1|12E3
23,3509,timeout,150,30,-48.22,5,7,0.8333,0,0.454190,52,55,90,30,30,0,17,3,25,"NA:N,SA:N",0E3|1A14|2A1|3E18|4A1|5A20|6E17|7A16|8E6|9E3|10E4|11N1|12E4
24,3659,timeout,150,30,-68.98,5,7,0.8262,0,0.468217,57,55,90,30,30,0,16,2,26,"NA:N,SA:N",0E9|1A16|2A20|3E20|4A3|5A17|6E16|7A1|8E2|9E2|10E3|11N1|12E3
25,3809,timeout,150,30,-41.04,6,6,0.8191,0,0.482989,57,53,90,30,30,1,16,3,27,"NA:N,SA:N",0A7|1A5|2A4|3E7|4A20|5A1|6E20|7A20|8E20|9E2|10E2|11N1|12E2
26,3959,timeout,150,30,-41.05,5,7,0.8119,0,0.443161,61,48,90,30,30,2,17,5,27,"NA:N,SA:N",0E1|1E13|2A20|3E6|4A18|5A3|6E19|7A11|8A9|9E1|10E4|11N1|12E4
27,4109,timeout,150,30,-26.62,7,5,0.8048,0,0.420160,64,33,90,30,30,0,20,1,28,"NA:N,SA:N",0A8|1A18|2A20|3A1|4A6|5A2|6E18|7A9|8E8|9E2|10E3|11N1|12E2
28,4259,timeout,150,30,-52.20,6,6,0.7977,0,0.417491,69,33,90,30,30,0,21,2,29,"NA:N,SA:N",0A20|1A19|2A1|3A20|4E16|5A5|6A4|7E3|8E5|9E3|10E3|11N1|12E3
29,4409,timeout,150,30,-51.38,6,6,0.7906,0,0.450922,63,48,90,30,30,1,19,2,27,"NA:N,SA:N",0A1|1A19|2A19|3E19|4A20|5A3|6E17|7A1|8E1|9E4|10E4|11N1|12E3
30,4559,timeout,150,30,-64.63,5,7,0.7834,0,0.427327,56,47,90,30,30,1,21,4,29,"NA:N,SA:N",0E2|1A4|2A20|3E19|4A20|5A1|6E18|7A11|8E1|9E2|10E2|11N1|12E3
31,4709,timeout,150,30,-55.25,7,5,0.7763,0,0.446257,66,46,90,30,30,1,16,2,26,"NA:N,SA:N",0A20|1A1|2A1|3E3|4A20|5A18|6E17|7A5|8A1|9E14|10E6|11N1|12E6
32,4859,timeout,150,30,-50.80,4,8,0.7692,0,0.441649,54,55,90,30,30,1,17,4,25,"NA:N,SA:N",0E1|1A16|2A17|3E7|4E20|5A1|6E9|7A20|8E10|9E3|10E3|11N1|12E2
33,5009,timeout,150,30,-36.69,7,5,0.7621,0,0.449880,61,47,90,30,30,1,20,2,27,"NA:N,SA:N",0A7|1A20|2A12|3E20|4A1|5A5|6A15|7A1|8E14|9E3|10E5|11N1|12E5
34,5163,timeout,154,30,-54.52,4,8,0.7548,0,0.460488,65,56,93,31,30,1,15,4,28,"NA:N,SA:N",0E1|1E10|2A20|3E2|4A13|5A12|6E18|7A20|8E14|9E3|10E4|11N1|12E4
35,5313,timeout,150,30,-86.95,5,7,0.7476,0,0.462699,53,57,90,30,30,0,19,3,27,"NA:N,SA:N",0A18|1E15|2A20|3A9|4E20|5A4|6A2|7E2|8E8|9E4|10E4|11N1|12E4
36,5463,timeout,150,30,-45.11,4,8,0.7405,0,0.469898,53,49,90,30,30,0,21,3,27,"NA:N,SA:N",0E1|1E4|2A14|3E6|4A18|5A20|6E20|7A1|8E9|9E3|10E3|11N1|12E3
37,5613,timeout,150,30,-51.18,4,8,0.7334,0,0.445006,54,52,90,30,30,0,19,4,27,"NA:N,SA:N",0E1|1E6|2A18|3E15|4A15|5A1|6E14|7A20|8E5|9E3|10E4|11N1|12E4
38,5763,timeout,150,30,-50.88,3,9,0.7263,0,0.454398,60,59,89,31,30,0,16,5,28,"NA:N,SA:N",0E1|1E7|2A20|3E5|4E3|5A20|6E20|7A20|8E4|9E6|10E7|11N1|12E6
39,5913,timeout,150,30,-48.71,6,6,0.7191,0,0.453606,60,43,90,30,30,0,21,2,27,"NA:N,SA:N",0A15|1A9|2A1|3E19|4A4|5A20|6E15|7A11|8E1|9E2|10E3|11N1|12E3
40,6067,timeout,154,30,-46.07,4,8,0.7118,0,0.430215,59,52,93,31,30,0,17,5,28,"NA:N,SA:N",0E1|1E11|2A13|3E3|4A18|5A8|6E20|7A20|8E6|9E5|10E3|11N1|12E3
41,6221,timeout,154,30,-29.54,6,6,0.7045,0,0.428340,72,46,93,31,30,0,17,2,28,"NA:N,SA:N",0A6|1A18|2A10|3E8|4A20|5A3|6E11|7A15|8E8|9E3|10E5|11N1|12E11
42,6371,timeout,150,30,-53.77,5,7,0.6974,0,0.447129,63,50,90,30,30,4,16,6,27,"NA:N,SA:N",0E1|1E7|2A3|3E13|4A19|5A15|6E20|7A20|8A6|9E3|10E3|11N1|12E3
43,6521,timeout,150,30,-42.25,5,7,0.6903,0,0.418399,59,44,90,30,30,2,20,5,28,"NA:N,SA:N",0E3|1A18|2A1|3E14|4A9|5A20|6E15|7A11|8E3|9E3|10E3|11N1|12E3
44,6675,timeout,154,30,-63.86,6,6,0.6829,0,0.435628,52,57,93,31,30,1,18,3,29,"NA:N,SA:N",0E5|1A5|2A2|3E20|4A19|5A6|6E20|7A1|8A19|9E5|10E4|11N1|12E3
45,6825,timeout,150,30,-46.66,4,8,0.6758,0,0.460910,66,46,90,30,30,2,17,5,25,"NA:N,SA:N",0E1|1E1|2A17|3E1|4E18|5A9|6E19|7A20|8A20|9E1|10E2|11N1|12E3
46,6975,timeout,150,30,-97.21,5,7,0.6687,0,0.467176,53,56,90,30,30,1,18,4,29,"NA:N,SA:N",0E1|1E1|2A3|3E20|4A20|5A2|6A20|7A8|8E20|9E5|10E5|11N1|12E4
47,7125,timeout,150,30,-63.14,4,8,0.6616,0,0.430355,50,60,90,30,30,0,16,3,25,"NA:N,SA:N",0E1|1E1|2A20|3E11|4A7|5A4|6E20|7A19|8E18|9E3|10E3|11N1|12E3
48,7275,timeout,150,30,-38.38,6,6,0.6544,0,0.444082,57,50,90,30,30,1,18,3,29,"NA:N,SA:N",0E2|1A2|2A20|3E20|4A10|5A3|6E20|7A20|8A2|9E1|10E4|11N1|12E3
49,7429,timeout,154,30,-21.37,7,5,0.6471,0,0.433731,68,40,93,31,30,4,18,4,28,"NA:N,SA:N",0A2|1A15|2A20|3E3|4A3|5A2|6E20|7A20|8A6|9E8|10E4|11N1|12E5
50,7579,timeout,150,30,-40.41,6,6,0.6400,0,0.419172,65,44,90,30,30,1,18,3,29,"NA:N,SA:N",0E1|1A5|2A1|3E17|4A19|5A19|6E20|7A20|8A1|9E1|10E2|11N1|12E3
51,7729,timeout,150,30,-35.29,6,6,0.6329,0,0.414180,55,49,90,30,30,0,20,2,30,"NA:N,SA:N",0A5|1A10|2A1|3E15|4A20|5A1|6E11|7A18|8E8|9E3|10E6|11N1|12E6
52,7879,timeout,150,30,-57.81,5,7,0.6257,0,0.408483,50,55,90,30,30,2,21,5,27,"NA:N,SA:N",0E1|1E19|2A7|3E5|4A16|5A1|6E20|7A7|8A19|9E4|10E3|11N1|12E3
53,8029,timeout,150,30,-60.55,6,6,0.6186,0,0.402069,55,45,90,30,30,4,19,5,27,"NA:N,SA:N",0E1|1A2|2A20|3E12|4A19|5A1|6E20|7A1|8A12|9E6|10E3|11N1|12E3
54,8179,timeout,150,30,-37.73,7,5,0.6115,0,0.414219,56,48,90,30,30,2,16,3,28,"NA:N,SA:N",0E3|1A17|2A3|3E20|4A20|5A4|6E20|7A9|8A1|9A2|10E3|11N1|12E2
55,8329,timeout,150,30,-60.57,4,8,0.6044,0,0.432687,48,56,90,30,30,2,18,6,30,"NA:N,SA:N",0E1|1E13|2A20|3E5|4A2|5A6|6E19|7A20|8E11|9E2|10E2|11N1|12E3
56,8483,timeout,154,30,-59.07,5,7,0.5971,0,0.433034,63,56,93,31,30,3,17,5,26,"NA:N,SA:N",0E1|1E1|2A12|3E16|4E13|5A5|6E20|7A20|8A20|9A6|10E3|11N1|12E2
57,8633,timeout,150,30,-64.11,6,6,0.5899,0,0.420459,65,48,90,30,30,1,18,3,29,"NA:N,SA:N",0E1|1A19|2A17|3E17|4A6|5A4|6A1|7A18|8E12|9E5|10E6|11N1|12E7
58,8783,timeout,150,30,-32.74,4,8,0.5828,0,0.468987,64,51,90,30,30,1,16,5,28,"NA:N,SA:N",0E1|1E8|2A14|3E7|4A19|5A11|6E20|7A20|8E2|9E3|10E5|11N1|12E5
59,8937,timeout,154,30,-33.10,4,6,0.5755,0,0.404642,58,47,93,31,30,3,21,3,27,"NA:N,SA:N",0A2|1A16|2A20|3E19|4A20|5N1|6E16|7N1|8E3|9E3|10E3|11N1|12E3
60,9087,timeout,150,30,-26.04,4,7,0.5684,0,0.438830,52,51,90,30,30,0,20,3,25,"NA:N,SA:N",0E1|1A18|2N1|3E19|4A11|5A3|6E20|7A20|8E2|9E3|10E3|11N1|12E3
61,9237,timeout,150,30,-24.33,5,6,0.5612,0,0.402381,55,43,90,30,30,4,18,5,24,"NA:N,SA:N",0A2|1A3|2A20|3E1|4E20|5N1|6E16|7A12|8A18|9E1|10E2|11N1|12E3
62,9387,timeout,150,30,-39.27,5,7,0.5541,0,0.404518,51,52,90,30,30,1,21,4,29,"NA:N,SA:N",0E1|1E6|2A2|3E17|4A20|5A5|6E19|7A20|8A4|9E3|10E3|11N1|12E3
63,9545,timeout,158,30,-30.51,4,8,0.5466,0,0.402512,67,52,96,32,30,1,18,5,29,"NA:N,SA:N",0E1|1A9|2A19|3E1|4E20|5A19|6E9|7A20|8E8|9E5|10E4|11N1|12E4
64,9695,timeout,150,30,-29.57,7,5,0.5395,0,0.406804,62,48,90,30,30,2,18,2,29,"NA:N,SA:N",0E13|1A4|2A8|3E16|4A7|5A20|6A2|7A1|8A20|9E10|10E4|11N1|12E5
65,9845,timeout,150,30,-32.92,5,7,0.5324,0,0.390582,60,46,90,30,30,1,18,5,27,"NA:N,SA:N",0E2|1A16|2A1|3E5|4A20|5A3|6E20|7A20|8E6|9E5|10E4|11N1|12E4
66,9995,timeout,150,30,-54.46,5,7,0.5252,0,0.408283,63,51,90,30,30,3,19,6,27,"NA:N,SA:N",0E1|1A2|2A19|3E1|4E20|5A20|6E18|7A20|8A2|9E4|10E4|11N1|12E3
