# run_timestamp,20260509_204104
# total_steps,300000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,200000
# grad_clip,1.0
# batch_size,128
# replay_capacity,150000
# beginner_max_turns,200
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,508,loss,508,114,956.60,0,13,0.8480,0,2.639973,0,63,184,272,52,26,175,34,42,"NA:E,SA:E",0E3|1E2|2E2|3E2|4E2|5E2|6E3|7E2|8E3|9E11|10E15|11E3|12E13
2,1323,timeout,815,200,1101.18,8,4,0.8447,0,2.601912,150,54,388,327,100,30,188,30,96,"NA:N,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A17|7A13|8E10|9E12|10E16|11N1|12E16
3,1980,loss,657,146,1076.46,0,13,0.8421,0,2.309375,0,58,240,348,69,30,231,40,59,"NA:E,SA:E",0E2|1E2|2E2|3E2|4E3|5E3|6E2|7E3|8E3|9E7|10E12|11E14|12E3
4,2493,loss,513,121,415.95,0,12,0.8400,0,2.356689,0,55,196,260,57,14,173,22,50,"NA:E,SA:N",0E1|1E1|2E1|3E12|4E1|5E1|6E4|7E8|8E3|9E11|10E6|11N1|12E6
5,3011,loss,518,115,944.56,0,12,0.8380,0,2.348445,0,50,191,276,51,26,178,34,45,"NA:E,SA:N",0E2|1E1|2E1|3E2|4E2|5E2|6E1|7E15|8E1|9E11|10E6|11N1|12E6
6,3940,timeout,929,200,1054.73,7,6,0.8342,0,2.341034,49,37,390,439,100,30,300,32,93,"NA:N,SA:N",0A20|1A1|2A5|3E3|4A3|5A18|6E3|7A2|8E5|9E10|10E8|11A0|12E8
7,4744,timeout,804,200,936.17,8,4,0.8310,0,2.188751,86,27,355,349,100,26,214,28,97,"NA:N,SA:N",0A17|1A2|2A20|3A13|4A9|5A20|6E4|7A5|8A0|9E7|10E8|11N1|12E8
8,5216,loss,472,115,293.26,0,12,0.8291,0,2.131860,0,46,176,240,56,11,161,20,50,"NA:E,SA:N",0E3|1E2|2E2|3E3|4E9|5E3|6E2|7E3|8E3|9E6|10E5|11N1|12E5
9,5570,loss,354,86,199.07,0,12,0.8277,0,2.088349,0,50,134,179,41,8,117,17,33,"NA:E,SA:N",0E2|1E2|2E2|3E10|4E1|5E3|6E4|7E1|8E9|9E5|10E6|11N1|12E5
10,6212,loss,642,149,865.01,0,12,0.8252,0,2.066473,0,49,235,335,72,25,223,35,69,"NA:E,SA:N",0E2|1E1|2E2|3E1|4E5|5E2|6E9|7E5|8E3|9E8|10E5|11N1|12E6
11,6834,loss,622,155,293.97,0,12,0.8227,0,2.061329,0,50,242,306,74,12,203,22,69,"NA:E,SA:N",0E3|1E2|2E2|3E3|4E9|5E3|6E4|7E6|8E3|9E5|10E5|11N1|12E5
12,7676,timeout,842,200,1148.00,10,3,0.8193,0,1.990975,50,23,340,402,100,31,262,31,93,"NA:N,SA:N",0A16|1A2|2A20|3E7|4A0|5A1|6E11|7A2|8A4|9E5|10A5|11A0|12A0
13,8080,loss,404,86,439.44,0,12,0.8177,0,2.006179,0,43,143,223,38,14,153,22,29,"NA:E,SA:N",0E2|1E2|2E1|3E3|4E8|5E3|6E3|7E3|8E2|9E5|10E5|11N1|12E6
14,8675,loss,595,138,488.26,0,12,0.8153,0,1.990507,0,37,221,310,64,16,212,24,60,"NA:E,SA:N",0E2|1E3|2E1|3E2|4E2|5E2|6E1|7E4|8E2|9E6|10E6|11N1|12E6
15,9028,loss,353,82,245.00,0,12,0.8139,0,1.868533,0,29,131,184,38,9,122,17,32,"NA:E,SA:N",0E1|1E2|2E1|3E1|4E2|5E1|6E1|7E2|8E1|9E8|10E4|11N1|12E5
16,9231,loss,203,42,22.57,0,12,0.8131,0,1.987029,0,35,80,108,15,3,71,10,11,"NA:E,SA:N",0E1|1E2|2E1|3E1|4E2|5E1|6E1|7E6|8E3|9E9|10E4|11N1|12E4
17,10003,timeout,772,200,273.43,8,5,0.8100,0,1.960089,39,42,320,352,100,11,232,13,92,"NA:N,SA:N",0E2|1A1|2A18|3E15|4A0|5A3|6E12|7A15|8E8|9A1|10A1|11A0|12E5
18,10516,loss,513,124,289.19,0,12,0.8079,0,1.891360,0,36,196,257,60,11,173,19,50,"NA:E,SA:N",0E1|1E2|2E4|3E1|4E2|5E1|6E1|7E6|8E1|9E8|10E5|11N1|12E4
19,11033,loss,517,122,266.29,0,13,0.8059,0,1.833086,0,73,197,264,56,11,178,20,46,"NA:E,SA:E",0E5|1E4|2E5|3E5|4E4|5E5|6E13|7E5|8E5|9E3|10E10|11E3|12E6
20,11807,timeout,774,200,671.53,10,3,0.8028,0,1.793979,64,21,337,337,100,19,209,17,95,"NA:N,SA:N",0A2|1A20|2A9|3E8|4A4|5A1|6A5|7A3|8A20|9A0|10E8|11A0|12E5
