# run_timestamp,20260509_051936
# total_steps,10000
# learning_rate,0.00025
# gamma,0.95
# tau,0.01
# eps_decay,50000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,30
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
26,3922,timeout,150,30,-38.00,4,8,0.9255,0,0.193666,56,53,90,30,30,1,18,5,27,"NA:N,SA:N",0E1|1E2|2A20|3A14|4E20|5A2|6E7|7A20|8E14|9E3|10E3|11N1|12E3
27,4072,timeout,150,30,-20.00,6,6,0.9226,0,0.196591,64,52,90,30,30,0,13,1,28,"NA:N,SA:N",0A11|1A20|2A8|3E13|4A1|5A4|6E5|7A20|8E16|9E6|10E6|11N1|12E6
28,4222,timeout,150,30,-30.50,5,7,0.9198,0,0.177122,54,54,90,30,30,2,18,4,25,"NA:N,SA:N",0A15|1E14|2A7|3A3|4E20|5A9|6E10|7A20|8E1|9E3|10E3|11N1|12E3
29,4372,timeout,150,30,-25.00,6,6,0.9169,0,0.172253,53,51,90,30,30,1,18,2,26,"NA:N,SA:N",0A10|1A20|2A18|3E18|4A1|5A3|6E14|7A1|8E9|9E3|10E2|11N1|12E5
30,4522,timeout,150,30,-21.50,6,6,0.9141,0,0.172634,56,58,90,30,30,0,17,2,26,"NA:N,SA:N",0A16|1A11|2A16|3E20|4A11|5A1|6E20|7A1|8E9|9E3|10E3|11N1|12E3
31,4672,timeout,150,30,-32.00,6,6,0.9112,0,0.178645,50,60,90,30,30,2,16,5,21,"NA:N,SA:N",0A9|1A1|2A2|3E6|4A20|5A2|6E20|7A16|8E20|9E4|10E5|11N1|12E5
32,4822,timeout,150,30,-31.00,5,7,0.9084,0,0.193739,58,51,90,30,30,1,18,4,27,"NA:N,SA:N",0E1|1E18|2A20|3A2|4A3|5A20|6E20|7A13|8E1|9E4|10E3|11N1|12E4
33,4972,timeout,150,30,-21.50,6,6,0.9055,0,0.172856,51,57,90,30,30,0,16,2,23,"NA:N,SA:N",0A16|1A8|2A1|3E20|4A1|5A5|6E18|7A20|8E9|9E3|10E3|11N1|12E4
34,5122,timeout,150,30,-27.00,5,7,0.9027,0,0.179282,59,53,90,30,30,1,15,3,22,"NA:N,SA:N",0A15|1E11|2A20|3A3|4E20|5A7|6E12|7A14|8E2|9E2|10E3|11N1|12E3
35,5272,timeout,150,30,-28.00,5,7,0.8998,0,0.173992,60,48,90,30,30,0,19,3,24,"NA:N,SA:N",0E2|1A3|2A11|3E18|4A20|5A20|6E5|7A6|8E8|9E5|10E5|11N1|12E5
36,5422,timeout,150,30,-34.00,4,8,0.8970,0,0.189534,58,53,90,30,30,0,17,4,26,"NA:N,SA:N",0E1|1E14|2A20|3E13|4A9|5A20|6E14|7A9|8E4|9E2|10E3|11N1|12E2
37,5572,timeout,150,30,-34.50,5,7,0.8941,0,0.178929,58,52,90,30,30,2,17,5,27,"NA:N,SA:N",0E1|1A13|2A20|3E4|4A3|5A2|6E20|7A20|8E20|9E2|10E3|11N1|12E2
38,5722,timeout,150,30,-18.00,7,5,0.8913,0,0.180617,51,57,90,30,30,1,14,1,25,"NA:N,SA:N",0A15|1A11|2A6|3E20|4A1|5A14|6E20|7A2|8A2|9E11|10E3|11N1|12E3
39,5872,timeout,150,30,-36.00,5,7,0.8884,0,0.177282,64,56,90,30,30,3,13,6,27,"NA:N,SA:N",0E8|1A14|2A17|3E20|4A20|5A1|6E20|7A12|8E1|9E2|10E2|11N1|12E3
40,6022,timeout,150,30,-19.50,6,6,0.8856,0,0.188391,59,57,90,30,30,0,12,2,27,"NA:N,SA:N",0A18|1A5|2A1|3E7|4A6|5A10|6E16|7A19|8E20|9E5|10E5|11N1|12E4
