# run_timestamp,20260509_162950
# total_steps,200000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,200000
# grad_clip,1.0
# batch_size,128
# replay_capacity,100000
# beginner_max_turns,150
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,435,loss,435,99,472.56,0,13,0.7485,0,1.761890,0,68,155,233,47,18,154,27,39,"NA:E,SA:E",0E4|1E3|2E4|3E4|4E3|5E4|6E4|7E4|8E9|9E6|10E4|11E3|12E16
2,1077,timeout,642,150,387.17,9,3,0.7462,0,1.738682,175,17,337,230,75,15,132,14,71,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A15|7A20|8A20|9E4|10E6|11N1|12E7
3,1496,loss,419,77,386.56,0,13,0.7448,0,1.510102,0,42,155,229,35,16,160,27,32,"NA:E,SA:E",0E3|1E3|2E3|3E3|4E3|5E3|6E3|7E3|8E3|9E1|10E6|11E2|12E6
4,2080,loss,584,137,717.30,0,12,0.7427,0,1.648097,0,51,209,309,66,26,204,32,55,"NA:E,SA:N",0E3|1E2|2E2|3E2|4E3|5E2|6E7|7E2|8E3|9E9|10E8|11N1|12E8
5,2688,loss,608,141,915.52,0,12,0.7406,0,1.774666,0,56,221,320,67,32,207,39,65,"NA:E,SA:N",0E2|1E3|2E3|3E3|4E3|5E2|6E2|7E6|8E3|9E10|10E9|11N1|12E10
6,3257,loss,569,136,652.62,0,12,0.7386,0,1.884789,0,52,211,291,67,24,190,32,58,"NA:E,SA:N",0E2|1E2|2E1|3E3|4E1|5E2|6E12|7E2|8E5|9E8|10E7|11N1|12E7
7,3756,loss,499,115,625.40,0,12,0.7369,0,1.859455,0,52,189,255,55,23,163,32,51,"NA:E,SA:N",0E2|1E2|2E1|3E2|4E7|5E3|6E3|7E4|8E3|9E9|10E8|11N1|12E8
8,4110,loss,354,81,345.94,0,12,0.7356,0,1.909283,0,35,133,183,38,14,117,22,34,"NA:E,SA:N",0E2|1E2|2E3|3E2|4E2|5E2|6E1|7E2|8E2|9E5|10E6|11N1|12E6
9,4789,timeout,679,150,719.85,9,3,0.7332,0,1.963540,161,36,345,259,75,25,150,25,71,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A13|7A20|8A8|9E15|10E11|11N1|12E10
10,5109,loss,320,68,244.82,0,12,0.7321,0,1.931551,0,48,121,170,29,11,111,19,26,"NA:E,SA:N",0E3|1E2|2E2|3E3|4E2|5E3|6E3|7E3|8E11|9E5|10E6|11N1|12E5
11,5443,loss,334,77,246.13,0,12,0.7309,0,1.885497,0,43,122,176,36,11,115,20,33,"NA:E,SA:N",0E2|1E2|2E2|3E2|4E1|5E3|6E7|7E1|8E5|9E6|10E6|11N1|12E6
12,5715,loss,272,55,84.39,0,13,0.7300,0,1.836867,0,50,98,152,22,6,104,15,21,"NA:E,SA:E",0E4|1E4|2E4|3E3|4E4|5E3|6E7|7E3|8E4|9E1|10E7|11E3|12E3
13,6167,loss,452,103,594.99,0,12,0.7284,0,1.912539,0,36,158,244,50,22,160,31,44,"NA:E,SA:N",0E2|1E2|2E2|3E2|4E2|5E1|6E1|7E3|8E3|9E5|10E6|11N1|12E7
14,6802,timeout,635,150,946.30,5,7,0.7262,0,1.925318,11,44,230,330,75,32,215,36,66,"NA:N,SA:N",0E3|1E1|2A1|3E6|4E6|5A8|6A0|7A1|8A1|9E8|10E10|11N1|12E10
15,7380,timeout,578,150,352.35,8,4,0.7242,0,1.873310,117,51,285,218,75,14,120,16,70,"NA:N,SA:N",0A20|1A12|2A20|3A16|4A14|5A15|6A3|7A17|8E15|9E12|10E12|11N1|12E12
16,7967,timeout,587,150,681.68,5,7,0.7221,0,1.883144,48,30,237,275,75,24,167,28,72,"NA:N,SA:N",0E1|1A20|2A5|3E5|4A2|5A1|6E7|7A20|8E1|9E3|10E6|11N1|12E7
17,8212,win,245,45,416.84,13,0,0.7213,0,1.867143,64,0,123,100,22,10,56,8,22,"NA:A,SA:A",0A7|1A1|2A2|3A16|4A4|5A2|6A1|7A18|8A1|9A1|10A3|11A8|12A0
18,8809,timeout,597,150,595.70,7,5,0.7192,0,1.797059,71,22,260,262,75,21,158,23,73,"NA:N,SA:N",0A17|1A9|2A6|3A18|4A0|5A1|6E3|7A20|8E3|9E2|10E7|11N1|12E7
19,9084,loss,275,57,288.86,0,13,0.7182,0,1.885691,0,39,95,155,25,12,101,21,23,"NA:E,SA:E",0E3|1E2|2E3|3E3|4E3|5E3|6E4|7E3|8E3|9E1|10E4|11E3|12E4
20,9750,timeout,666,150,937.84,11,2,0.7159,0,1.922092,56,15,274,317,75,31,202,30,70,"NA:N,SA:N",0E12|1A15|2A12|3A0|4A1|5A9|6A5|7A11|8A1|9A1|10A0|11A1|12E3
21,9991,win,241,44,418.89,13,0,0.7150,0,1.874155,55,0,118,102,21,10,58,8,21,"NA:A,SA:A",0A20|1A1|2A3|3A11|4A2|5A2|6A3|7A7|8A2|9A0|10A3|11A1|12A0
22,10629,timeout,638,150,1102.81,6,6,0.7128,0,1.857439,7,34,230,334,74,36,214,38,65,"NA:N,SA:N",0A1|1E4|2A0|3A1|4A0|5A1|6E5|7A4|8E7|9E4|10E7|11N1|12E7
23,11192,loss,563,122,815.21,0,12,0.7108,0,1.931765,0,51,200,308,55,29,202,38,50,"NA:E,SA:N",0E2|1E2|2E1|3E3|4E8|5E2|6E6|7E5|8E3|9E8|10E5|11N1|12E6
24,11667,loss,475,105,553.29,0,13,0.7092,0,1.905016,0,74,178,250,47,21,161,30,44,"NA:E,SA:E",0E4|1E4|2E4|3E4|4E4|5E4|6E5|7E4|8E4|9E8|10E13|11E3|12E13
25,12359,timeout,692,150,378.86,10,3,0.7067,0,1.910616,184,38,376,241,75,15,141,16,75,"NA:N,SA:A",0E1|1A16|2A20|3E17|4A14|5A20|6E20|7A20|8A18|9A20|10A20|11A20|12A16
26,12997,timeout,638,150,655.18,12,1,0.7045,0,1.871188,96,11,287,276,75,22,169,19,68,"NA:N,SA:A",0A1|1A5|2A1|3A1|4A1|5A6|6E11|7A10|8A0|9A11|10A20|11A20|12A20
27,13454,loss,457,101,176.18,0,13,0.7029,0,1.843633,0,240,187,231,39,10,150,19,34,"NA:E,SA:E",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E20|10E17|11E20|12E3
28,13879,loss,425,93,626.87,0,13,0.7014,0,1.792051,0,42,146,235,44,23,152,33,40,"NA:E,SA:E",0E3|1E3|2E2|3E3|4E3|5E2|6E8|7E3|8E2|9E1|10E7|11E2|12E3
29,14132,win,253,47,452.59,13,0,0.7005,0,1.885744,64,0,118,112,23,11,67,8,22,"NA:A,SA:A",0A1|1A10|2A4|3A14|4A14|5A2|6A2|7A11|8A0|9A0|10A3|11A1|12A2
30,14437,loss,305,66,425.15,0,12,0.6995,0,1.796655,0,41,104,170,31,16,110,24,25,"NA:E,SA:N",0E3|1E2|2E3|3E2|4E2|5E3|6E4|7E2|8E3|9E5|10E6|11N1|12E6
