# run_timestamp,20260509_095314
# total_steps,250000
# learning_rate,5e-05
# gamma,0.95
# tau,0.01
# eps_decay,300000
# grad_clip,10.0
# batch_size,128
# replay_capacity,50000
# beginner_max_turns,100
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,375,timeout,375,100,107.40,7,6,0.9988,0,0.708772,29,17,152,173,50,11,102,14,43,"NA:N,SA:N",0E1|1E1|2A1|3E2|4E6|5A1|6A1|7A10|8A14|9A1|10E3|11A1|12E4
2,782,timeout,407,100,178.77,7,6,0.9975,0,0.658010,40,23,168,189,50,18,113,20,44,"NA:N,SA:A",0E1|1E1|2E1|3E1|4E3|5A1|6E16|7A1|8A3|9A6|10A5|11A20|12A4
3,1166,timeout,384,100,147.69,5,7,0.9963,0,0.768390,21,34,153,183,48,15,110,17,43,"NA:N,SA:N",0E1|1E3|2A3|3E2|4A6|5A10|6E20|7A1|8A1|9E2|10E3|11N1|12E3
4,1563,timeout,397,100,120.07,5,8,0.9951,0,0.711277,7,33,155,193,49,13,120,16,40,"NA:N,SA:N",0E1|1E1|2E1|3E3|4E14|5E1|6A1|7A1|8A2|9A1|10E10|11A2|12E2
5,1942,timeout,379,100,137.39,5,7,0.9939,0,0.712616,24,16,150,179,50,14,108,16,44,"NA:N,SA:N",0E1|1E1|2A10|3E5|4A1|5A1|6A11|7A1|8E2|9E3|10E2|11N1|12E2
6,2353,timeout,411,100,131.51,8,5,0.9925,0,0.715766,33,23,167,194,50,13,121,15,46,"NA:N,SA:N",0A2|1A1|2A18|3E6|4A4|5A1|6E11|7A5|8A1|9E1|10E2|11A1|12E3
7,2769,timeout,416,100,169.11,9,3,0.9912,0,0.685440,95,24,205,161,50,15,89,14,47,"NA:A,SA:N",0A14|1A3|2A4|3A17|4A7|5A20|6A1|7A17|8A12|9E18|10E3|11N1|12E3
8,3152,timeout,383,100,138.93,10,3,0.9900,0,0.674919,14,19,150,183,50,13,111,13,43,"NA:N,SA:N",0A2|1A1|2A2|3A1|4A2|5A1|6E12|7A1|8A1|9A2|10E5|11A1|12E2
9,3508,timeout,356,100,97.41,7,5,0.9889,0,0.684345,43,29,152,154,50,9,87,10,44,"NA:N,SA:N",0A3|1A1|2A20|3A1|4A1|5A16|6E14|7A1|8E4|9E3|10E4|11N1|12E4
10,3940,timeout,432,100,30.52,1,12,0.9875,0,0.651696,18,215,184,214,34,6,133,15,27,"NA:E,SA:N",0E18|1E18|2E17|3E17|4E17|5E18|6E18|7E18|8E18|9E18|10E18|11E20|12A18
