11,4335,timeout,395,100,134.10,3,10,0.9863,0,0.616136,9,51,152,193,50,15,119,21,41,"NA:E,SA:N",0E2|1E2|2E2|3E2|4E5|5E1|6E2|7E3|8E12|9A1|10A3|11A5|12E20
12,4734,timeout,399,100,119.99,2,11,0.9850,0,0.619505,13,64,155,195,49,15,119,23,41,"NA:E,SA:N",0E2|1E2|2E2|3E2|4E2|5E2|6E6|7E2|8E4|9E20|10E20|11A10|12A3
13,5117,timeout,383,100,107.78,8,4,0.9838,0,0.618702,41,21,172,161,50,10,92,11,45,"NA:N,SA:N",0A9|1A2|2A2|3A3|4A2|5A3|6A3|7A17|8E6|9E10|10E3|11N1|12E2
14,5472,timeout,355,100,81.55,7,5,0.9827,0,0.626582,55,45,160,145,50,8,79,10,47,"NA:N,SA:N",0A5|1A3|2A20|3A5|4A1|5A20|6E11|7A1|8E17|9E5|10E6|11N1|12E6
15,5834,timeout,362,100,105.12,2,10,0.9815,0,0.614160,25,44,150,162,50,13,91,19,44,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E1|5A7|6E15|7E3|8A18|9E17|10E2|11N1|12E2
16,6216,timeout,382,100,65.87,7,5,0.9803,0,0.645588,87,48,195,137,50,7,70,10,47,"NA:N,SA:N",0A20|1A20|2A20|3A6|4A5|5A15|6E20|7A1|8E10|9E7|10E3|11N1|12E8
17,6600,timeout,384,100,39.59,7,5,0.9791,0,0.610701,61,30,185,149,50,4,86,7,47,"NA:N,SA:N",0A3|1A1|2A20|3A20|4A12|5A2|6E3|7A3|8E3|9E6|10E15|11N1|12E3
18,6982,timeout,382,100,87.87,5,7,0.9779,0,0.599603,19,32,152,180,50,9,114,11,42,"NA:N,SA:N",0E1|1E2|2A1|3E9|4A1|5A3|6A1|7A13|8E11|9E3|10E3|11N1|12E3
19,7409,timeout,427,100,61.72,1,12,0.9765,0,0.583791,16,197,183,205,39,9,127,17,32,"NA:E,SA:N",0E16|1E16|2E16|3E15|4E15|5E16|6E16|7E15|8E16|9E16|10E20|11E20|12A16
20,7725,loss,316,78,29.61,0,12,0.9755,0,0.595047,0,55,128,153,35,9,91,19,31,"NA:E,SA:N",0E2|1E1|2E2|3E1|4E16|5E7|6E7|7E3|8E7|9E3|10E3|11N1|12E3
21,8093,timeout,368,100,146.68,6,6,0.9744,0,0.608020,20,26,150,168,50,14,98,15,47,"NA:N,SA:N",0A8|1A1|2A7|3E3|4A1|5A2|6E3|7A1|8E7|9E3|10E3|11N1|12E7
22,8481,timeout,388,100,161.03,3,9,0.9731,0,0.595951,21,31,153,186,49,18,109,24,41,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E9|5A17|6E5|7A1|8A3|9E5|10E4|11N1|12E4
23,8830,timeout,349,100,75.44,7,5,0.9720,0,0.636410,46,33,153,147,49,7,82,8,43,"NA:N,SA:N",0A15|1A1|2A1|3A18|4A3|5A1|6E15|7A7|8E9|9E3|10E3|11N1|12E3
24,9205,timeout,375,100,152.90,6,6,0.9709,0,0.599968,16,21,149,177,49,15,104,17,41,"NA:N,SA:N",0A1|1E3|2E7|3A3|4A4|5A5|6A1|7A2|8E3|9E2|10E3|11N1|12E3
25,9589,timeout,384,100,94.84,6,7,0.9696,0,0.633213,13,31,150,184,50,10,116,13,44,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E7|5A3|6E3|7A1|8A3|9A2|10E17|11A1|12A3
26,9990,timeout,401,100,120.81,2,11,0.9684,0,0.616110,11,47,155,197,49,15,121,23,42,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E1|5E3|6E5|7E1|8E1|9E12|10E20|11A9|12A2
27,10379,timeout,389,100,92.64,7,5,0.9671,0,0.615213,10,28,152,187,50,9,120,10,43,"NA:N,SA:N",0A2|1A1|2A2|3E4|4A1|5A2|6E13|7A1|8A1|9E5|10E3|11N1|12E3
28,10748,timeout,369,100,70.59,5,8,0.9660,0,0.634627,52,42,168,151,50,8,85,12,41,"NA:N,SA:A",0E1|1E1|2E1|3E1|4E3|5E3|6E15|7E17|8A5|9A20|10A1|11A16|12A10
29,11122,timeout,374,100,58.89,3,9,0.9648,0,0.642816,17,49,155,169,50,8,102,15,42,"NA:N,SA:N",0E1|1E6|2A15|3E6|4E3|5A1|6E18|7A1|8E7|9E3|10E3|11N1|12E2
30,11507,timeout,385,100,113.20,3,9,0.9636,0,0.626313,8,26,152,183,50,13,112,18,41,"NA:N,SA:N",0E1|1E1|2E3|3E2|4E4|5A2|6E8|7A2|8A4|9E2|10E3|11N1|12E2
31,11894,timeout,387,100,24.47,6,6,0.9623,0,0.626894,63,40,190,147,50,3,85,7,47,"NA:N,SA:N",0A12|1A20|2A3|3E8|4A20|5A3|6E8|7A5|8E3|9E5|10E11|11N1|12E5
32,12272,timeout,378,100,118.08,6,6,0.9611,0,0.660144,41,27,160,168,50,12,98,15,49,"NA:N,SA:N",0A15|1A1|2A7|3E3|4A1|5A2|6E13|7A15|8E2|9E5|10E2|11N1|12E2
33,12648,timeout,376,100,144.06,6,6,0.9599,0,0.657171,28,32,150,176,50,15,103,17,46,"NA:N,SA:N",0E3|1A3|2A20|3E7|4A1|5A1|6E15|7A1|8A2|9E3|10E2|11N1|12E2
34,13022,timeout,374,100,120.04,7,6,0.9588,0,0.671488,27,31,150,174,50,12,104,14,46,"NA:N,SA:N",0E1|1E1|2E1|3E10|4E11|5A1|6A1|7A13|8A5|9A2|10E7|11A4|12A1
35,13402,timeout,380,100,106.55,7,6,0.9576,0,0.661507,20,33,152,178,50,11,107,14,44,"NA:N,SA:N",0E1|1E3|2A1|3E6|4A11|5A3|6E17|7A1|8A2|9A1|10E3|11A1|12E3
36,13791,timeout,389,100,133.99,3,10,0.9563,0,0.688779,12,39,150,189,50,16,114,22,41,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E1|5E2|6E1|7E3|8E8|9A5|10A1|11A6|12E20
37,14161,timeout,370,100,51.80,7,5,0.9552,0,0.651029,36,36,157,163,50,5,99,7,45,"NA:N,SA:N",0A1|1A8|2A2|3E8|4A19|5A1|6A4|7A1|8E7|9E5|10E8|11N1|12E8
38,14558,timeout,397,100,53.02,3,9,0.9539,0,0.646801,10,41,165,182,50,7,117,13,46,"NA:N,SA:N",0E1|1E1|2E1|3E6|4E8|5A3|6E11|7A6|8A1|9E5|10E3|11N1|12E5
39,14985,timeout,427,100,168.27,8,5,0.9525,0,0.629342,83,24,200,177,50,16,103,16,44,"NA:N,SA:A",0E1|1E1|2A3|3E7|4E3|5A10|6E12|7A2|8A1|9A20|10A20|11A20|12A7
40,15391,timeout,406,100,156.71,7,6,0.9513,0,0.618869,9,23,165,191,50,16,116,18,47,"NA:N,SA:A",0E1|1E1|2E1|3E1|4E3|5A1|6E16|7A1|8A1|9A1|10A1|11A3|12A1
41,15792,timeout,401,100,185.51,6,7,0.9500,0,0.627722,38,39,172,179,50,19,102,21,44,"NA:N,SA:A",0E1|1E2|2E1|3E1|4E18|5E7|6E9|7A1|8A1|9A16|10A1|11A17|12A2
42,16233,timeout,441,100,212.61,9,4,0.9486,0,0.612561,58,19,193,199,49,20,119,20,41,"NA:N,SA:A",0A1|1A1|2E1|3E1|4E13|5E4|6A1|7A3|8A3|9A13|10A1|11A15|12A20
43,16627,timeout,394,100,167.99,7,6,0.9473,0,0.612103,20,14,155,189,50,17,113,20,45,"NA:N,SA:N",0E1|1E1|2E1|3E1|4A1|5E1|6A1|7A1|8A4|9A1|10A1|11A11|12E9
44,17000,timeout,373,100,88.53,3,9,0.9462,0,0.624527,17,35,150,173,50,11,104,16,40,"NA:N,SA:N",0E1|1E1|2A14|3E1|4E9|5A1|6E3|7A2|8E11|9E3|10E2|11N1|12E4
45,17379,timeout,379,100,130.94,5,7,0.9450,0,0.601928,20,31,155,174,50,14,102,18,44,"NA:N,SA:N",0E1|1A2|2A12|3E10|4A4|5A1|6E8|7A1|8E2|9E5|10E3|11N1|12E2
46,17753,timeout,374,100,167.54,10,3,0.9438,0,0.628078,30,22,150,174,50,15,101,14,46,"NA:N,SA:N",0E1|1A1|2A2|3A1|4A19|5A1|6E13|7A1|8A1|9A1|10E8|11A1|12A2
47,18144,timeout,391,100,161.46,9,3,0.9425,0,0.618487,92,14,185,156,50,14,85,13,47,"NA:A,SA:N",0A20|1A6|2A14|3A13|4A2|5A20|6A11|7A4|8A2|9E8|10E3|11N1|12E3
48,18531,timeout,387,100,112.67,5,8,0.9413,0,0.605458,23,28,150,187,50,12,117,16,44,"NA:N,SA:N",0E1|1E1|2E3|3E1|4E6|5A1|6E5|7A1|8A13|9A6|10E9|11A2|12E2
49,18923,timeout,392,100,122.37,5,7,0.9401,0,0.620046,9,25,153,190,49,13,119,16,42,"NA:N,SA:N",0A3|1E3|2A1|3A1|4E13|5A1|6A3|7E2|8E1|9E1|10E3|11N1|12E2
50,19334,timeout,411,100,175.01,9,3,0.9388,0,0.614106,80,23,187,174,50,16,100,15,44,"NA:A,SA:N",0A17|1A5|2A4|3A7|4A8|5A20|6A2|7A16|8A1|9E13|10E5|11N1|12E5
51,19666,loss,332,82,39.77,0,12,0.9377,0,0.642018,0,36,132,163,37,9,101,17,28,"NA:E,SA:N",0E1|1E1|2E1|3E3|4E3|5E6|6E6|7E3|8E5|9E3|10E2|11N1|12E2
52,20066,timeout,400,100,45.55,1,12,0.9365,0,0.631572,19,138,173,186,41,8,110,17,33,"NA:E,SA:N",0E9|1E9|2E9|3E9|4E9|5E9|6E9|7E8|8E9|9E18|10E20|11A19|12E20
53,20424,timeout,358,100,101.23,6,6,0.9353,0,0.622069,39,34,152,156,50,10,88,12,47,"NA:N,SA:N",0A1|1A13|2A3|3E3|4A1|5A20|6E5|7A1|8E16|9E3|10E3|11N1|12E4
54,20801,timeout,377,100,154.97,6,6,0.9341,0,0.631285,15,13,150,177,50,15,106,16,46,"NA:N,SA:N",0E1|1E1|2E1|3A1|4A1|5E1|6A1|7A1|8A10|9A1|10E6|11N1|12E3
55,21169,timeout,368,100,76.18,6,6,0.9330,0,0.630900,20,30,150,168,50,8,102,11,45,"NA:N,SA:N",0E1|1E3|2A1|3E16|4A1|5A15|6A1|7A1|8A1|9E5|10E3|11N1|12E2
56,21556,timeout,387,100,139.07,9,4,0.9317,0,0.622833,18,15,150,187,50,13,116,13,48,"NA:N,SA:N",0E1|1A1|2A3|3E6|4A1|5A1|6A1|7A5|8A2|9A3|10E6|11A1|12E2
57,21957,timeout,401,100,70.91,1,12,0.9305,0,0.636790,10,181,168,189,44,10,115,18,36,"NA:E,SA:N",0E14|1E14|2E13|3E14|4E14|5E14|6E14|7E14|8E14|9E17|10E19|11E20|12A10
58,22337,timeout,380,100,163.70,5,7,0.9293,0,0.638790,14,30,150,180,50,17,106,20,47,"NA:N,SA:N",0E1|1E6|2A1|3E3|4A1|5A6|6A1|7A5|8E14|9E2|10E1|11N1|12E3
59,22723,timeout,386,100,125.71,3,9,0.9280,0,0.641019,11,33,153,184,49,14,112,19,45,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E15|5E3|6A5|7A5|8A1|9E6|10E2|11N1|12E3
60,23114,timeout,391,100,149.16,7,5,0.9268,0,0.665527,17,22,152,189,50,15,115,17,44,"NA:N,SA:N",0E1|1E5|2A1|3A3|4A2|5A5|6A2|7A2|8A2|9E8|10E4|11N1|12E4
61,23530,timeout,416,100,137.71,9,3,0.9255,0,0.649817,153,36,235,131,50,12,61,12,47,"NA:A,SA:N",0A20|1A20|2A13|3A20|4A17|5A20|6A20|7A4|8A19|9E19|10E8|11N1|12E9
62,23933,loss,403,90,53.18,0,13,0.9242,0,0.635850,0,113,158,208,37,11,135,20,34,"NA:E,SA:E",0E7|1E7|2E8|3E7|4E7|5E8|6E7|7E7|8E7|9E8|10E17|11E20|12E3
63,24318,timeout,385,100,62.80,7,5,0.9230,0,0.664604,95,35,195,140,50,6,76,8,48,"NA:N,SA:N",0A20|1A20|2A5|3A20|4A3|5A20|6E7|7A7|8E1|9E14|10E7|11N1|12E6
64,24735,timeout,417,100,167.77,10,3,0.9217,0,0.660630,66,15,186,181,50,15,108,14,46,"NA:N,SA:A",0E3|1A1|2A1|3E4|4A1|5A1|6E8|7A1|8A1|9A13|10A20|11A7|12A20
65,25147,timeout,412,100,58.27,9,3,0.9204,0,0.646743,177,60,257,105,50,4,43,4,46,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A17|9E20|10E20|11N1|12E20
66,25563,timeout,416,100,83.66,9,4,0.9191,0,0.649604,44,21,180,186,50,8,118,10,48,"NA:N,SA:N",0A20|1A12|2A2|3A1|4A3|5A1|6E14|7A2|8E3|9A2|10E3|11A1|12E1
67,25940,timeout,377,100,101.47,7,5,0.9179,0,0.648019,66,36,177,150,50,10,81,12,47,"NA:N,SA:N",0A3|1A20|2A12|3A7|4A2|5A2|6E13|7A20|8E7|9E8|10E3|11N1|12E5
68,26316,timeout,376,100,145.66,10,3,0.9167,0,0.648267,37,12,155,172,49,13,99,10,45,"NA:N,SA:N",0E3|1A1|2A1|3E6|4A1|5A15|6A1|7A2|8A4|9A2|10A1|11A9|12E3
69,26709,timeout,393,100,116.03,5,8,0.9154,0,0.669494,98,38,198,145,50,12,75,15,47,"NA:N,SA:A",0E1|1E1|2E1|3E1|4E5|5E1|6E13|7E15|8A18|9A20|10A20|11A20|12A20
70,27077,timeout,368,100,77.03,7,6,0.9143,0,0.652601,28,28,155,163,50,8,96,11,45,"NA:N,SA:N",0E1|1E1|2A13|3E10|4E7|5A2|6E3|7A1|8A1|9A1|10A5|11A5|12E6
71,27464,timeout,387,100,121.37,7,6,0.9130,0,0.647327,23,23,150,187,50,12,117,14,48,"NA:N,SA:N",0E1|1E1|2A1|3E2|4E14|5A1|6A16|7A1|8A2|9A1|10E2|11A1|12E3
72,27818,timeout,354,100,30.34,7,5,0.9119,0,0.658380,120,58,200,104,50,3,42,6,48,"NA:N,SA:N",0A17|1A20|2A20|3A15|4A18|5A10|6E19|7A20|8E17|9E12|10E5|11N1|12E5
73,28220,timeout,402,100,76.77,4,9,0.9106,0,0.659214,69,112,189,164,49,9,96,14,42,"NA:E,SA:A",0E12|1E11|2E12|3E12|4E12|5E11|6E11|7E12|8E19|9A15|10A20|11A14|12A20
74,28618,timeout,398,100,72.68,1,12,0.9094,0,0.628324,17,213,174,185,39,10,106,18,30,"NA:E,SA:N",0E18|1E18|2E17|3E17|4E17|5E18|6E18|7E17|8E17|9E17|10E19|11E20|12A17
75,29010,timeout,392,100,159.72,8,4,0.9081,0,0.647637,19,20,157,185,50,15,112,15,45,"NA:N,SA:N",0A2|1A1|2A1|3A1|4A10|5A2|6E13|7A1|8A1|9E3|10E3|11N1|12E1
76,29376,timeout,366,100,71.96,4,8,0.9070,0,0.660907,35,28,155,162,49,8,95,12,43,"NA:N,SA:N",0E1|1E1|2A2|3E10|4E5|5A20|6E3|7A8|8A5|9E2|10E3|11N1|12E3
77,29744,timeout,368,100,80.78,2,10,0.9058,0,0.663768,21,42,150,168,50,10,101,16,45,"NA:N,SA:N",0E1|1E1|2E3|3E3|4E3|5A20|6E19|7A1|8E5|9E3|10E3|11N1|12E1
78,30112,timeout,368,100,96.93,3,9,0.9046,0,0.661110,30,43,155,163,50,12,92,19,46,"NA:N,SA:N",0E1|1E1|2A1|3E6|4E4|5A9|6E14|7A20|8E5|9E4|10E7|11N1|12E1
79,30461,timeout,349,100,39.79,6,6,0.9035,0,0.647493,33,26,150,149,50,4,88,6,46,"NA:N,SA:N",0E1|1A16|2A1|3E18|4A1|5A12|6A1|7A2|8E1|9E2|10E2|11N1|12E2
80,30816,timeout,355,100,73.10,7,5,0.9024,0,0.667636,91,32,175,130,50,7,65,9,45,"NA:N,SA:N",0A20|1A20|2A2|3A14|4A13|5A2|6E10|7A20|8E6|9E10|10E3|11N1|12E3
81,31209,timeout,393,100,73.73,4,9,0.9012,0,0.666660,11,33,155,189,49,9,120,14,42,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E5|5E3|6E8|7A1|8A3|9A4|10E10|11A3|12E3
82,31573,timeout,364,100,107.54,6,6,0.9000,0,0.704985,32,22,150,164,50,11,95,14,48,"NA:N,SA:N",0E1|1E1|2A1|3E15|4A13|5A11|6A5|7A1|8A1|9E1|10E2|11N1|12E2
83,32014,timeout,441,100,66.96,11,2,0.8986,0,0.689449,60,13,213,179,49,5,113,5,47,"NA:N,SA:N",0A2|1A1|2A1|3A13|4A10|5A3|6E7|7A20|8A1|9A5|10A1|11A3|12E6
84,32381,timeout,367,100,82.52,6,6,0.8975,0,0.687668,33,27,155,162,50,8,97,10,42,"NA:N,SA:N",0E3|1A1|2A18|3E7|4A1|5A4|6E12|7A1|8A8|9E1|10E2|11N1|12E2
85,32713,timeout,332,100,34.62,7,5,0.8964,0,0.704445,65,35,153,130,49,3,68,4,46,"NA:N,SA:N",0A18|1A20|2A4|3A1|4A18|5A3|6E3|7A1|8E17|9E5|10E5|11N1|12E5
86,33088,timeout,375,100,98.95,4,8,0.8952,0,0.692183,8,43,150,175,50,11,107,15,48,"NA:N,SA:N",0E1|1E1|2A1|3E8|4E9|5A1|6A5|7A1|8E17|9E2|10E2|11N1|12E3
87,33457,timeout,369,100,93.69,6,7,0.8941,0,0.675415,21,46,150,169,50,10,101,12,47,"NA:N,SA:N",0E1|1E1|2E1|3E14|4E13|5A5|6E8|7A1|8A8|9A2|10E8|11A1|12A4
88,33843,timeout,386,100,67.66,5,8,0.8928,0,0.704707,16,46,160,176,50,8,109,13,47,"NA:N,SA:N",0E1|1E1|2E1|3E6|4E5|5A5|6E16|7A3|8A6|9A1|10E13|11A1|12E3
89,34240,timeout,397,100,180.92,12,1,0.8916,0,0.703753,63,11,178,170,49,15,95,12,46,"NA:N,SA:A",0A3|1A2|2A2|3A12|4A9|5A4|6A2|7A20|8E11|9A1|10A2|11A3|12A3
90,34608,timeout,368,100,130.68,8,4,0.8904,0,0.670640,37,17,150,168,50,12,99,12,46,"NA:N,SA:N",0A7|1A3|2A1|3A6|4A16|5A2|6A1|7A1|8E11|9E1|10E2|11N1|12E3
91,34855,loss,247,58,-7.13,0,12,0.8896,0,0.686839,0,34,95,126,26,5,80,14,23,"NA:E,SA:N",0E1|1E1|2E1|3E6|4E2|5E1|6E4|7E4|8E3|9E7|10E2|11N1|12E2
92,35218,timeout,363,100,71.08,6,6,0.8885,0,0.668309,24,28,153,161,49,7,96,9,45,"NA:N,SA:N",0E1|1A10|2A1|3E16|4A1|5A1|6A1|7A10|8E3|9E2|10E3|11N1|12E3
93,35606,timeout,388,100,82.98,4,9,0.8872,0,0.674227,14,44,155,184,49,10,114,15,43,"NA:N,SA:N",0E1|1E1|2E1|3E4|4E3|5E3|6E5|7E8|8A3|9A3|10A1|11A7|12E18
94,35948,timeout,342,100,100.02,6,6,0.8862,0,0.707789,60,52,160,132,50,10,65,12,49,"NA:N,SA:N",0A2|1A17|2A19|3E3|4A6|5A1|6E9|7A15|8E14|9E11|10E8|11N1|12E7
95,36318,timeout,370,100,89.05,6,6,0.8850,0,0.693958,49,30,160,161,49,9,93,11,46,"NA:N,SA:N",0A18|1A17|2A7|3E3|4A1|5A5|6E7|7A1|8E2|9E12|10E3|11N1|12E3
96,36668,timeout,350,100,18.45,6,6,0.8839,0,0.690348,48,53,165,135,50,2,75,5,49,"NA:N,SA:N",0A11|1A19|2A1|3E19|4A1|5A15|6E17|7A1|8E6|9E3|10E4|11N1|12E4
97,37041,timeout,373,100,120.38,9,4,0.8827,0,0.690782,28,28,152,171,50,11,101,11,46,"NA:N,SA:N",0E1|1E10|2A1|3E2|4A7|5A1|6A1|7A1|8A5|9A7|10E15|11A3|12A2
98,37399,timeout,358,100,78.48,7,5,0.8816,0,0.685925,52,32,160,148,50,8,81,11,48,"NA:N,SA:N",0A2|1A3|2A20|3A6|4A1|5A7|6E4|7A13|8E16|9E4|10E5|11N1|12E3
99,37777,timeout,378,100,119.88,4,9,0.8804,0,0.700395,21,33,150,178,50,14,105,20,48,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E1|5E2|6E1|7A1|8A2|9A1|10E20|11A17|12E5
100,38170,timeout,393,100,33.63,2,10,0.8791,0,0.706791,4,37,156,189,48,6,123,13,44,"NA:N,SA:N",0E1|1E3|2E1|3E1|4E12|5E3|6E6|7A3|8A1|9E6|10E2|11N1|12E2
101,38517,timeout,347,100,91.12,7,5,0.8780,0,0.696560,46,37,155,142,50,9,75,11,49,"NA:N,SA:N",0A8|1A1|2A2|3A5|4A18|5A1|6E20|7A11|8E6|9E3|10E4|11N1|12E4
102,38891,timeout,374,100,51.34,3,10,0.8768,0,0.663390,12,55,150,174,50,8,106,16,43,"NA:E,SA:N",0E1|1E1|2E1|3E9|4E1|5E1|6E10|7E3|8E8|9A4|10E20|11A2|12A6
103,39300,timeout,409,100,208.24,9,4,0.8756,0,0.670620,15,27,153,207,49,20,128,20,43,"NA:N,SA:N",0E1|1E1|2A1|3A1|4E5|5A1|6A2|7A1|8A1|9A1|10E20|11A6|12A1
104,39669,timeout,369,100,140.99,9,3,0.8744,0,0.691735,27,27,150,169,50,13,98,13,43,"NA:N,SA:N",0A7|1A1|2A2|3A1|4A10|5A1|6E19|7A1|8A3|9A1|10E3|11N1|12E5
105,40019,timeout,350,100,56.75,6,6,0.8733,0,0.683944,38,48,155,145,50,6,81,9,50,"NA:N,SA:N",0A15|1A1|2A3|3E19|4A14|5A3|6E14|7A2|8E5|9E4|10E3|11N1|12E3
106,40383,timeout,364,100,67.44,6,6,0.8721,0,0.713752,37,41,160,154,50,7,89,10,48,"NA:N,SA:N",0E1|1A1|2A17|3E17|4E10|5A1|6A12|7A1|8A5|9E7|10E3|11N1|12E3
107,40731,timeout,348,100,43.43,6,6,0.8710,0,0.668251,23,66,153,146,49,4,85,5,45,"NA:N,SA:N",0E10|1E6|2A1|3E19|4A17|5A2|6A1|7A1|8A1|9E20|10E6|11N1|12E5
108,40968,loss,237,62,-32.63,0,12,0.8703,0,0.686131,0,47,95,112,30,2,70,10,26,"NA:E,SA:N",0E1|1E1|2E1|3E2|4E11|5E7|6E7|7E3|8E7|9E2|10E3|11N1|12E2
109,41303,timeout,335,100,61.05,7,5,0.8692,0,0.682374,47,32,150,135,50,6,71,8,47,"NA:N,SA:N",0E3|1A1|2A13|3E7|4A1|5A4|6A6|7A2|8A20|9E20|10E1|11N1|12E1
110,41688,timeout,385,100,59.90,1,12,0.8680,0,0.686824,20,78,152,185,48,9,115,17,35,"NA:E,SA:N",0E3|1E4|2E4|3E3|4E3|5E3|6E4|7E4|8E8|9E12|10E18|11E12|12A20
111,42035,timeout,347,100,32.22,7,5,0.8669,0,0.722310,63,37,162,135,50,3,73,5,47,"NA:N,SA:N",0A16|1A1|2A20|3E7|4A1|5A9|6E15|7A15|8A1|9E9|10E3|11N1|12E3
112,42414,timeout,379,100,107.59,1,11,0.8657,0,0.685138,3,59,156,175,48,13,104,19,39,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E12|5E5|6E17|7E4|8A3|9E11|10E3|11N1|12E3
113,42759,timeout,345,100,135.05,7,5,0.8646,0,0.682622,61,31,150,145,50,13,75,14,46,"NA:N,SA:N",0E1|1A19|2A10|3E18|4A1|5A3|6A1|7A20|8A7|9E6|10E3|11N1|12E3
114,43113,timeout,354,100,80.09,6,6,0.8635,0,0.678201,41,36,155,149,50,8,84,10,47,"NA:N,SA:N",0A17|1A1|2A14|3E8|4A7|5A1|6E11|7A1|8E5|9E4|10E4|11N1|12E4
115,43504,timeout,391,100,145.86,9,4,0.8622,0,0.667987,14,24,152,189,50,14,115,15,44,"NA:N,SA:N",0A3|1A1|2A1|3A1|4E14|5A1|6E6|7A4|8A1|9A1|10E2|11A1|12E2
116,43837,timeout,333,100,18.28,6,6,0.8612,0,0.677076,73,42,162,121,50,2,60,5,46,"NA:N,SA:N",0A9|1A20|2A5|3E16|4A1|5A20|6E6|7A18|8E8|9E2|10E3|11N1|12E7
117,44183,timeout,346,100,58.46,6,6,0.8601,0,0.679798,41,48,150,146,50,6,83,7,43,"NA:N,SA:N",0A12|1A1|2A5|3E20|4A1|5A20|6E13|7A2|8E7|9E3|10E3|11N1|12E2
118,44560,timeout,377,100,82.52,7,5,0.8589,0,0.665283,18,20,152,175,50,8,108,10,42,"NA:N,SA:N",0E1|1A7|2A3|3E9|4A2|5A3|6A1|7A1|8A1|9E4|10E3|11N1|12E3
119,44916,timeout,356,100,99.36,7,5,0.8578,0,0.658026,59,27,160,146,50,9,81,9,47,"NA:N,SA:N",0A20|1A18|2A12|3A1|4A1|5A6|6E8|7A1|8E9|9E5|10E3|11N1|12E2
120,45262,timeout,346,100,31.16,5,7,0.8567,0,0.640695,24,49,150,146,50,4,84,8,42,"NA:N,SA:N",0A3|1A2|2A1|3E9|4E11|5A1|6E17|7A17|8E4|9E5|10E1|11N1|12E2
