# run_timestamp,20260509_122001
# total_steps,1000000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,300000
# grad_clip,1.0
# batch_size,64
# replay_capacity,500000
# beginner_max_turns,100
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,355,timeout,355,100,140.88,7,5,0.9989,0,0.860202,41,25,150,155,50,9,88,11,46,"NA:N,SA:N",0A9|1A20|2A6|3A2|4A2|5A1|6E4|7A1|8E12|9E3|10E3|11N1|12E3
2,763,timeout,408,100,206.58,10,3,0.9976,0,0.875351,17,16,152,206,50,16,131,15,44,"NA:N,SA:N",0E3|1A1|2A2|3E1|4A2|5A1|6A1|7A6|8A1|9A1|10E12|11A1|12A1
3,1159,timeout,396,100,186.53,5,8,0.9963,0,1.104066,26,38,162,184,50,15,111,18,48,"NA:N,SA:A",0E1|1E1|2E1|3E2|4E14|5E2|6E14|7E3|8A7|9A1|10A8|11A3|12A7
4,1556,timeout,397,100,199.05,5,7,0.9951,0,1.152629,5,24,153,195,49,16,121,19,43,"NA:N,SA:N",0E2|1E1|2A1|3A1|4E7|5A1|6E8|7A1|8A1|9E2|10E2|11N1|12E2
5,1954,timeout,398,100,196.72,4,8,0.9938,0,1.143429,7,26,152,196,50,15,122,20,43,"NA:N,SA:N",0E2|1E1|2A4|3E1|4E12|5A1|6E3|7A1|8A1|9E3|10E2|11N1|12E2
6,2356,timeout,402,100,195.30,9,3,0.9925,0,1.151612,64,17,180,172,50,12,102,12,40,"NA:A,SA:N",0A1|1A7|2A4|3A13|4A20|5A4|6A7|7A7|8A1|9E10|10E3|11N1|12E4
7,2737,timeout,381,100,60.54,3,9,0.9913,0,1.114776,6,23,150,181,50,8,117,12,45,"NA:N,SA:N",0E1|1E1|2A4|3E3|4E6|5A1|6E4|7A1|8E1|9E2|10E2|11N1|12E3
8,3115,timeout,378,100,147.66,9,4,0.9901,0,1.045881,13,26,150,178,50,12,108,12,46,"NA:N,SA:N",0A1|1E1|2A1|3A2|4E11|5A1|6E11|7A1|8A1|9A4|10A1|11A1|12E3
9,3518,timeout,403,100,-82.15,3,9,0.9889,0,1.046218,8,49,164,193,46,6,125,11,36,"NA:N,SA:N",0E1|1E2|2E2|3E5|4E19|5A1|6A5|7A2|8E16|9E1|10E2|11N1|12E1
10,3906,timeout,388,100,151.71,5,7,0.9876,0,1.105708,16,27,150,188,50,12,119,15,47,"NA:N,SA:N",0E1|1E1|2A1|3E3|4E9|5A2|6A1|7A11|8A1|9E5|10E4|11N1|12E4
