11,4298,timeout,392,100,138.15,7,5,0.9864,0,1.048472,11,18,157,185,50,11,115,13,48,"NA:N,SA:N",0E1|1A1|2A2|3A1|4E10|5A1|6A1|7A1|8A4|9E3|10E2|11N1|12E2
12,4665,timeout,367,100,116.40,7,5,0.9852,0,1.037334,21,32,150,167,50,10,99,12,47,"NA:N,SA:N",0A1|1A3|2A1|3E9|4A9|5A1|6E16|7A5|8A1|9E3|10E2|11N1|12E2
13,5041,timeout,376,100,238.79,9,4,0.9840,0,1.028778,45,23,158,169,49,14,96,12,43,"NA:N,SA:N",0A8|1A2|2A2|3A12|4A1|5A2|6A16|7A1|8E16|9E3|10E2|11A1|12E2
14,5462,timeout,421,100,283.15,9,4,0.9827,0,1.062789,25,19,168,205,48,18,128,16,43,"NA:N,SA:N",0A1|1E1|2A1|3A1|4E12|5A1|6A15|7A1|8A3|9A1|10E2|11A1|12E4
15,5840,timeout,378,100,162.79,6,6,0.9815,0,1.044903,18,29,150,178,50,12,109,14,47,"NA:N,SA:N",0A2|1A1|2A1|3E7|4A1|5A3|6E5|7A10|8E10|9E2|10E2|11N1|12E3
16,6146,loss,306,73,-17.26,0,12,0.9805,0,1.076516,0,48,128,148,30,6,91,13,22,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E7|5E3|6E6|7E8|8E3|9E12|10E3|11N1|12E2
17,6510,timeout,364,100,58.18,6,6,0.9794,0,1.064886,19,37,150,164,50,7,100,9,49,"NA:N,SA:N",0A1|1A11|2A3|3E6|4A1|5A1|6E14|7A2|8E7|9E2|10E4|11N1|12E4
18,6944,timeout,434,100,166.30,11,2,0.9780,0,1.054114,117,14,225,159,50,8,93,6,43,"NA:A,SA:N",0A11|1A20|2A1|3A20|4A14|5A16|6A2|7A7|8A20|9E9|10E5|11A5|12A1
19,7360,timeout,416,100,168.57,5,8,0.9767,0,1.029171,70,31,196,170,50,11,101,15,47,"NA:N,SA:A",0E1|1E1|2E1|3E1|4E9|5E5|6E7|7E6|8A10|9A20|10A10|11A20|12A10
20,7642,loss,282,70,25.81,0,12,0.9758,0,1.039391,0,36,110,139,33,7,87,15,24,"NA:E,SA:N",0E1|1E1|2E1|3E2|4E5|5E5|6E5|7E3|8E4|9E3|10E3|11N1|12E3
21,8024,timeout,382,100,57.75,7,6,0.9746,0,1.044758,34,34,165,167,50,7,99,12,48,"NA:N,SA:N",0E1|1E1|2A2|3E6|4E20|5A2|6A6|7A1|8A20|9A1|10E2|11A2|12E4
22,8267,loss,243,59,-38.21,0,12,0.9738,0,1.025338,0,38,95,121,27,4,76,13,24,"NA:E,SA:N",0E1|1E1|2E2|3E1|4E7|5E4|6E4|7E3|8E4|9E3|10E4|11N1|12E4
23,8644,timeout,377,100,135.60,4,9,0.9726,0,1.038589,78,149,188,139,50,8,73,13,42,"NA:E,SA:A",0E17|1E16|2E16|3E16|4E16|5E16|6E16|7E16|8E20|9A18|10A20|11A20|12A20
24,9028,timeout,384,100,61.37,4,8,0.9714,0,1.035419,25,26,153,182,49,10,113,15,43,"NA:N,SA:N",0E1|1E1|2E3|3E1|4E2|5A1|6A19|7A4|8A1|9E14|10E2|11N1|12E2
25,9451,timeout,423,100,35.44,1,12,0.9701,0,1.000730,18,240,184,204,35,7,123,16,29,"NA:E,SA:N",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E20|10E20|11A18|12E20
26,9851,timeout,400,100,191.37,5,8,0.9688,0,0.991628,100,48,203,147,50,11,77,15,46,"NA:N,SA:A",0E1|1E1|2E3|3E2|4E7|5E9|6E11|7E14|8A20|9A20|10A20|11A20|12A20
27,10265,timeout,414,100,271.22,8,5,0.9675,0,1.028156,41,21,173,192,49,18,114,19,42,"NA:N,SA:A",0E1|1E1|2A3|3E2|4E5|5A1|6E12|7A6|8A1|9A8|10A6|11A15|12A1
28,10662,timeout,397,100,48.62,2,11,0.9662,0,1.048688,5,46,152,195,50,9,127,16,44,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E2|5E2|6E1|7E6|8E10|9E7|10A1|11A4|12E14
29,11047,timeout,385,100,26.91,4,8,0.9650,0,0.986608,11,25,150,185,50,8,119,13,44,"NA:N,SA:N",0E1|1E1|2E2|3E1|4E14|5A1|6A1|7A8|8A1|9E2|10E2|11N1|12E2
30,11468,timeout,421,100,202.12,7,6,0.9637,0,1.017102,50,24,185,186,50,14,112,18,48,"NA:N,SA:A",0E1|1E1|2E1|3E1|4E16|5A2|6E4|7A9|8A4|9A10|10A20|11A1|12A4
31,11820,timeout,352,100,141.85,3,9,0.9626,0,0.972462,41,38,150,152,50,11,83,17,48,"NA:N,SA:N",0E1|1E1|2E2|3E1|4E18|5A19|6A2|7A20|8E6|9E4|10E2|11N1|12E3
32,12194,timeout,374,100,190.09,7,6,0.9614,0,1.051436,26,21,150,174,50,13,103,15,44,"NA:N,SA:N",0E1|1E1|2A7|3E1|4E14|5A1|6A12|7A2|8A1|9A1|10E1|11A2|12E3
33,12570,timeout,376,100,152.25,3,9,0.9602,0,1.060963,5,28,152,174,50,12,103,18,35,"NA:N,SA:N",0E1|1E1|2E1|3E1|4A1|5E2|6E9|7A3|8A1|9E5|10E4|11N1|12E4
34,12937,timeout,367,100,74.51,9,4,0.9590,0,1.017105,48,25,157,160,50,7,93,8,44,"NA:N,SA:N",0E1|1A1|2A1|3E7|4E3|5A6|6A20|7A10|8A1|9A3|10E14|11A5|12A1
35,13300,timeout,363,100,150.15,8,4,0.9579,0,0.952975,63,40,165,148,50,9,81,10,45,"NA:N,SA:N",0A12|1A1|2A5|3A9|4A7|5A20|6A8|7A1|8E10|9E14|10E8|11N1|12E8
36,13669,timeout,369,100,88.36,6,7,0.9567,0,0.955312,43,19,153,167,49,8,100,11,40,"NA:N,SA:N",0E1|1E1|2A17|3E1|4E12|5A1|6E1|7A7|8A16|9A1|10E1|11A1|12E2
37,14050,timeout,381,100,185.85,6,6,0.9555,0,0.986299,65,35,180,151,50,10,83,13,49,"NA:N,SA:N",0A9|1A20|2A11|3E7|4A1|5A20|6E3|7A4|8E6|9E11|10E4|11N1|12E4
38,14438,timeout,388,100,71.65,8,4,0.9543,0,0.962125,11,29,152,186,50,10,119,9,41,"NA:N,SA:N",0A2|1A1|2A2|3A1|4E15|5A1|6A2|7A1|8A1|9E10|10E2|11N1|12E2
39,14790,timeout,352,100,124.35,8,4,0.9532,0,1.010754,47,30,150,152,50,9,85,10,49,"NA:N,SA:N",0A3|1A20|2A13|3E14|4A1|5A1|6A1|7A6|8A2|9E9|10E4|11N1|12E3
40,15207,timeout,417,100,68.58,3,9,0.9518,0,1.023640,4,30,177,199,41,9,123,15,34,"NA:N,SA:N",0E1|1E1|2E1|3E4|4E14|5E1|6A2|7A1|8A1|9E4|10E2|11N1|12E2
41,15584,timeout,377,100,76.94,5,7,0.9507,0,0.997927,18,26,150,177,50,8,112,11,41,"NA:N,SA:N",0E1|1E1|2A1|3E2|4E12|5A1|6A1|7A5|8A10|9E6|10E2|11N1|12E2
42,16131,timeout,547,100,161.92,12,1,0.9489,0,0.989077,236,12,351,146,50,3,84,1,48,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A16|9E12|10A20|11A20|12A20
43,16485,timeout,354,100,104.13,6,6,0.9478,0,1.030613,35,39,150,154,50,8,89,10,43,"NA:N,SA:N",0A1|1A1|2A1|3E2|4A18|5A4|6E11|7A10|8E15|9E4|10E4|11N1|12E3
44,16874,timeout,389,100,93.48,6,7,0.9466,0,1.024548,67,24,176,163,50,8,96,11,42,"NA:N,SA:A",0E1|1E1|2E1|3E1|4E1|5E3|6E16|7A1|8A8|9A19|10A20|11A4|12A15
45,17235,timeout,361,100,37.37,7,5,0.9454,0,1.077317,31,32,152,159,50,5,95,7,44,"NA:N,SA:N",0A8|1A2|2A2|3A4|4A13|5A1|6E5|7A1|8E11|9E5|10E5|11N1|12E6
46,17609,timeout,374,100,117.71,8,4,0.9442,0,1.012331,46,20,170,154,50,6,89,8,44,"NA:N,SA:N",0A7|1A17|2A2|3A3|4A1|5A5|6A2|7A9|8E7|9E8|10E4|11N1|12E1
47,18009,timeout,400,100,157.39,9,3,0.9430,0,1.008451,121,29,215,135,50,6,71,6,49,"NA:A,SA:N",0A20|1A19|2A20|3A20|4A1|5A7|6A10|7A20|8A4|9E18|10E5|11N1|12E6
48,18432,timeout,423,100,175.68,9,3,0.9416,0,1.010491,178,60,264,109,50,4,47,4,48,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A18|9E20|10E20|11N1|12E20
49,18789,timeout,357,100,56.06,5,7,0.9405,0,1.034590,29,37,150,157,50,6,94,9,46,"NA:N,SA:N",0E1|1A1|2A1|3E7|4A7|5A19|6E6|7A1|8E11|9E4|10E4|11N1|12E4
50,19202,timeout,413,100,249.22,8,5,0.9392,0,0.995235,47,24,170,193,50,18,117,19,43,"NA:N,SA:A",0E1|1E1|2A1|3E3|4E13|5A1|6A1|7E6|8A1|9A20|10A7|11A1|12A15
51,19588,timeout,386,100,170.55,7,5,0.9380,0,1.022575,21,23,150,186,50,13,116,13,41,"NA:N,SA:N",0E2|1A3|2A2|3A1|4A1|5A12|6E14|7A1|8A1|9E2|10E2|11N1|12E3
52,19950,timeout,362,100,61.37,5,7,0.9368,0,1.003702,35,34,152,160,50,7,93,12,38,"NA:N,SA:N",0E1|1E3|2A1|3E11|4A13|5A19|6A1|7A1|8E7|9E3|10E7|11N1|12E2
53,20310,timeout,360,100,83.37,5,7,0.9357,0,0.962010,40,31,152,158,50,8,91,12,41,"NA:N,SA:N",0E1|1E5|2A5|3E1|4A14|5A1|6A1|7A19|8E13|9E3|10E4|11N1|12E4
54,20677,timeout,367,100,97.99,6,6,0.9345,0,0.934420,72,39,180,137,50,5,74,8,44,"NA:N,SA:N",0A15|1A7|2A20|3E3|4A20|5A9|6E13|7A1|8E4|9E4|10E7|11N1|12E8
55,21030,timeout,353,100,71.29,8,4,0.9334,0,0.929241,53,14,155,148,50,5,85,6,47,"NA:N,SA:N",0A4|1A9|2A20|3A1|4A1|5A6|6A2|7A10|8E3|9E4|10E3|11N1|12E4
56,21371,timeout,341,100,-1.85,5,7,0.9323,0,0.927727,32,51,150,141,50,4,80,7,44,"NA:N,SA:N",0E1|1E4|2A1|3E19|4A12|5A17|6A1|7A1|8E14|9E5|10E4|11N1|12E4
57,21757,timeout,386,100,194.53,8,5,0.9311,0,0.918235,15,19,153,184,49,14,111,14,38,"NA:N,SA:N",0A1|1E3|2A1|3E1|4E7|5A1|6A1|7A4|8A5|9A1|10E3|11A1|12E5
58,22097,timeout,340,100,11.77,7,5,0.9300,0,0.959658,42,46,150,140,50,4,79,5,45,"NA:N,SA:N",0A9|1A5|2A3|3E20|4A2|5A20|6E19|7A1|8A2|9E2|10E3|11N1|12E2
59,22473,timeout,376,100,193.46,7,5,0.9288,0,0.947220,20,18,150,176,50,13,106,13,41,"NA:N,SA:N",0A2|1E3|2A1|3A1|4E4|5A1|6A10|7A4|8A1|9E3|10E4|11N1|12E4
60,22893,timeout,420,100,255.48,9,3,0.9275,0,0.912282,138,46,232,138,50,11,69,10,49,"NA:A,SA:N",0A16|1A20|2A20|3A4|4A20|5A20|6A20|7A14|8A4|9E19|10E13|11N1|12E14
61,23258,timeout,365,100,133.86,8,4,0.9263,0,0.921257,59,18,160,155,50,8,89,9,44,"NA:N,SA:N",0A12|1A3|2A20|3A1|4A1|5A8|6A1|7A13|8E3|9E3|10E6|11N1|12E6
62,23630,timeout,372,100,74.21,9,4,0.9252,0,0.923070,14,42,150,172,50,9,103,11,41,"NA:N,SA:N",0A2|1A1|2A1|3E1|4E18|5A1|6E17|7A1|8A2|9A1|10A1|11A4|12E6
63,24035,loss,405,92,26.02,0,12,0.9239,0,0.907916,0,47,177,200,28,7,120,15,20,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E1|5E3|6E7|7E11|8E3|9E14|10E2|11N1|12E2
64,24401,timeout,366,100,151.69,8,5,0.9227,0,0.883226,20,37,150,166,50,12,94,15,41,"NA:N,SA:N",0E1|1A1|2A11|3E1|4E18|5A2|6E14|7A1|8A1|9A1|10E3|11A2|12A1
65,24763,timeout,362,100,70.21,8,5,0.9216,0,0.898214,25,32,150,162,50,7,97,8,44,"NA:N,SA:N",0E1|1E1|2A1|3E3|4E8|5A3|6A1|7A1|8A1|9A4|10A13|11A1|12E19
66,25136,timeout,373,100,246.99,6,7,0.9204,0,0.876652,29,35,150,173,50,17,97,21,43,"NA:N,SA:N",0E1|1E2|2E3|3E9|4E5|5A1|6A1|7A1|8A20|9A5|10E12|11A1|12E3
67,25529,timeout,393,100,188.27,5,8,0.9192,0,0.903619,76,38,188,155,50,12,85,16,46,"NA:N,SA:A",0E1|1E1|2E1|3E1|4E13|5E7|6E6|7E8|8A18|9A4|10A14|11A20|12A20
68,25909,timeout,380,100,69.23,5,7,0.9180,0,0.874936,7,46,153,178,49,12,108,15,35,"NA:N,SA:N",0E1|1E4|2A1|3E9|4E20|5A2|6A1|7A1|8A2|9E6|10E3|11N1|12E3
69,26262,timeout,353,100,165.21,7,5,0.9168,0,0.873736,42,34,150,153,50,12,84,13,47,"NA:N,SA:N",0A3|1A20|2A1|3E9|4A4|5A3|6E6|7A10|8A1|9E8|10E5|11N1|12E6
70,26633,timeout,371,100,140.62,4,9,0.9157,0,0.914972,26,47,153,169,49,12,99,16,31,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E1|5E1|6E10|7A1|8A5|9A19|10E20|11A1|12E11
71,27001,timeout,368,100,184.17,10,3,0.9145,0,0.871730,48,12,152,166,50,12,96,10,43,"NA:N,SA:N",0A1|1A4|2A20|3A3|4A2|5A4|6E7|7A11|8A1|9A1|10E2|11A1|12E3
72,27450,timeout,449,100,228.45,11,2,0.9131,0,0.905609,86,7,220,179,50,12,107,12,44,"NA:N,SA:N",0A20|1A15|2A5|3A3|4A18|5A6|6E3|7A5|8A1|9A3|10E4|11A1|12A9
73,27830,timeout,380,100,146.66,7,6,0.9119,0,0.879467,32,11,152,178,50,11,108,13,42,"NA:N,SA:N",0E1|1E1|2E1|3E1|4A3|5A10|6E2|7A1|8A1|9A1|10A13|11A3|12E5
74,28069,loss,239,58,6.36,0,12,0.9111,0,0.845585,0,55,101,114,24,6,66,14,20,"NA:E,SA:N",0E1|1E1|2E1|3E7|4E13|5E3|6E5|7E6|8E3|9E9|10E3|11N1|12E3
75,28431,timeout,362,100,156.52,9,4,0.9100,0,0.876443,31,38,150,162,50,11,93,10,43,"NA:N,SA:N",0E1|1A1|2A1|3E3|4A7|5A1|6E14|7A1|8A1|9A4|10E20|11A14|12A1
76,28781,timeout,350,100,141.46,6,6,0.9089,0,0.873386,54,24,150,150,50,10,83,12,43,"NA:N,SA:N",0A17|1A3|2A1|3A1|4E9|5A13|6E7|7A19|8E1|9E2|10E3|11N1|12E2
77,29090,win,309,57,251.40,13,0,0.9079,0,0.906019,143,0,191,90,28,4,45,3,27,"NA:A,SA:A",0A11|1A20|2A20|3A9|4A14|5A20|6A12|7A12|8A3|9A3|10A3|11A12|12A4
78,29419,timeout,329,100,32.02,5,7,0.9068,0,0.869298,52,53,150,129,50,4,68,7,43,"NA:N,SA:N",0E2|1E16|2A5|3E7|4A19|5A1|6A11|7A16|8E13|9E5|10E5|11N1|12E5
79,29772,timeout,353,100,177.42,4,8,0.9057,0,0.915509,37,43,150,153,50,12,84,16,40,"NA:N,SA:N",0E1|1E1|2A3|3E1|4E9|5A17|6E20|7A16|8A1|9E3|10E4|11N1|12E4
80,30152,timeout,380,100,69.24,5,7,0.9045,0,0.852459,15,28,153,178,49,9,112,11,40,"NA:N,SA:N",0A2|1E1|2A1|3E3|4E17|5A10|6A1|7A1|8E1|9E1|10E2|11N1|12E3
81,30518,timeout,366,100,0.26,2,10,0.9034,0,0.855579,17,34,150,166,50,5,104,11,43,"NA:N,SA:N",0E1|1E1|2E1|3E2|4E3|5E4|6E15|7A16|8A1|9E1|10E3|11N1|12E3
82,30927,timeout,409,100,165.97,5,8,0.9021,0,0.852220,87,31,194,165,50,11,96,15,45,"NA:N,SA:A",0E1|1E1|2E1|3E7|4E1|5E1|6E10|7E9|8A11|9A20|10A20|11A16|12A20
83,31293,timeout,366,100,210.35,7,6,0.9009,0,0.918959,25,42,150,166,50,15,93,16,39,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E18|5A1|6A1|7A6|8A2|9A1|10A1|11A13|12E20
84,31661,timeout,368,100,190.73,9,4,0.8997,0,0.915969,50,40,164,154,50,12,82,13,47,"NA:N,SA:A",0E1|1E12|2A6|3E7|4A9|5A1|6E20|7A4|8A12|9A3|10A3|11A6|12A6
85,32055,timeout,394,100,216.47,9,4,0.8985,0,0.900762,78,17,182,162,50,12,90,13,47,"NA:N,SA:A",0E1|1E1|2A8|3E4|4E11|5A2|6A19|7A1|8A8|9A2|10A17|11A11|12A10
86,32424,timeout,369,100,192.60,7,5,0.8973,0,0.858993,58,43,167,152,50,11,83,11,47,"NA:N,SA:N",0A9|1A20|2A4|3A1|4A5|5A1|6E3|7A18|8E15|9E13|10E6|11N1|12E6
87,32824,timeout,400,100,93.09,10,3,0.8961,0,0.866351,64,21,187,163,50,6,96,7,46,"NA:N,SA:N",0A12|1A2|2A6|3E10|4A20|5A1|6E8|7A10|8A1|9A3|10A1|11A8|12E3
88,33194,timeout,370,100,117.31,7,6,0.8949,0,0.949660,25,13,152,168,50,10,99,12,38,"NA:N,SA:N",0E1|1E1|2E3|3E1|4E5|5A1|6A10|7A1|8A2|9A4|10A1|11A6|12E2
89,33528,timeout,334,100,91.34,6,6,0.8938,0,0.896496,53,41,150,134,50,7,69,9,45,"NA:N,SA:N",0E3|1A1|2A16|3E13|4E10|5A17|6A14|7A1|8A4|9E6|10E4|11N1|12E5
90,33875,timeout,347,100,83.65,6,6,0.8927,0,0.946348,65,44,165,132,50,5,69,8,46,"NA:N,SA:N",0A14|1A5|2A20|3E6|4A1|5A5|6E4|7A20|8E6|9E9|10E9|11N1|12E10
91,34249,timeout,374,100,116.63,9,3,0.8915,0,0.904998,179,59,238,86,50,1,26,2,48,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A19|9E19|10E20|11N1|12E20
92,34555,timeout,306,100,39.09,7,5,0.8906,0,0.904542,71,64,150,106,50,3,45,5,48,"NA:N,SA:N",0A20|1A8|2A20|3A18|4A1|5A3|6E16|7A1|8E17|9E10|10E11|11N1|12E10
93,34938,timeout,383,100,173.93,8,5,0.8894,0,0.843432,56,19,168,165,50,13,94,13,45,"NA:N,SA:A",0E1|1E1|2E1|3E1|4E15|5A2|6A2|7A19|8A2|9A16|10A12|11A2|12A1
94,35289,timeout,351,100,42.54,5,8,0.8883,0,0.849023,29,41,153,149,49,5,85,9,37,"NA:N,SA:N",0E1|1E1|2E1|3E7|4E17|5A10|6E8|7A4|8A13|9A1|10E3|11A1|12E3
95,35636,timeout,347,100,69.01,8,4,0.8872,0,0.902408,52,21,150,147,50,6,83,7,49,"NA:N,SA:N",0A13|1A15|2A3|3A1|4A1|5A3|6E8|7A15|8A1|9E4|10E4|11N1|12E5
96,36028,timeout,392,100,212.32,7,6,0.8859,0,0.892839,58,27,176,166,50,13,95,14,46,"NA:N,SA:A",0E1|1E1|2E1|3A3|4E2|5E4|6E18|7A9|8A18|9A1|10A5|11A15|12A7
97,36399,timeout,371,100,146.90,6,7,0.8847,0,0.912860,57,34,166,155,50,11,86,14,42,"NA:N,SA:A",0E1|1E1|2E1|3E1|4E7|5E3|6E20|7A11|8A3|9A20|10A2|11A8|12A13
98,36782,timeout,383,100,59.13,9,4,0.8835,0,0.850958,115,33,200,133,50,3,70,5,46,"NA:N,SA:N",0A18|1A20|2A20|3E4|4A6|5A20|6E3|7A5|8E7|9E19|10A5|11A1|12A20
99,37134,timeout,352,100,73.26,4,8,0.8824,0,0.832036,31,48,153,150,49,8,84,11,39,"NA:N,SA:N",0E1|1E1|2A1|3E9|4E17|5A1|6E9|7A20|8A9|9E6|10E3|11N1|12E2
100,37471,timeout,337,100,99.36,9,4,0.8813,0,0.844745,43,60,150,137,50,9,70,9,45,"NA:N,SA:N",0E1|1E19|2A4|3A4|4A1|5A1|6E20|7A4|8A5|9A20|10E20|11A3|12A1
101,37822,timeout,351,100,87.17,3,9,0.8802,0,0.852139,44,30,150,151,50,8,84,15,48,"NA:N,SA:N",0E1|1E1|2E1|3E3|4E13|5A17|6E4|7A20|8A7|9E2|10E2|11N1|12E3
102,38141,timeout,319,100,25.36,6,6,0.8792,0,0.808464,67,67,157,112,50,2,51,5,46,"NA:N,SA:N",0A3|1A10|2A20|3E19|4A1|5A20|6E20|7A13|8E13|9E8|10E3|11N1|12E4
103,38527,timeout,386,100,167.56,9,4,0.8780,0,0.875631,38,23,161,176,49,12,105,12,44,"NA:N,SA:A",0E1|1E1|2A1|3E1|4E20|5A8|6A11|7A1|8A1|9A2|10A2|11A11|12A1
104,38879,timeout,352,100,55.67,6,6,0.8769,0,0.818835,27,33,150,152,50,6,88,9,44,"NA:N,SA:N",0E1|1E3|2A1|3A2|4A15|5A5|6E20|7A1|8A3|9E5|10E2|11N1|12E2
105,39239,timeout,360,100,85.28,4,8,0.8757,0,0.831352,18,35,150,160,50,8,94,13,45,"NA:N,SA:N",0E1|1E3|2A1|3E7|4E1|5A1|6E11|7A1|8A15|9E4|10E4|11N1|12E4
106,39614,timeout,375,100,165.21,8,4,0.8746,0,0.824313,69,28,175,150,50,9,83,10,47,"NA:N,SA:N",0A1|1A5|2A5|3E13|4A13|5A4|6A20|7A20|8A1|9E7|10E3|11N1|12E5
107,39975,timeout,361,100,76.19,5,8,0.8734,0,0.842636,44,43,162,149,50,6,86,9,42,"NA:N,SA:A",0E1|1E1|2E1|3E1|4E15|5E7|6E8|7E9|8A7|9A10|10A5|11A20|12A2
108,40340,timeout,365,100,53.51,7,5,0.8723,0,0.863122,31,42,153,163,49,8,97,9,41,"NA:N,SA:N",0A8|1A8|2A1|3A1|4E16|5A9|6E18|7A3|8A1|9E2|10E3|11N1|12E3
109,40675,timeout,335,100,70.29,6,6,0.8712,0,0.868801,53,31,150,135,50,5,72,8,50,"NA:N,SA:N",0A11|1A1|2A2|3E1|4A14|5A5|6E13|7A20|8E8|9E3|10E3|11N1|12E3
110,41022,timeout,347,100,120.73,6,7,0.8701,0,0.850621,36,45,150,147,50,10,78,13,47,"NA:N,SA:N",0E1|1E1|2A4|3E3|4E20|5A20|6E14|7A1|8A7|9A1|10E3|11A3|12E3
111,41363,timeout,341,100,114.84,7,5,0.8690,0,0.838307,52,37,150,141,50,8,75,10,46,"NA:N,SA:N",0E1|1A1|2A2|3E19|4A15|5A1|6A20|7A9|8A4|9E13|10E2|11N1|12E2
112,41756,timeout,393,100,143.83,6,7,0.8678,0,0.802543,69,35,190,153,50,9,85,13,43,"NA:N,SA:A",0E1|1E1|2E1|3E5|4E2|5E5|6E20|7A1|8A3|9A8|10A20|11A17|12A20
113,42120,timeout,364,100,166.65,8,5,0.8666,0,0.867531,46,23,152,162,50,12,91,13,47,"NA:N,SA:N",0E1|1E1|2A5|3E1|4E17|5A6|6A1|7A2|8A20|9A3|10A2|11A7|12E3
114,42489,timeout,369,100,29.11,1,11,0.8655,0,0.855373,17,42,155,166,48,6,100,14,38,"NA:N,SA:N",0E1|1E1|2E1|3E2|4E3|5E3|6E9|7E7|8A17|9E10|10E3|11N1|12E2
115,42837,timeout,348,100,193.34,6,6,0.8643,0,0.829767,36,35,150,148,50,11,80,13,46,"NA:N,SA:N",0A2|1E1|2A1|3A1|4E13|5A20|6A11|7A1|8E8|9E3|10E5|11N1|12E5
116,43224,timeout,387,100,133.94,8,4,0.8631,0,0.864634,22,12,153,185,49,10,117,9,44,"NA:N,SA:N",0A5|1A2|2A6|3E4|4A1|5A1|6A3|7A3|8A1|9E3|10E3|11N1|12E2
117,43593,timeout,369,100,156.14,7,6,0.8620,0,0.855026,30,39,150,169,50,12,98,15,45,"NA:N,SA:N",0E1|1A1|2A17|3E1|4E13|5A1|6E20|7A1|8A6|9A1|10E2|11A3|12E2
118,43941,timeout,348,100,94.70,9,4,0.8609,0,0.798334,43,36,153,146,49,8,79,8,39,"NA:N,SA:N",0E1|1E13|2A1|3A1|4A20|5A2|6A3|7E20|8A3|9A1|10A1|11A11|12E2
119,44280,timeout,339,100,41.91,7,5,0.8598,0,0.805019,47,24,150,139,50,4,77,6,47,"NA:N,SA:N",0A14|1A9|2A1|3E13|4A3|5A1|6A17|7A2|8E4|9E3|10E2|11N1|12E2
120,44657,timeout,377,100,96.97,6,6,0.8586,0,0.864148,96,54,205,122,50,3,61,6,46,"NA:N,SA:N",0A14|1A20|2A20|3E17|4A5|5A20|6E3|7A17|8E9|9E17|10E4|11N1|12E4
