# run_timestamp,20260509_124900
# total_steps,1000000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,300000
# grad_clip,1.0
# batch_size,64
# replay_capacity,500000
# beginner_max_turns,300
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
1,857,loss,857,192,534.77,0,12,0.9973,0,1.353074,0,36,341,438,78,35,281,43,65,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E1|5E1|6E1|7E11|8E3|9E8|10E3|11N1|12E4
2,1466,loss,609,148,398.49,0,13,0.9954,0,1.544669,0,56,227,310,72,27,197,37,55,"NA:E,SA:E",0E1|1E2|2E1|3E2|4E2|5E2|6E2|7E2|8E3|9E9|10E12|11E3|12E15
3,2653,timeout,1187,300,734.17,2,11,0.9916,0,1.329466,9,137,465,572,150,44,369,51,136,"NA:E,SA:N",0E10|1E11|2E10|3E10|4E10|5E10|6E10|7E10|8E17|9E19|10A8|11A1|12E20
4,3160,loss,507,121,220.37,0,13,0.9900,0,1.262762,0,94,197,255,55,17,163,25,44,"NA:E,SA:E",0E3|1E3|2E3|3E3|4E3|5E3|6E14|7E3|8E3|9E13|10E20|11E3|12E20
5,3927,loss,767,188,401.67,0,12,0.9876,0,1.248438,0,52,299,380,88,27,245,35,70,"NA:E,SA:N",0E1|1E3|2E2|3E1|4E15|5E3|6E3|7E7|8E3|9E9|10E2|11N1|12E3
6,4516,loss,589,138,195.39,0,12,0.9857,0,1.248181,0,64,245,288,56,15,183,23,46,"NA:E,SA:N",0E1|1E4|2E1|3E6|4E17|5E5|6E3|7E7|8E3|9E11|10E3|11N1|12E3
7,5443,loss,927,232,575.87,0,13,0.9828,0,1.243249,0,54,365,453,109,36,285,44,88,"NA:E,SA:E",0E2|1E3|2E3|3E2|4E5|5E3|6E2|7E15|8E2|9E3|10E5|11E3|12E6
8,6411,timeout,968,300,375.88,4,9,0.9797,0,1.207527,78,180,421,398,149,19,221,23,144,"NA:E,SA:A",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9A18|10A20|11A20|12A20
9,7445,timeout,1034,300,445.44,9,3,0.9764,0,1.127864,178,58,490,394,150,19,217,19,144,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A18|9E18|10E20|11N1|12E20
10,7934,loss,489,117,156.69,0,13,0.9749,0,1.029690,0,77,185,249,55,14,163,24,48,"NA:E,SA:E",0E3|1E4|2E3|3E3|4E3|5E3|6E4|7E4|8E4|9E14|10E15|11E14|12E3
11,9212,timeout,1278,300,436.28,1,12,0.9708,0,1.060746,19,239,545,617,116,28,395,38,103,"NA:E,SA:N",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E20|10E19|11E20|12A19
